# TUFS Basic Turkish Wordnet	tur	http://www.coelang.tufs.ac.jp/mt/tr/	CC BY 4.0
15210045-n	tur:lemma	Ocak
01845720-v	tur:lemma	seyahate çık-
01845720-v	tur:exe	0	Yarın seyahate çıkıyorum.
01845720-v	tur:exe	1	İki hafta tatil alıp seyahate çıkacağız.
01845720-v	tur:pron	seyahate çık-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1489.mp3	
00061203-r	tur:lemma	geri
00061203-r	tur:exe	0	Bu işin gerisini bana bırakın.
00061203-r	tur:exe	1	Ona hiç bir şey verme. Aldıktan sonra bir daha geri vermez.
00061203-r	tur:count	geri	2
00061203-r	tur:pron	geri			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1783.mp3	
10112591-n	tur:lemma	arkadaş
10112591-n	tur:exe	0	Bu, arkadaşım Arzu.
10112591-n	tur:exe	1	Arkadaşım bankada çalışıyor. 
10112591-n	tur:exe	2	Arkadaşıma kartpostal gönderdim.
10112591-n	tur:exe	3	Arzu, bu arkadaşım, Emek.
10112591-n	tur:exe	4	Kavşakta arkadaşımla karşılaştım.
10112591-n	tur:count	arkadaş	5
10112591-n	tur:pron	arkadaş			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1598.mp3	
08588294-n	tur:lemma	iç
08588294-n	tur:exe	0	Bunun içinde ne var?
08588294-n	tur:exe	1	Fotoğrafları zarfın içine koydum.
08588294-n	tur:exe	2	Sizin içinizde içki içmeyen var mı?
08588294-n	tur:count	iç	5
08588294-n	tur:pron	iç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1772.mp3	
08588294-n	tur:lemma	içeri
08588294-n	tur:exe	0	Hadi içeriye girin.
08588294-n	tur:count	içeri	1
08588294-n	tur:pron	içeri			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1998.mp3	
08588152-n	tur:lemma	iç
08588152-n	tur:exe	0	Bunun içinde ne var?
08588152-n	tur:exe	1	Fotoğrafları zarfın içine koydum.
08588152-n	tur:exe	2	Sizin içinizde içki içmeyen var mı?
08588152-n	tur:count	iç	5
08588152-n	tur:pron	iç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1772.mp3	
08588152-n	tur:lemma	içeri
08588152-n	tur:exe	0	Hadi içeriye girin.
08588152-n	tur:count	içeri	1
08588152-n	tur:pron	içeri			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1998.mp3	
77000021-n	tur:lemma	sen
77000021-n	tur:exe	0	Tam seni arayacaktım.
77000021-n	tur:exe	1	Sen daha önce hiç İran'a gittin mi?
77000021-n	tur:exe	2	Sen de gelsene.
77000021-n	tur:exe	3	Bu senin kalemin mi?
77000021-n	tur:exe	4	Sen de gelir misin?
77000021-n	tur:exe	5	İstersen sana ev adresimi yazıp vereyim.
77000021-n	tur:count	sen	7
77000021-n	tur:pron	sen			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1729.mp3	
77000021-n	tur:lemma	siz
77000021-n	tur:exe	0	Siz nasılsınız?
77000021-n	tur:exe	1	Size ilginç bir hikaye anlatayım.
77000021-n	tur:exe	2	Sizin içinizde içki içmeyen var mı?
77000021-n	tur:exe	3	Siz, Türkler kahvaltıda ne yiyiyorsunuz?
77000021-n	tur:exe	4	Size bir şey söylemek istiyorum. 
77000021-n	tur:exe	5	Siz ne dersiniz?
77000021-n	tur:count	siz	6
77000021-n	tur:pron	siz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1730.mp3	
02771169-v	tur:lemma	hava açık
02771169-v	tur:exe	0	Nihayet hava açtı.
02771169-v	tur:exe	1	Bugün hava açık.
02771169-v	tur:count	hava açık	1
02771169-v	tur:pron	hava açık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1934.mp3	
77000061-a	tur:lemma	bu
77000061-a	tur:exe	0	Bu yıl hiç kar yağmadı.
77000061-a	tur:exe	1	Bu yemek çok güzel olmuş.
77000061-a	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
77000061-a	tur:exe	3	Bu da senin doğum günü hediyen!
77000061-a	tur:exe	4	Bu odada sigara içmek yasaktır.
77000061-a	tur:exe	5	Bu senin kalemin mi?
77000061-a	tur:exe	6	Bu, arkadaşım Arzu.
77000061-a	tur:count	bu	7
77000061-a	tur:pron	bu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1731.mp3	
80001619-a	tur:lemma	bu
80001619-a	tur:exe	0	Bu yıl hiç kar yağmadı.
80001619-a	tur:exe	1	Bu yemek çok güzel olmuş.
80001619-a	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
80001619-a	tur:exe	3	Bu da senin doğum günü hediyen!
80001619-a	tur:exe	4	Bu odada sigara içmek yasaktır.
80001619-a	tur:exe	5	Bu senin kalemin mi?
80001619-a	tur:exe	6	Bu, arkadaşım Arzu.
80001619-a	tur:count	bu	7
80001619-a	tur:pron	bu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1731.mp3	
77000075-a	tur:lemma	bu
77000075-a	tur:exe	0	Bu yıl hiç kar yağmadı.
77000075-a	tur:exe	1	Bu yemek çok güzel olmuş.
77000075-a	tur:exe	2	Bu roman Yaşar Kemal tarafından yazıldı.
77000075-a	tur:exe	3	Bu da senin doğum günü hediyen!
77000075-a	tur:exe	4	Bu odada sigara içmek yasaktır.
77000075-a	tur:exe	5	Bu senin kalemin mi?
77000075-a	tur:exe	6	Bu, arkadaşım Arzu.
77000075-a	tur:count	bu	7
77000075-a	tur:pron	bu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1731.mp3	
04018667-n	tur:lemma	lavabo
04018667-n	tur:exe	0	Affedersiniz, lavabo nerede?
04018667-n	tur:count	lavabo	1
04018667-n	tur:pron	lavabo			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1643.mp3	
08649345-n	tur:lemma	yan
08649345-n	tur:exe	0	Ahmet'le Ayşe yan yana oturdular.
08649345-n	tur:count	yan	2
08649345-n	tur:pron	yan			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1771.mp3	
08649345-n	tur:lemma	yakında
08649345-n	tur:exe	0	Hemen yakında.
08649345-n	tur:count	yakında	1
08649345-n	tur:pron	yakında			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1580.mp3	
08649345-n	tur:lemma	yanında
08649345-n	tur:exe	0	Yanında bir karıkoca oturuyordu.
08649345-n	tur:exe	1	Büyüklerin yanında sesim çıkmazdı.
08649345-n	tur:exe	2	Evimin yanında ırmak var.
08649345-n	tur:exe	3	Yanında mutlaka baş örtüsü götür.
08649345-n	tur:count	yanında	4
08649345-n	tur:pron	yanında			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1587.mp3	
05136150-n	tur:lemma	yan
05136150-n	tur:exe	0	Ahmet'le Ayşe yan yana oturdular.
05136150-n	tur:count	yan	2
05136150-n	tur:pron	yan			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1771.mp3	
15211484-n	tur:lemma	Mayıs
15211484-n	tur:exe	0	5 Mayıs Çocuklar Günü'dür.
15211484-n	tur:count	Mayıs	1
15211484-n	tur:pron	Mayıs			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1866.mp3	
05563770-n	tur:lemma	kol
05563770-n	tur:exe	0	Ali beni kolumdan tuttu.
05563770-n	tur:count	kol	1
05563770-n	tur:pron	kol			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1817.mp3	
15165490-n	tur:lemma	öğle
15165490-n	tur:exe	0	Bunu öğleye kadar bitirmem gerekiyor.
15165490-n	tur:exe	1	Öğleden sonra da randevum var.
15165490-n	tur:exe	2	Öğleden sonra olur mu?
15165490-n	tur:count	öğle	3
15165490-n	tur:pron	öğle			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1904.mp3	
04272054-n	tur:lemma	gözlük
04272054-n	tur:exe	0	Ben gözlük takmayı hiç sevmem.
04272054-n	tur:count	gözlük	1
04272054-n	tur:pron	gözlük			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1846.mp3	
80000746-n	tur:lemma	Çin yazısı
80000746-n	tur:exe	0	Çin yazısını okuyabiliyor musun?
80000746-n	tur:count	Çin yazısı	1
80000746-n	tur:pron	Çin yazısı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_2000.mp3	
10287213-n	tur:lemma	adam
10287213-n	tur:exe	0	Her sabah bu parka yaşlı bir adam gelirmiş.  
10287213-n	tur:count	adam	1
10287213-n	tur:pron	adam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1967.mp3	
09624168-n	tur:lemma	adam
09624168-n	tur:exe	0	Her sabah bu parka yaşlı bir adam gelirmiş.  
09624168-n	tur:count	adam	1
09624168-n	tur:pron	adam			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1967.mp3	
15164105-n	tur:lemma	Salı
15164105-n	tur:exe	0	Salı günü sizin için uygun mu?
15164105-n	tur:count	Salı	1
15164105-n	tur:pron	Salı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1879.mp3	
77000099-n	tur:lemma	herkes
77000099-n	tur:exe	0	Çünkü herkesin işi saat beşte bitiyor.
77000099-n	tur:exe	1	Herkes cennete gitmek ister. Öyleyse neden ölmek isteyen yok?
77000099-n	tur:count	herkes	2
77000099-n	tur:pron	herkes			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1971.mp3	
00479391-v	tur:lemma	sil-
00479391-v	tur:exe	0	Silgiyle sil.
00479391-v	tur:pron	sil-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1845.mp3	
03238879-n	tur:lemma	gömlek
03238879-n	tur:exe	0	Müdür, sırtına beyaz gömlek giymiş, ellerini göbeğinin üstünden kavuşturmuş.
03238879-n	tur:count	gömlek	1
03238879-n	tur:pron	gömlek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1802.mp3	
02412164-a	tur:lemma	ince
02412164-a	tur:exe	0	Bu kağıt çok inceymiş.
02412164-a	tur:count	ince	1
02412164-a	tur:pron	ince			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1741.mp3	
02414188-a	tur:lemma	ince
02414188-a	tur:exe	0	Bu kağıt çok inceymiş.
02414188-a	tur:count	ince	1
02414188-a	tur:pron	ince			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1741.mp3	
08489627-n	tur:lemma	orası
08489627-n	tur:lemma	orada
08489627-n	tur:exe	0	Orada bekleyen benim abim.
08489627-n	tur:exe	1	Bak orada polis var.
08489627-n	tur:exe	2	Oradaki kırmızı çantayı istiyorum.
08489627-n	tur:count	orada	3
08489627-n	tur:pron	orada			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1582.mp3	
01168468-v	tur:lemma	ye-
01168468-v	tur:exe	0	Japonlar çubukla yemek yerler.
01168468-v	tur:exe	1	Beraber öğle yemeği yiyelim.
01168468-v	tur:exe	2	O lokantada yemek yiyelim.
01168468-v	tur:exe	3	Peynir, Türkler için vazgeçilmez bir yiyecektir.
01168468-v	tur:exe	4	Bugün tavuk yiyelim.
01168468-v	tur:exe	5	Hadi yemek yiyelim.
01168468-v	tur:exe	6	Siz, Türkler kahvaltıda ne yiyiyorsunuz?
01168468-v	tur:pron	ye-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1666.mp3	
01166351-v	tur:lemma	ye-
01166351-v	tur:exe	0	Japonlar çubukla yemek yerler.
01166351-v	tur:exe	1	Beraber öğle yemeği yiyelim.
01166351-v	tur:exe	2	O lokantada yemek yiyelim.
01166351-v	tur:exe	3	Peynir, Türkler için vazgeçilmez bir yiyecektir.
01166351-v	tur:exe	4	Bugün tavuk yiyelim.
01166351-v	tur:exe	5	Hadi yemek yiyelim.
01166351-v	tur:exe	6	Siz, Türkler kahvaltıda ne yiyiyorsunuz?
01166351-v	tur:pron	ye-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1666.mp3	
01179865-v	tur:lemma	ye-
01179865-v	tur:exe	0	Japonlar çubukla yemek yerler.
01179865-v	tur:exe	1	Beraber öğle yemeği yiyelim.
01179865-v	tur:exe	2	O lokantada yemek yiyelim.
01179865-v	tur:exe	3	Peynir, Türkler için vazgeçilmez bir yiyecektir.
01179865-v	tur:exe	4	Bugün tavuk yiyelim.
01179865-v	tur:exe	5	Hadi yemek yiyelim.
01179865-v	tur:exe	6	Siz, Türkler kahvaltıda ne yiyiyorsunuz?
01179865-v	tur:pron	ye-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1666.mp3	
15122231-n	tur:lemma	zaman
15122231-n	tur:exe	0	Evlendiğim zaman İstanbul'a taşındım.
15122231-n	tur:count	zaman	1
15122231-n	tur:pron	zaman			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1913.mp3	
02818832-n	tur:lemma	yatak
02818832-n	tur:exe	0	Babam yatak odasında.
02818832-n	tur:count	yatak	1
02818832-n	tur:pron	yatak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1569.mp3	
90000503-n	tur:lemma	gelecek yıl
90000503-n	tur:exe	0	Gelecek yıl değil, bir sonraki yıl gitmeyi düşünüyorum. 
90000503-n	tur:count	gelecek yıl	1
90000503-n	tur:pron	gelecek yıl			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1892.mp3	
08168367-n	tur:lemma	yabancı ülke
08168367-n	tur:exe	0	Hiç yabancı ülkeye gittin mi?
08168367-n	tur:count	yabancı ülke	1
08168367-n	tur:pron	yabancı ülke			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1479.mp3	
08168367-n	tur:lemma	yabancı
08168367-n	tur:exe	0	Yabancı dil öğrenmeyi severim.
08168367-n	tur:exe	1	Yanlışlık yapmadan yabancı dil öğrenemezsiniz.
08168367-n	tur:count	yabancı	2
08168367-n	tur:pron	yabancı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1480.mp3	
02560548-a	tur:lemma	geniş
02560548-a	tur:exe	0	Çok geniş bir odada ikimiz kaldık.
02560548-a	tur:count	geniş	1
02560548-a	tur:pron	geniş			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1745.mp3	
01384212-a	tur:lemma	geniş
01384212-a	tur:exe	0	Çok geniş bir odada ikimiz kaldık.
01384212-a	tur:count	geniş	1
01384212-a	tur:pron	geniş			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1745.mp3	
01031256-v	tur:lemma	gönder-
01031256-v	tur:exe	0	Ankara'ya paket göndermek istiyorum.
01031256-v	tur:exe	1	Arkadaşıma kartpostal gönderdim.
01031256-v	tur:exe	2	Her ay aileme para gönderiyorum.
01031256-v	tur:exe	3	Tamir için size bir görevli göndereceğim.
01031256-v	tur:pron	gönder-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1692.mp3	
01995211-v	tur:lemma	gönder-
01995211-v	tur:exe	0	Ankara'ya paket göndermek istiyorum.
01995211-v	tur:exe	1	Arkadaşıma kartpostal gönderdim.
01995211-v	tur:exe	2	Her ay aileme para gönderiyorum.
01995211-v	tur:exe	3	Tamir için size bir görevli göndereceğim.
01995211-v	tur:pron	gönder-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1692.mp3	
00255710-n	tur:lemma	çamaşır
00255710-n	tur:exe	0	Çamaşırın varsa hemen çıkart.
00255710-n	tur:exe	1	Bügün çamaşır yıkayacağım.
00255710-n	tur:count	çamaşır	2
00255710-n	tur:pron	çamaşır			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1558.mp3	
07110457-n	tur:lemma	hikaye
07110457-n	tur:exe	0	Size ilginç bir hikaye anlatayım.
07110457-n	tur:count	hikaye	1
07110457-n	tur:pron	hikaye			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1949.mp3	
00893243-n	tur:lemma	hikaye
00893243-n	tur:exe	0	Size ilginç bir hikaye anlatayım.
00893243-n	tur:count	hikaye	1
00893243-n	tur:pron	hikaye			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1949.mp3	
07221094-n	tur:lemma	hikaye
07221094-n	tur:exe	0	Size ilginç bir hikaye anlatayım.
07221094-n	tur:count	hikaye	1
07221094-n	tur:pron	hikaye			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1949.mp3	
07139316-n	tur:lemma	hikaye
07139316-n	tur:exe	0	Size ilginç bir hikaye anlatayım.
07139316-n	tur:count	hikaye	1
07139316-n	tur:pron	hikaye			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1949.mp3	
00031798-r	tur:lemma	artık
00031798-r	tur:exe	0	Artık Türkçe öğrenmekten vazgeçtim.
00031798-r	tur:exe	1	Ahmet artık kalkmalı mı ?            
00031798-r	tur:exe	2	Artık geç oldu, eve gidelim.
00031798-r	tur:count	artık	3
00031798-r	tur:pron	artık			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1909.mp3	
07555863-n	tur:lemma	yemek
07555863-n	tur:exe	0	Evde hiç yemek kalmadı.
07555863-n	tur:exe	1	O lokantada yemek yiyelim.
07555863-n	tur:exe	2	Yemek için masayı hazırlayayım mı?
07555863-n	tur:count	yemek	3
07555863-n	tur:pron	yemek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1551.mp3	
07560652-n	tur:lemma	yemek
07560652-n	tur:exe	0	Evde hiç yemek kalmadı.
07560652-n	tur:exe	1	O lokantada yemek yiyelim.
07560652-n	tur:exe	2	Yemek için masayı hazırlayayım mı?
07560652-n	tur:count	yemek	3
07560652-n	tur:pron	yemek			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1551.mp3	
00157412-r	tur:lemma	bazen
00157412-r	tur:exe	0	Bazen bu yeknesak hayat beni çok sıkıyor.
00157412-r	tur:count	bazen	1
00157412-r	tur:pron	bazen			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1915.mp3	
00021212-r	tur:lemma	bazen
00021212-r	tur:exe	0	Bazen bu yeknesak hayat beni çok sıkıyor.
00021212-r	tur:count	bazen	1
00021212-r	tur:pron	bazen			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1915.mp3	
03740161-n	tur:lemma	ilaç
03740161-n	tur:exe	0	Mutlaka ilaç alman lazım.
03740161-n	tur:count	ilaç	1
03740161-n	tur:pron	ilaç			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1628.mp3	
02318272-a	tur:lemma	düz
02318272-a	tur:exe	0	Japonların saçı genellikle düzdür.
02318272-a	tur:count	düz	1
02318272-a	tur:pron	düz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1991.mp3	
02310895-a	tur:lemma	düz
02310895-a	tur:exe	0	Japonların saçı genellikle düzdür.
02310895-a	tur:count	düz	1
02310895-a	tur:pron	düz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1991.mp3	
02314584-a	tur:lemma	düz
02314584-a	tur:exe	0	Japonların saçı genellikle düzdür.
02314584-a	tur:count	düz	1
02314584-a	tur:pron	düz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1991.mp3	
10787470-n	tur:lemma	kadın
10787470-n	tur:exe	0	Kadınlar alışveriş yapmayı sever.
10787470-n	tur:exe	1	8 Mart Dünya Kadınlar Günü'dür.
10787470-n	tur:count	kadın	2
10787470-n	tur:pron	kadın			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1964.mp3	
10736091-n	tur:lemma	amca
10736091-n	tur:exe	0	Amcam şirkette çalışıyor.
10736091-n	tur:count	amca	1
10736091-n	tur:pron	amca			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1791.mp3	
10736091-n	tur:lemma	dayı
10736091-n	tur:exe	0	Dayım Japonya'da çalışıyor.
10736091-n	tur:count	dayı	1
10736091-n	tur:pron	dayı			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_2002.mp3	
04404997-n	tur:lemma	fotoğraf makinesi
04404997-n	tur:exe	0	Fotoğraf makinen ne marka?
04404997-n	tur:pron	fotoğraf makinesi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1842.mp3	
02942699-n	tur:lemma	fotoğraf makinesi
02942699-n	tur:exe	0	Fotoğraf makinen ne marka?
02942699-n	tur:pron	fotoğraf makinesi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1842.mp3	
04370048-n	tur:lemma	kazak
04370048-n	tur:exe	0	Mehmet açık mavi bir kazak aldı.
04370048-n	tur:count	kazak	1
04370048-n	tur:pron	kazak			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1706.mp3	
02626604-v	tur:lemma	ol-
02626604-v	tur:exe	0	Murat Japonya'ya gittikten sonra çok çalışkan oldu.
02626604-v	tur:exe	1	Bu baharatı yemeğe eklerseniz daha iyi olur.
02626604-v	tur:exe	2	Geçen hafta sınavın sonucu belli oldu.
02626604-v	tur:exe	3	Güney Afrika'da deprem olmuş.
02626604-v	tur:exe	4	Bu yemek çok güzel olmuş.
02626604-v	tur:exe	5	Oğlum polis oldu.
02626604-v	tur:exe	6	Çok tatlı olmasın.
02626604-v	tur:exe	7	Uçakla gidersek daha pahalı olur.
02626604-v	tur:exe	8	Böyle bir şey olamaz.
02626604-v	tur:exe	9	Sessiz olun!
02626604-v	tur:exe	10	Kaç yaprak olsun?
02626604-v	tur:exe	11	Olsun, ben ucuz olanını alayım.
02626604-v	tur:exe	12	Olur, geleyim.
02626604-v	tur:exe	13	Olur.
02626604-v	tur:exe	14	Ne oldu?
02626604-v	tur:pron	ol-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1985.mp3	
02623529-v	tur:lemma	ol-
02623529-v	tur:exe	0	Murat Japonya'ya gittikten sonra çok çalışkan oldu.
02623529-v	tur:exe	1	Bu baharatı yemeğe eklerseniz daha iyi olur.
02623529-v	tur:exe	2	Geçen hafta sınavın sonucu belli oldu.
02623529-v	tur:exe	3	Güney Afrika'da deprem olmuş.
02623529-v	tur:exe	4	Bu yemek çok güzel olmuş.
02623529-v	tur:exe	5	Oğlum polis oldu.
02623529-v	tur:exe	6	Çok tatlı olmasın.
02623529-v	tur:exe	7	Uçakla gidersek daha pahalı olur.
02623529-v	tur:exe	8	Böyle bir şey olamaz.
02623529-v	tur:exe	9	Sessiz olun!
02623529-v	tur:exe	10	Kaç yaprak olsun?
02623529-v	tur:exe	11	Olsun, ben ucuz olanını alayım.
02623529-v	tur:exe	12	Olur, geleyim.
02623529-v	tur:exe	13	Olur.
02623529-v	tur:exe	14	Ne oldu?
02623529-v	tur:pron	ol-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1985.mp3	
04398497-n	tur:lemma	kafe
04398497-n	tur:exe	0	Kafede oturalım mı?
04398497-n	tur:count	kafe	1
04398497-n	tur:pron	kafe			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1648.mp3	
00081591-r	tur:lemma	her hafta
00081591-r	tur:exe	0	Her hafta hastaneye gitmem gerekiyor.
00081591-r	tur:count	her hafta	1
00081591-r	tur:pron	her hafta			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1874.mp3	
01535246-v	tur:lemma	yıka-
01535246-v	tur:exe	0	Bulaşık yıkarken bir bardak kırdı.
01535246-v	tur:pron	yıka-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1568.mp3	
01535246-v	tur:lemma	çamaşır yıka-
01535246-v	tur:exe	0	Bügün çamaşır yıkayacağım.
01535246-v	tur:pron	çamaşır yıka-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1553.mp3	
00036362-v	tur:lemma	yıka-
00036362-v	tur:exe	0	Bulaşık yıkarken bir bardak kırdı.
00036362-v	tur:pron	yıka-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1568.mp3	
01536168-v	tur:lemma	yıka-
01536168-v	tur:exe	0	Bulaşık yıkarken bir bardak kırdı.
01536168-v	tur:pron	yıka-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1568.mp3	
00606093-v	tur:lemma	pratik yap-
00606093-v	tur:exe	0	Daha pratik yapman lazım.
00606093-v	tur:pron	pratik yap-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1619.mp3	
01723224-v	tur:lemma	pratik yap-
01723224-v	tur:exe	0	Daha pratik yapman lazım.
01723224-v	tur:pron	pratik yap-			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1619.mp3	
15156187-n	tur:lemma	dün
15156187-n	tur:exe	0	Osman dün gelmiş.
15156187-n	tur:exe	1	Dün beni niçin aramadın?
15156187-n	tur:exe	2	Dün çok içmişim.
15156187-n	tur:exe	3	Dünden beri boğazım ağrıyor.
15156187-n	tur:exe	4	Dünkü cumhuriyet bayramı kutlamaları gerçekten coşkuluydu.
15156187-n	tur:exe	5	Süleyman dün okula gelmedi.
15156187-n	tur:count	dün	6
15156187-n	tur:pron	dün			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1900.mp3	
01919428-a	tur:lemma	sessiz
01919428-a	tur:exe	0	Sessiz olun!
01919428-a	tur:count	sessiz	1
01919428-a	tur:pron	sessiz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1767.mp3	
01918984-a	tur:lemma	sessiz
01918984-a	tur:exe	0	Sessiz olun!
01918984-a	tur:count	sessiz	1
01918984-a	tur:pron	sessiz			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1767.mp3	
04437953-n	tur:lemma	saat
04437953-n	tur:exe	0	Ona kol saati almayı düşünüyorum.
04437953-n	tur:count	saat	1
04437953-n	tur:pron	saat			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1848.mp3	
03046257-n	tur:lemma	saat
03046257-n	tur:exe	0	Ona kol saati almayı düşünüyorum.
03046257-n	tur:count	saat	1
03046257-n	tur:pron	saat			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1848.mp3	
04350905-n	tur:lemma	takım elbise
04350905-n	tur:exe	0	Murat yeni takım elbise almış.
04350905-n	tur:count	takım elbise	1
04350905-n	tur:pron	takım elbise			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1518.mp3	
00409440-a	tur:lemma	koyu
00409440-a	tur:exe	0	Ben koyu renk severim.
00409440-a	tur:count	koyu	1
00409440-a	tur:pron	koyu			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1977.mp3	
00842199-a	tur:lemma	güçlü
00842199-a	tur:exe	0	Erkek güçlü olmalıdır.
00842199-a	tur:count	güçlü	1
00842199-a	tur:pron	güçlü			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1760.mp3	
15163979-n	tur:lemma	Pazartesi
15163979-n	tur:exe	0	Her Pazartesi toplantı var.
15163979-n	tur:count	Pazartesi	1
15163979-n	tur:pron	Pazartesi			https://www.coelang.tufs.ac.jp/mt/tr/vmod/sound/word/word_1878.mp3	
00059413-r	tur:lemma	sık sık
00059413-r	tur:exe	0	Burada sık sık kavga çıkar.
00059413-r	tur:count	sık sık	1
