# TUFS Basic Mongolian Wordnet	mon http://www.coelang.tufs.ac.jp/mt/mn/	CC BY 4.0
05320899-n	mon:lemma	чих
05320899-n	mon:exe	Гар утас чихэнд сөрөг нөлөөтэй гэнэ. 
00007846-n	mon:lemma	хэн нэгэн
00007846-n	mon:exe	Намайг идэхгүй байлаа гэхэд өөр хэн нэгэн нь үүнийг иднэ.
04284002-n	mon:lemma	халбага
04284002-n	mon:exe	Эхлээд халбагаар шөлийг уугаад, дараа нь сэрээ хутга хэрэглэж махыг иднэ.
13134947-n	mon:lemma	жимс
13134947-n	mon:exe	Уучлаарай, жимс зардаг тасаг хаана вэ?
11683989-n	mon:lemma	жимс
11683989-n	mon:exe	Уучлаарай, жимс зардаг тасаг хаана вэ?
02730813-v	mon:lemma	хэлэх
02730813-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
01009240-v	mon:lemma	хэлэх
01009240-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
00941990-v	mon:lemma	хэлэх
00941990-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
00979870-v	mon:lemma	хэлэх
00979870-v	mon:exe	Түүний үгэн дээр би нэг зүйл нэмж хэлье.
09854218-n	mon:lemma	эгч дүүс
09854218-n	mon:exe	Тэр хоёр эгч дүүс.
04507155-n	mon:lemma	шүхэр
04507155-n	mon:exe	Чи яагаад шүхэртэй зогсоод байгаа юм бэ?
02229324-a	mon:lemma	муу
02229324-a	mon:exe	Манай ах хоол хийхдээ муу.
01870636-a	mon:lemma	муу
01870636-a	mon:exe	Манай ах хоол хийхдээ муу.
01128103-a	mon:lemma	муу
01128103-a	mon:exe	Манай ах хоол хийхдээ муу.
02229000-a	mon:lemma	муу
02229000-a	mon:exe	Манай ах хоол хийхдээ муу.
15270431-n	mon:lemma	цаг
15270431-n	mon:exe	Чи чөлөөт цагаа яаж өнгөрөөдөг вэ? 
15227846-n	mon:lemma	цаг
15227846-n	mon:exe	Чи чөлөөт цагаа яаж өнгөрөөдөг вэ? 
15269513-n	mon:lemma	цаг
15269513-n	mon:exe	Чи чөлөөт цагаа яаж өнгөрөөдөг вэ? 
00744916-a	mon:lemma	хэцүү
00744916-a	mon:exe	Аа бас нилээн хэцүү юм байна. 
04401088-n	mon:lemma	утас
04401088-n	mon:exe	Энэ гар утас уу? 
06272803-n	mon:lemma	утас
06272803-n	mon:exe	Энэ гар утас уу? 
02870092-n	mon:lemma	ном
02870092-n	mon:exe	Хэлний ном энэ тавиурт, түүхийн ном тэр тавиурт байна. 
06410904-n	mon:lemma	ном
06410904-n	mon:exe	Хэлний ном энэ тавиурт, түүхийн ном тэр тавиурт байна. 
14974264-n	mon:lemma	цаас
14974264-n	mon:exe	Багш цүнхнээсээ хоёр хуудас цаас, үзэг гаргаад ширээн дээр тавив.
80000677-n	mon:lemma	цаас
80000677-n	mon:exe	Багш цүнхнээсээ хоёр хуудас цаас, үзэг гаргаад ширээн дээр тавив.
06255777-n	mon:lemma	цаас
06255777-n	mon:exe	Багш цүнхнээсээ хоёр хуудас цаас, үзэг гаргаад ширээн дээр тавив.
04960277-n	mon:lemma	хар
04960277-n	mon:exe	Дорж хар нүдтэй. 
02770717-v	mon:lemma	үүлших
02770717-v	mon:exe	Маргааш зарим нутгаар үүлшинэ.
02529945-a	mon:lemma	сэрүүн
02529945-a	mon:exe	Бороо орж сэрүүн салхи салхилав.
02207206-v	mon:lemma	авах
02207206-v	mon:exe	Автобусны билетээ хаанаас авах вэ?
02208265-v	mon:lemma	авах
02208265-v	mon:exe	Автобусны билетээ хаанаас авах вэ?
00422620-a	mon:lemma	муухай
00422620-a	mon:exe	Энэ муухай цүнх хэнийх вэ?
01908889-a	mon:lemma	муухай
01908889-a	mon:exe	Энэ муухай цүнх хэнийх вэ?
00419289-a	mon:lemma	муухай
00419289-a	mon:exe	Энэ муухай цүнх хэнийх вэ?
01345109-v	mon:lemma	хаах
01345109-v	mon:exe	Хаалгаа хаагаад яваач!
01960911-v	mon:lemma	сэлэх
01960911-v	mon:exe	Чи усанд сэлж  чадах уу?
00933154-a	mon:lemma	өндөр
00933154-a	mon:exe	Аан! Тэр өндөр хүрэн барилга уу? Ямар хэл сурч байна даа? 
04199027-n	mon:lemma	гутал
04199027-n	mon:exe	Япон айлд орохдоо үүдэнд нь гутлаа тайлаад гэрийн шаахайнаас өмсөөрөй.
04330340-n	mon:lemma	зуух
04330340-n	mon:exe	Гэртээ очтол ээж маань зуухны хажууд сууж байлаа.
05598147-n	mon:lemma	хамар
05598147-n	mon:exe	Миний хамар битүүрээд байна.
05658826-n	mon:lemma	хамар
05658826-n	mon:exe	Миний хамар битүүрээд байна.
06947032-n	mon:lemma	англи хэл
06947032-n	mon:exe	Манай эрэгтэй дүү ирэх жилээс АНУ-д суралцахаар одоо англи хэлний дамжаанд явж байна.
07575726-n	mon:lemma	оройн хоол
07575726-n	mon:exe	Оройн хоолонд юу идэх вэ?
07575726-n	mon:lemma	оройн хоол
07575726-n	mon:exe	Оройн хоолонд юу идэх вэ?
03485794-n	mon:lemma	нусны алчуур
03485794-n	mon:exe	Эрэгтэй хүн олны дунд явахдаа индүүдээгүй бохир нусны алчуур гаргаж хэрэглэвэл соёлч бус байдлын илрэл гэж үздэг юм.
01198101-v	mon:lemma	татах
01198101-v	mon:exe	Тамхи татдаг, өтгөн байхуу цай, кофе уудаг хүмүүсийн шүд амархан шарладаг. 
02741003-v	mon:lemma	өлгөх
02741003-v	mon:exe	Хувцасаа өлгүүрт өлгөөрөй!
01206474-a	mon:lemma	намхан
01206474-a	mon:exe	Сургуулийн баруун талд нэг намхан байшин байдаг.
13832355-n	mon:lemma	зүүн
13832355-n	mon:exe	Манай сургуулийн зүүн талд номын дэлгүүр байсан юм. 
11525955-n	mon:lemma	салхи
11525955-n	mon:exe	Өнөөдөр салхитай ч гэсэн дулаахан байна.
02324182-v	mon:lemma	түр өгөх
02324182-v	mon:exe	Та үзгээ түр өгөөч? 
01437963-a	mon:lemma	урт
01437963-a	mon:exe	Хамгийн урт үстэй нь хэн бэ?
01433493-a	mon:lemma	урт
01433493-a	mon:exe	Хамгийн урт үстэй нь хэн бэ?
01444022-a	mon:lemma	урт
01444022-a	mon:exe	Хамгийн урт үстэй нь хэн бэ?
80001077-n	mon:lemma	хэд
80001077-n	mon:exe	Хэдэн ном, хэд хоногийн хугацаатай авч болох вэ? 
80001077-n	mon:lemma	ямар үнэтэй
80001077-n	mon:exe	Тоглолтын билет ямар үнэтэй гэнэ? 
10665698-n	mon:lemma	сурагч
10665698-n	mon:exe	Манай сургууль 1000 гаруй сурагчидтай.
10665698-n	mon:lemma	оюутан
10665698-n	mon:exe	Таны оюутны үнэмлэх хэрэгтэй. 
10251779-n	mon:lemma	сурагч
10251779-n	mon:exe	Манай сургууль 1000 гаруй сурагчидтай.
08615374-n	mon:lemma	цэцэрлэгт хүрээлэн
08615374-n	mon:exe	Агаарын бохирдлоосоо салахын тулд энэ хотын ойр орчимд хэд хэдэн сайхан цэцэрлэгт хүрээлэн байгуулах хэрэгтэй.
77000064-n	mon:lemma	аль
77000064-n	mon:exe	Аль автобус ирж вэ?
03290771-n	mon:lemma	үүд
03290771-n	mon:exe	Япон айлд орохдоо үүдэнд нь гутлаа тайлаад гэрийн шаахайнаас өмсөөрөй.
03290771-n	mon:lemma	орох хаалга
03290771-n	mon:exe	Энэ байшингийн орох хаалга нь хоёрдугаар давхарт байгаа.
06409752-n	mon:lemma	зохион бичлэг
06409752-n	mon:exe	Бид багаасаа зохион бичлэг хийдэг байсан.
10286084-n	mon:lemma	ах дүү
10286084-n	mon:exe	Таны эцэг эх, ах дүү нар одоо хаана ямар ажил хийж байна вэ?
09876454-n	mon:lemma	ах дүү
09876454-n	mon:exe	Таны эцэг эх, ах дүү нар одоо хаана ямар ажил хийж байна вэ?
80001731-n	mon:lemma	гадаад оюутан
80001731-n	mon:exe	Манай сургуульд 90 орчим гадаад оюутан суралцдаг.
77000031-n	mon:lemma	тэд
77000031-n	mon:exe	Тэд салхинд зугаалангаа голоос ус авчирчээ.
00934199-a	mon:lemma	хямд
00934199-a	mon:exe	Дорж тэр машныг хямд үнээр авсан гэнэ.
00935103-a	mon:lemma	хямд
00935103-a	mon:exe	Дорж тэр машныг хямд үнээр авсан гэнэ.
02747802-n	mon:lemma	үнсний сав
02747802-n	mon:exe	Ширээн дээр үнсний сав байна.
15213115-n	mon:lemma	аравдугаар сар
15213115-n	mon:exe	Би 1985 оны аравдугаар сарын 15-нд төрсөн.
15203791-n	mon:lemma	жил
15203791-n	mon:exe	Эхний нэг жил хэлний бэлтгэл хийчихээд дараа нь хуулийн чиглэлээр 4-н жил суралцана. 
03619890-n	mon:lemma	гал тогооны өрөө
03619890-n	mon:exe	Аяга тавгаа гал тогооны өрөөнөөс авч ирээрэй.
00273734-v	mon:lemma	заах
00273734-v	mon:exe	Би түүхийн хичээлд сонирхолгүй ч, Бат багш сонирхолтой заадаг.
00829107-v	mon:lemma	заах
00829107-v	mon:exe	Би түүхийн хичээлд сонирхолгүй ч, Бат багш сонирхолтой заадаг.
00963570-v	mon:lemma	ярих
00963570-v	mon:exe	Аргагүй байхаа, танд оросоор ярих орчин байхгүй болохоор тэр.
00815686-v	mon:lemma	хариулах
00815686-v	mon:exe	Асуултанд хариулахдаа гараа өргөөрөй.
00635523-v	mon:lemma	хариулах
00635523-v	mon:exe	Асуултанд хариулахдаа гараа өргөөрөй.
01775164-v	mon:lemma	их дуртай
01775164-v	mon:exe	Би сүүтэй цайнд их дуртай.
01828736-v	mon:lemma	их дуртай
01828736-v	mon:exe	Би сүүтэй цайнд их дуртай.
06418901-n	mon:lemma	толь бичиг
06418901-n	mon:exe	Энэ чинь шинээр гарсан толь бичиг үү?
15164570-n	mon:lemma	хагас сайн өдөр
15164570-n	mon:exe	Хоёрдохь өдөр таны үзсэн киног би хагас сайн өдөр үзнэ. 
00284798-n	mon:lemma	салхинд гарах
00284798-n	mon:exe	Өнөөдөр сайхан өдөр байна. Салхинд гаръя.
00284101-n	mon:lemma	салхинд гарах
00284101-n	mon:exe	Өнөөдөр сайхан өдөр байна. Салхинд гаръя.
01712704-v	mon:lemma	хийх
01712704-v	mon:exe	Өнөөдөр номын санд хамт даалгавараа хийх үү? 
08277393-n	mon:lemma	сургууль
08277393-n	mon:exe	Зургаан настай  нэг хүүтэй, ирэх жил сургуульд орно. 
08276720-n	mon:lemma	сургууль
08276720-n	mon:exe	Зургаан настай  нэг хүүтэй, ирэх жил сургуульд орно. 
00161630-r	mon:lemma	удаан
00161630-r	mon:exe	Арай удаан ярьж өгөхгүй юү?
90000506-n	mon:lemma	өнгөрсөн долоо хоног
90000506-n	mon:exe	Өнөөдөр, өнгөрсөн долоо хоногт болсон гэмт хэргийн талаар авч хэлэлцэнэ.
03057021-n	mon:lemma	хүрэм
03057021-n	mon:exe	Савхин хүрэмтэй хүн зочид буудлаас гарч ирлээ.
03057021-n	mon:lemma	пальто
03057021-n	mon:exe	Тэр хүүхний пальто нь үнэгэн захтай.
03589791-n	mon:lemma	хүрэм
03589791-n	mon:exe	Савхин хүрэмтэй хүн зочид буудлаас гарч ирлээ.
06929279-n	mon:lemma	япон хэл
06929279-n	mon:exe	Та япон хэл мэдэх үү? 
03303965-n	mon:lemma	гарах хаалга
03303965-n	mon:exe	Би Болдтой Тэнгэр кино театрийн гарах хаалганы ойролцоо өнөөдөр орой 7 цагт уулзахаар тохиролцов.
10142391-n	mon:lemma	өвгөн
10142391-n	mon:exe	Эрт дээр цагт нэгэн ядуу өвгөн, ач хүүтэйгээ амьдарч байжээ. 
07934530-n	mon:lemma	байхуу цай
07934530-n	mon:exe	Тамхи татдаг, өтгөн байхуу цай, кофе уудаг хүмүүсийн шүд амархан шарладаг. 
07933274-n	mon:lemma	байхуу цай
07933274-n	mon:exe	Тамхи татдаг, өтгөн байхуу цай, кофе уудаг хүмүүсийн шүд амархан шарладаг. 
07933274-n	mon:lemma	цай
07933274-n	mon:exe	Та цай уух уу, кофе уух уу?
03147509-n	mon:lemma	аяга
03147509-n	mon:exe	Би өглөө босоод нэг аяга кофе уучихаад мэйлээ шалгадаг. \n
03972524-n	mon:lemma	халаас
03972524-n	mon:exe	Аав халаасандаа гараа хийв.
04968895-n	mon:lemma	цэнхэр
04968895-n	mon:exe	Цэнхэр дээл чамд сайхан зохих байхаа.
01555416-a	mon:lemma	бага
01555416-a	mon:exe	Зун цагаан идээг түлхүү хэрэглэж, махан хоол бага хэрэглэдэг.
01552885-a	mon:lemma	бага
01552885-a	mon:exe	Зун цагаан идээг түлхүү хэрэглэж, махан хоол бага хэрэглэдэг.
00017865-v	mon:lemma	унтах
00017865-v	mon:exe	Унтахаасаа өмнө нүүрээ халуун бүлээн усаар савандаж угаах хэрэгтэй.
00450147-a	mon:lemma	ойрхон
00450147-a	mon:exe	Эндээс хол уу ойрхон уу? 
00444519-a	mon:lemma	ойрхон
00444519-a	mon:exe	Эндээс хол уу ойрхон уу? 
00445169-a	mon:lemma	ойрхон
00445169-a	mon:exe	Эндээс хол уу ойрхон уу? 
00584367-n	mon:lemma	ажил
00584367-n	mon:exe	Ажил тарсны дараа ирэх үү?
07574602-n	mon:lemma	өглөөний хоол
07574602-n	mon:exe	Өглөөний хоолоо идээд ирсэн үү?
08078020-n	mon:lemma	гэр бүл
08078020-n	mon:exe	Би ч гэсэн баяртай байна. Өнөөдөр би таныг гэр бүлийнхэнтэйгээ танилцуулнаа.  
10236304-n	mon:lemma	гэр бүл
10236304-n	mon:exe	Би ч гэсэн баяртай байна. Өнөөдөр би таныг гэр бүлийнхэнтэйгээ танилцуулнаа.  
07970406-n	mon:lemma	гэр бүл
07970406-n	mon:exe	Би ч гэсэн баяртай байна. Өнөөдөр би таныг гэр бүлийнхэнтэйгээ танилцуулнаа.  
07970406-n	mon:lemma	айл
07970406-n	mon:exe	Япон айлд орохдоо үүдэнд нь гутлаа тайлаад гэрийн шаахайнаас өмсөөрөй.
04197391-n	mon:lemma	цамц
04197391-n	mon:exe	Костюмныхаа өнгөнөөс илүү бараан цамц, бас түүнээс илүү цайвар зангиа зүүж болохгүй
09918248-n	mon:lemma	хүүхэд
09918248-n	mon:exe	Хүүхэдтэй юу? 
12212361-n	mon:lemma	ногоо
12212361-n	mon:exe	Би их өлсөж байна. Ногоотой шөл, бууз иднээ. Харин чи?
07707451-n	mon:lemma	ногоо
07707451-n	mon:exe	Би их өлсөж байна. Ногоотой шөл, бууз иднээ. Харин чи?
03365991-n	mon:lemma	давхар
03365991-n	mon:exe	4-р давхарын баруун жигүүрт монгол номууд бий. 
00976508-a	mon:lemma	хурдан
00976508-a	mon:exe	Та автобусаар явж болно, гэхдээ таксигаар явбал арай хурдан очно. 
00981818-a	mon:lemma	хурдан
00981818-a	mon:exe	Та автобусаар явж болно, гэхдээ таксигаар явбал арай хурдан очно. 
00979862-a	mon:lemma	хурдан
00979862-a	mon:exe	Та автобусаар явж болно, гэхдээ таксигаар явбал арай хурдан очно. 
01367431-a	mon:lemma	хөл хөгжөөнтэй
01367431-a	mon:exe	Өнөөдөр Сүхбаатарын талбай хөл хөгжөөнтэй байлаа. 
07644382-n	mon:lemma	тахианы мах
07644382-n	mon:exe	Сүүлийн үед гахай, тахианы махыг өргөн хэрэглэх болж байна. \n
07644967-n	mon:lemma	тахианы мах
07644967-n	mon:exe	Сүүлийн үед гахай, тахианы махыг өргөн хэрэглэх болж байна. \n
07813107-n	mon:lemma	давс
07813107-n	mon:exe	Давс их идэх нь хэдэн зүйлийн өвчинтэй нягт холбоотой.
07825972-n	mon:lemma	цуу
07825972-n	mon:exe	Япончууд хоолондоо цуу их хэрэглэдэг.\n
02005948-v	mon:lemma	хүрэх
02005948-v	mon:exe	Энэ захиа хэд хоноод хүрэх вэ?
02930766-n	mon:lemma	такси
02930766-n	mon:exe	Та автобусаар явж болно, гэхдээ таксигаар явбал арай хурдан очно. 
00604617-a	mon:lemma	дөхөмтэй
00604617-a	mon:exe	Блог бичихэд энэ программ их дөхөмтэй.\n
15237250-n	mon:lemma	зун
15237250-n	mon:exe	Энэ зун бөхийн барилдаан хэзээ болох вэ? 
03757138-n	mon:lemma	метро
03757138-n	mon:exe	Ер нь 800 мянгаас дээш хүн амтай хотод метро байгуулдаг. 
04349306-n	mon:lemma	метро
04349306-n	mon:exe	Ер нь 800 мянгаас дээш хүн амтай хотод метро байгуулдаг. 
77000090-n	mon:lemma	яаж
77000090-n	mon:exe	Би яаж очих вэ? 
80001331-x	mon:lemma	яаж
80001331-x	mon:exe	Би яаж очих вэ? 
77000104-n	mon:lemma	хэзээ
77000104-n	mon:exe	Энэ зун бөхийн барилдаан хэзээ болох вэ? 
04105893-n	mon:lemma	байр
04105893-n	mon:exe	Манайх 2 өрөөтэй байранд олуулаа амьдардаг байсан. 
06415419-n	mon:lemma	дэвтэр
06415419-n	mon:exe	Өнөөдөр хичээлтэй шүү. Дэвтрээ авахаа мартуузай.
01376705-a	mon:lemma	алдартай
01376705-a	mon:exe	Манай багш дэлхийд алдартай тэр сургуулийг төгссөн хүн.
01375831-a	mon:lemma	алдартай
01375831-a	mon:exe	Манай багш дэлхийд алдартай тэр сургуулийг төгссөн хүн.
00953216-v	mon:lemma	ярих
00953216-v	mon:exe	Тиймээ, би тантай ярих юм байгаа юмсан. 
00962447-v	mon:lemma	ярих
00962447-v	mon:exe	Тиймээ, би тантай ярих юм байгаа юмсан. 
02935891-n	mon:lemma	гуанз
02935891-n	mon:exe	Гуанзанд хооллодог юм билүү гэж бодож байна.
01984902-v	mon:lemma	суух
01984902-v	mon:exe	Наашаа ирээд суугаарай.
00120223-r	mon:lemma	-нгаа  ...
00120223-r	mon:exe	Тэд салхинд зугаалангаа голоос ус авчирчээ.
00120095-r	mon:lemma	-нгаа  ...
00120095-r	mon:exe	Тэд салхинд зугаалангаа голоос ус авчирчээ.
02386612-a	mon:lemma	бага
02386612-a	mon:exe	Намайг бага байх үед автобусны билет 50 мөнгө байсан.
02386612-a	mon:lemma	богино
02386612-a	mon:exe	"Богино хугацаа" ангиллын виз авахад урилга хэрэггүй болсон байх аа.
02345713-a	mon:lemma	муу
02345713-a	mon:exe	Архи хүний биед муу нөлөөтэй.
00478311-a	mon:lemma	муу
00478311-a	mon:exe	Архи хүний биед муу нөлөөтэй.
01174222-a	mon:lemma	муу
01174222-a	mon:exe	Архи хүний биед муу нөлөөтэй.
03025755-n	mon:lemma	савх
03025755-n	mon:exe	Монголчууд савх хэрэглэдэг үү?
15166191-n	mon:lemma	үдээс хойш
15166191-n	mon:exe	Өчигдөр би үдээс өмнө гэрээ цэвэрлээд үдээс хойш ном уншив.
80000080-n	mon:lemma	энэ сар
80000080-n	mon:exe	Би энэ сарын сүүлээр явна.
06624161-n	mon:lemma	захиа
06624161-n	mon:exe	За тэгье. Бас энэ захиаг Япон луу явуулах гэсэн юм.
01909812-v	mon:lemma	эргэх
01909812-v	mon:exe	Энхтайвны гүүрээр гараад зүүн гар тийшээ эргээд яваарай.
07929519-n	mon:lemma	кофе
07929519-n	mon:exe	Та цай уух уу, кофе уух уу?
01729431-v	mon:lemma	дуулах
01729431-v	mon:exe	Дулмаа, чи нэг сайхан дуу дуулаач!
11501381-n	mon:lemma	бороо
11501381-n	mon:exe	Өчигдөр анхны бороо орлоо.
07749582-n	mon:lemma	нимбэг
07749582-n	mon:exe	Цайндаа сүү хийх үү, нимбэг хийх үү?
90000511-n	mon:lemma	уржигдар
90000511-n	mon:exe	Зарим нутгаар уржигдар хүчтэй шороон шуурга шуурчээ.
00118032-r	mon:lemma	за
00118032-r	mon:exe	За, үүнийг явуулъя.
00118032-r	mon:lemma	тэгвэл
00118032-r	mon:exe	Тэгвэл би үдийн хоол цай хийгээд аваад ирэх үү?
04468005-n	mon:lemma	цахилгаан галт тэрэг
04468005-n	mon:exe	Бид Наритагаас цахилгаан галт тэргээр хотын төв рүү явлаа. 
77000002-n	mon:lemma	бид
77000002-n	mon:exe	Бид нар чамайг утсаар ярьсны дараа явна.
15206296-n	mon:lemma	нэг сар
15206296-n	mon:exe	Наашаа ирээд нэг сар боллоо.
02834778-n	mon:lemma	дугуй
02834778-n	mon:exe	Манай ах дандаа дугуйгаар явдаг.
06597466-n	mon:lemma	сэтгүүл
06597466-n	mon:exe	Энэ сэтгүүл огтхон ч сонирхолгүй шүү дээ.
06595351-n	mon:lemma	сэтгүүл
06595351-n	mon:exe	Энэ сэтгүүл огтхон ч сонирхолгүй шүү дээ.
03704210-n	mon:lemma	сэтгүүл
03704210-n	mon:exe	Энэ сэтгүүл огтхон ч сонирхолгүй шүү дээ.
08238463-n	mon:lemma	анги
08238463-n	mon:exe	Танай анги энэ хавар ямар ямар шалгалт өгөх вэ?
00050454-v	mon:lemma	тайлах
00050454-v	mon:exe	Япон айлд орохдоо үүдэнд нь гутлаа тайлаад гэрийн шаахайнаас өмсөөрөй.
02649830-v	mon:lemma	суух
02649830-v	mon:exe	Та хаана суудаг вэ?
15155891-n	mon:lemma	маргааш
15155891-n	mon:exe	Маргааш тэнгэр ямар байна гэсэн бэ?
04208936-n	mon:lemma	шүршүүр
04208936-n	mon:exe	Халуун, хүйтэн усан шүршүүрээр цохиулсны дүнд цусны эргэлт сайжрав.
15213774-n	mon:lemma	арван хоёрдугаар сар
15213774-n	mon:exe	Арван хоёрдугаар сарын 24-ний орой энд уулзацгаая.
00625119-v	mon:lemma	унших
00625119-v	mon:exe	Уншихад амархан үгээр бичсэн ном байвал зүгээр. 
02774152-n	mon:lemma	цүнх
02774152-n	mon:exe	Багш цүнхнээсээ хоёр хуудас цаас, үзэг гаргаад ширээн дээр тавив.
02773037-n	mon:lemma	цүнх
02773037-n	mon:exe	Багш цүнхнээсээ хоёр хуудас цаас, үзэг гаргаад ширээн дээр тавив.
13250542-n	mon:lemma	мөнгө
13250542-n	mon:exe	Би мөнгө солих гэсэн юм. 
13384557-n	mon:lemma	мөнгө
13384557-n	mon:exe	Би мөнгө солих гэсэн юм. 
05600637-n	mon:lemma	нүүр
05600637-n	mon:exe	Унтахаасаа өмнө нүүрээ халуун бүлээн усаар савандаж угаах хэрэгтэй.
07597365-n	mon:lemma	чихэр
07597365-n	mon:exe	За, одоо чихэр ид.
00024356-r	mon:lemma	үгүй
00024356-r	mon:exe	Үгүй. Харин бага байхдаа найзуудтайгаа барилддаг байлаа. 
03176763-n	mon:lemma	их дэлгүүр
03176763-n	mon:exe	За, нм... ! Энэ хавьд ойрхон их дэлгүүр бий юу? 
01725051-v	mon:lemma	тоглох
01725051-v	mon:exe	Ямар хөгжим тоглож чадах вэ?
77000089-a	mon:lemma	ийм
77000089-a	mon:exe	Эрдэм номтой хүн байна гэдэг ийм сайхан бахархамаар зүйл байдаг юм байна.
15164354-n	mon:lemma	дөрөвдэх өдөр
15164354-n	mon:exe	Манай номын сан дөрөвдэх өдөр амардаг.
00056916-r	mon:lemma	зүгээр; зүгээр
00056916-r	mon:lemma	зүгээр; зүгээр
00056916-r	mon:exe	Зүгээр, зүгээр. 
00816481-a	mon:lemma	оройтох
00816481-a	mon:exe	Арва н цагаас бүү оройтоорой!
01901186-a	mon:lemma	оройтох
01901186-a	mon:exe	Арва н цагаас бүү оройтоорой!
04956594-n	mon:lemma	өнгө
04956594-n	mon:exe	Танай машин ямар өнгөтэй вэ?
04674968-n	mon:lemma	өнгө
04674968-n	mon:exe	Танай машин ямар өнгөтэй вэ?
07109730-n	mon:lemma	үг
07109730-n	mon:exe	Уншихад амархан үгээр бичсэн ном байвал зүгээр. 
06282651-n	mon:lemma	үг
06282651-n	mon:exe	Уншихад амархан үгээр бичсэн ном байвал зүгээр. 
00121135-r	mon:lemma	тийм
00121135-r	mon:exe	Тийм, энэ сэдвээ орчуулахаасаа өмнө, самбар дахь шинэ үгийг бичиж аваарай!
04962784-n	mon:lemma	улаан
04962784-n	mon:exe	Улаан харандаа байвал надад өгөөч.
03871083-n	mon:lemma	боодол
03871083-n	mon:exe	Энэ боодлыг шуудангаар явуулах гэсэн юм.
02774630-n	mon:lemma	боодол
02774630-n	mon:exe	Энэ боодлыг шуудангаар явуулах гэсэн юм.
07891726-n	mon:lemma	дарс
07891726-n	mon:exe	Хоёулаа гараад нэг шил дарс аваад ирэх үү?
07884567-n	mon:lemma	дарс
07884567-n	mon:exe	Хоёулаа гараад нэг шил дарс аваад ирэх үү?
07891433-n	mon:lemma	дарс
07891433-n	mon:exe	Хоёулаа гараад нэг шил дарс аваад ирэх үү?
15164463-n	mon:lemma	тавдахь өдөр
15164463-n	mon:exe	Тавдахь өдөр Дорж багш ирдэг үү?
03581125-n	mon:lemma	уулзвар
03581125-n	mon:exe	Замын уулзвар дээр зохицуулагч байнга байх хэрэгтэй болжээ.
02410393-a	mon:lemma	зузаан
02410393-a	mon:exe	Би монголын түүхийн тухай зузаан ном уншиж дуусгалаа.
02410393-a	mon:lemma	бүдүүн
02410393-a	mon:exe	Манай аав бүдүүн хүзүүтэй.
02415390-a	mon:lemma	зузаан
02415390-a	mon:exe	Би монголын түүхийн тухай зузаан ном уншиж дуусгалаа.
02756821-v	mon:lemma	бороо орох
02756821-v	mon:exe	Удахгүй бороо орох шинжтэй дэг шүү.\n
02529264-a	mon:lemma	дулаан
02529264-a	mon:exe	Өвөлдөө хүйтэн, зундаа дулаан. 
01546111-v	mon:lemma	босох
01546111-v	mon:exe	Бат суудлаасаа босч асуултанд нь хариулав.
10142747-n	mon:lemma	эмгэн
10142747-n	mon:exe	Эрт урьд цагт эмгэн өвгөн хоёр амьдран суудаг байжээ. 
07679356-n	mon:lemma	талх
07679356-n	mon:exe	Талх дуусчихсан уу? 
03259505-n	mon:lemma	гэр
03259505-n	mon:exe	За тэгье. Жаахан эртхэн гэрээсээ гарахгүй яасан юм бэ?
03544360-n	mon:lemma	гэр
03544360-n	mon:exe	За тэгье. Жаахан эртхэн гэрээсээ гарахгүй яасан юм бэ?
03544360-n	mon:lemma	гэр
03544360-n	mon:exe	За тэгье. Жаахан эртхэн гэрээсээ гарахгүй яасан юм бэ?
08559508-n	mon:lemma	гэр
08559508-n	mon:exe	За тэгье. Жаахан эртхэн гэрээсээ гарахгүй яасан юм бэ?
08559508-n	mon:lemma	гэр
08559508-n	mon:exe	За тэгье. Жаахан эртхэн гэрээсээ гарахгүй яасан юм бэ?
15210486-n	mon:lemma	хоёрдугаар сар
15210486-n	mon:exe	Миний үнэмлэх хоёрдугаар сар хүртэл хүчинтэй.
15167349-n	mon:lemma	орой
15167349-n	mon:exe	Тэгье. Би маргааш орой концерт үзмээр байна. Хоёулаа үзэх үү? 
15155747-n	mon:lemma	орой
15155747-n	mon:exe	Тэгье. Би маргааш орой концерт үзмээр байна. Хоёулаа үзэх үү? 
15167027-n	mon:lemma	орой
15167027-n	mon:exe	Тэгье. Би маргааш орой концерт үзмээр байна. Хоёулаа үзэх үү? 
15167027-n	mon:lemma	өчигдөр орой
15167027-n	mon:exe	Билет дууссан байсан учир  өчигдөр орой жүжиг үзсэнгүй. 
15167474-n	mon:lemma	орой
15167474-n	mon:exe	Тэгье. Би маргааш орой концерт үзмээр байна. Хоёулаа үзэх үү? 
03438257-n	mon:lemma	аяга
03438257-n	mon:exe	Энэ халуунд нэг аяга хүйтэн шар айраг залгилчихвал мөн  сайхан аа.
08613593-n	mon:lemma	гадаа
08613593-n	mon:exe	Байрны гадаа олон хүүхэд сагс тоглож байна.
03338821-n	mon:lemma	хальс
03338821-n	mon:exe	Гэрэл зургийн хальсаа хаана угаалгаж авах вэ?
06613686-n	mon:lemma	хальс
06613686-n	mon:exe	Гэрэл зургийн хальсаа хаана угаалгаж авах вэ?
06613686-n	mon:lemma	кино
