# TUFS Basic Central Khmer Wordnet	khm http://www.coelang.tufs.ac.jp/mt/km/	CC BY 4.0
00479391-v	khm:lemma	លុប
00479391-v	khm:exe	គាត់លុបអក្សរចោល។
03238879-n	khm:lemma	អាវសឺមី
03238879-n	khm:exe	ឯកសណ្ឋានសិស្សគឺខោខៀវអាវសឺមីស។
02412164-a	khm:lemma	ស្ដើង
02412164-a	khm:exe	នៅខែក្ដៅ គេស្លៀកពាក់អាវស្ដើង។
02414188-a	khm:lemma	ស្ដើង
02414188-a	khm:exe	នៅខែក្ដៅ គេស្លៀកពាក់អាវស្ដើង។
08489627-n	khm:lemma	កន្លែងនោះ
08489627-n	khm:exe	កន្លែងនោះគ្មានអ្វីសំគាល់ឲ្យស្រួលរកសោះ។
01168468-v	khm:lemma	ញ៉ាំ
01168468-v	khm:exe	ញ៉ាំបាយពេលថ្ងៃហើយ ទន់ត្របកភ្នែក។
01166351-v	khm:lemma	ញ៉ាំ
01166351-v	khm:exe	ញ៉ាំបាយពេលថ្ងៃហើយ ទន់ត្របកភ្នែក។
01179865-v	khm:lemma	ញ៉ាំ
01179865-v	khm:exe	ញ៉ាំបាយពេលថ្ងៃហើយ ទន់ត្របកភ្នែក។
15122231-n	khm:lemma	ពេល
15122231-n	khm:exe	ការខ្សិបសួរគ្នាក្នុងពេលប្រឡង នឹងត្រូវពិន័យ។
02818832-n	khm:lemma	គ្រែ
02818832-n	khm:exe	មន្ទីរពេទ្យនេះមាន១០០គ្រែ។
90000503-n	khm:lemma	ឆ្នាំក្រោយ
90000503-n	khm:exe	បវេសនកាលឆ្នាំក្រោយ គាត់ចូលរៀនថ្នាក់បណ្ឌិត។
08168367-n	khm:lemma	បរទេស
08168367-n	khm:exe	គាត់ត្រូវការសំបុត្រឆ្លងដែន ដើម្បីធ្វើដំណើរទៅបរទេស។
02560548-a	khm:lemma	ទូលាយ
02560548-a	khm:exe	ផ្ទះចង្អៀត តែចិត្តម្ចាស់ផ្ទះទូលាយ។
01384212-a	khm:lemma	ទូលាយ
01384212-a	khm:exe	ផ្ទះចង្អៀត តែចិត្តម្ចាស់ផ្ទះទូលាយ។
01031256-v	khm:lemma	ផ្ញើ
01031256-v	khm:exe	អញ្ចឹង សុំផ្ញើអីវ៉ាន់នេះ បានទេ?
01995211-v	khm:lemma	ផ្ញើ
01995211-v	khm:exe	អញ្ចឹង សុំផ្ញើអីវ៉ាន់នេះ បានទេ?
00255710-n	khm:lemma	បោកគក់
00255710-n	khm:exe	រាល់ថ្ងៃអាទិត្យ ខ្ញុំបោកគក់ខោអាវច្រើន។
07110457-n	khm:lemma	រឿង
07110457-n	khm:exe	លោកគ្រូ រឿងចុះបំពេញកម្មសិក្សារបស់ខ្ញុំ យ៉ាងម៉េចដែរ?
00893243-n	khm:lemma	រឿង
00893243-n	khm:exe	លោកគ្រូ រឿងចុះបំពេញកម្មសិក្សារបស់ខ្ញុំ យ៉ាងម៉េចដែរ?
07221094-n	khm:lemma	រឿង
07221094-n	khm:exe	លោកគ្រូ រឿងចុះបំពេញកម្មសិក្សារបស់ខ្ញុំ យ៉ាងម៉េចដែរ?
07139316-n	khm:lemma	រឿង
07139316-n	khm:exe	លោកគ្រូ រឿងចុះបំពេញកម្មសិក្សារបស់ខ្ញុំ យ៉ាងម៉េចដែរ?
00031798-r	khm:lemma	ហើយ
00031798-r	khm:exe	អង្គប្រជុំចាប់ផ្ដើមហើយ សូមស្ងាត់។
07555863-n	khm:lemma	ម្ហូបអាហារ
07555863-n	khm:exe	ម្ហូបអាហារអឺរ៉ុបប្រើទឹកដោះគោច្រើន។
07560652-n	khm:lemma	ម្ហូបអាហារ
07560652-n	khm:exe	ម្ហូបអាហារអឺរ៉ុបប្រើទឹកដោះគោច្រើន។
00157412-r	khm:lemma	ពេលខ្លះ
00157412-r	khm:exe	រថភ្លើងរត់ទៀងម៉ោងណាស់ តែពេលខ្លះក៏មានយឺតដែរ។
00021212-r	khm:lemma	ពេលខ្លះ
00021212-r	khm:exe	រថភ្លើងរត់ទៀងម៉ោងណាស់ តែពេលខ្លះក៏មានយឺតដែរ។
03740161-n	khm:lemma	ថ្នាំ
03740161-n	khm:exe	ថ្នាំបុរាណព្យាបាលជម្ងឺបានស័ក្តិសិទ្ធិ។
02318272-a	khm:lemma	ត្រង់
02318272-a	khm:exe	ផ្លូវហ្នឹងហើយចៅ ចៅដើរឲ្យត្រង់ទៅ។
02310895-a	khm:lemma	ត្រង់
02310895-a	khm:exe	ផ្លូវហ្នឹងហើយចៅ ចៅដើរឲ្យត្រង់ទៅ។
02314584-a	khm:lemma	ត្រង់
02314584-a	khm:exe	ផ្លូវហ្នឹងហើយចៅ ចៅដើរឲ្យត្រង់ទៅ។
10787470-n	khm:lemma	ស្រី
10787470-n	khm:exe	បាទ អារីប្អូនស្រីខ្ញុំ និងពួកម៉ាកវា ដែលនាំបងស្រីមកជាមួយដែរ។
10736091-n	khm:lemma	ពូ
10736091-n	khm:exe	ខ្ញុំមានពូ៣នាក់។
04404997-n	khm:lemma	កាមេរ៉ា
04404997-n	khm:exe	កាមេរ៉ាផលិតនៅស្រុកជប៉ុន តូចៗស្អាតណាស់់
02942699-n	khm:lemma	កាមេរ៉ា
02942699-n	khm:exe	កាមេរ៉ាផលិតនៅស្រុកជប៉ុន តូចៗស្អាតណាស់់
04370048-n	khm:lemma	អាវរងារ
04370048-n	khm:exe	ពាក់អាវរងារោមចៀមហើយ នៅមិនបាត់រងាទៀត។
02626604-v	khm:lemma	ក្លាយជា
02626604-v	khm:exe	ការសេពគប់មិត្តល្អ ធ្វើឲ្យកូនគាត់ក្លាយជាក្មេងស្លូតបូត។
02623529-v	khm:lemma	ក្លាយជា
02623529-v	khm:exe	ការសេពគប់មិត្តល្អ ធ្វើឲ្យកូនគាត់ក្លាយជាក្មេងស្លូតបូត។
04398497-n	khm:lemma	ហាងកាហ្វេ
04398497-n	khm:exe	ហាងកាហ្វេក៏មានធ្វើគុយទាវ និងបាយដែរ។
00081591-r	khm:lemma	រាល់អាទិត្យ
00081591-r	khm:exe	រាល់អាទិត្យ គាត់ទៅវត្ត១ដងយ៉ាងតិច។
01535246-v	khm:lemma	ជូត
01535246-v	khm:exe	គេជូតកញ្ចក់ដោយប្រើកាសែតចាស់ជ្រលក់ទឹក។
01535246-v	khm:lemma	បោក
01535246-v	khm:exe	បាទ លុបមុខ បោសសំអាតផ្ទះ បោកខោអាវ ហើយរៀបចំបាយព្រឹកសម្រាប់់ប្រពន្ធកូនខ្ញុំ។
00036362-v	khm:lemma	ជូត
00036362-v	khm:exe	គេជូតកញ្ចក់ដោយប្រើកាសែតចាស់ជ្រលក់ទឹក។
01536168-v	khm:lemma	ជូត
01536168-v	khm:exe	គេជូតកញ្ចក់ដោយប្រើកាសែតចាស់ជ្រលក់ទឹក។
00606093-v	khm:lemma	ហាត់
00606093-v	khm:exe	ខ្ញុំហាត់សរសេរអក្សរចិន។
01723224-v	khm:lemma	ហាត់
01723224-v	khm:exe	ខ្ញុំហាត់សរសេរអក្សរចិន។
15156187-n	khm:lemma	ម្សិលមិញ
15156187-n	khm:exe	ធីតា ហេតុអ្វីបានជានាងឈប់ មិនមកម្សិលមិញ?
01919428-a	khm:lemma	ស្ងាត់
01919428-a	khm:exe	ប៉ូលីសដើរល្បាតតាមកន្លែងស្ងាត់។
01918984-a	khm:lemma	ស្ងាត់
01918984-a	khm:exe	ប៉ូលីសដើរល្បាតតាមកន្លែងស្ងាត់។
04437953-n	khm:lemma	នាឡិកា
04437953-n	khm:exe	នាឡិកាប៉ោលវាយម៉ោង១២ថ្ងៃត្រង់។
03046257-n	khm:lemma	នាឡិកា
03046257-n	khm:exe	នាឡិកាប៉ោលវាយម៉ោង១២ថ្ងៃត្រង់។
04350905-n	khm:lemma	អាវធំ
04350905-n	khm:exe	ពាក់អាវធំមើលទៅសង្ហារ។
00409440-a	khm:lemma	ចាស់
00409440-a	khm:exe	ផ្លូវខ្សាច់មួយ សំរាប់នាំអ្នកដើរចុះពីថ្នល់ធំទៅកាន់ជណ្ដើរឈើដែលលាបពណ៌ខៀវចាស់។
00842199-a	khm:lemma	ខ្លាំង
00842199-a	khm:exe	ភ្លៀងខ្យល់ខ្លាំង បាំងឆត្រមិនជិតទេ។
15163979-n	khm:lemma	ថ្ងៃចន្ទ
15163979-n	khm:exe	ជាទូទៅថ្ងៃចន្ទ ក្មេងច្រើនយំក្រាញមិនទៅសាលា។
00059413-r	khm:lemma	ឧស្សាហ៍
00059413-r	khm:exe	សំណាងឧស្សាហ៍ចូលមកញឹកញយសួរលោកសួន។
00035058-r	khm:lemma	ឧស្សាហ៍
00035058-r	khm:exe	សំណាងឧស្សាហ៍ចូលមកញឹកញយសួរលោកសួន។
05687338-n	khm:lemma	សំណួរ
05687338-n	khm:exe	មានច្បាប់មែន តែសំណួរស្ថិតនៅត្រង់ការអនុវត្តន៍។
06784003-n	khm:lemma	សំណួរ
06784003-n	khm:exe	មានច្បាប់មែន តែសំណួរស្ថិតនៅត្រង់ការអនុវត្តន៍។
03281145-n	khm:lemma	អាស់សង់ស័រ
03281145-n	khm:exe	មនុស្សជិះអាស់សង់សឺរច្រើនលើសកំរឹត វាមិនដើរទេ។
05320899-n	khm:lemma	ត្រចៀក
05320899-n	khm:exe	នាងជឿជាក់ពាក្យលោកសួនពីរោះឈ្ងុយឆ្ងាញ់ចុកក្នុងត្រចៀកនាង។
00007846-n	khm:lemma	អ្នកណាគេ
00007846-n	khm:exe	អ្នកណាគេថ្លើមធំហ៊ានហែកសំបុត្រយើងមើល?
03436182-n	khm:lemma	ម៉ាញេ
03436182-n	khm:exe	ម៉ាញេវ៉ាត់ធំ ស្តាប់ពិរោះ។
04284002-n	khm:lemma	ស្លាបព្រា
04284002-n	khm:exe	យួនប្រើចង្កើះស៊ីបាយជំនួសស្លាបព្រា។
13134947-n	khm:lemma	ផ្លែឈើ
13134947-n	khm:exe	ផ្សារចាស់មានលក់ផ្លែឈើច្រើនមុខ។
11683989-n	khm:lemma	ផ្លែឈើ
11683989-n	khm:exe	ផ្សារចាស់មានលក់ផ្លែឈើច្រើនមុខ។
02730813-v	khm:lemma	ថា
02730813-v	khm:exe	ពាក្យចាស់លោកថា ប្រហែសបាត់ ប្រយ័ត្នគង់។
01009240-v	khm:lemma	ថា
01009240-v	khm:exe	ពាក្យចាស់លោកថា ប្រហែសបាត់ ប្រយ័ត្នគង់។
00941990-v	khm:lemma	ថា
00941990-v	khm:exe	ពាក្យចាស់លោកថា ប្រហែសបាត់ ប្រយ័ត្នគង់។
00979870-v	khm:lemma	ថា
00979870-v	khm:exe	ពាក្យចាស់លោកថា ប្រហែសបាត់ ប្រយ័ត្នគង់។
09854218-n	khm:lemma	បងប្អូនស្រី
09854218-n	khm:exe	បងប្អូនស្រីគេនេះ មិនដែលឈ្លោះទាស់គ្នាទេ។
04507155-n	khm:lemma	ឆត្រ
04507155-n	khm:exe	ចាស ពីព្រោះខ្យល់ខាំ្លងធ្វើឲ្យឆ័ត្រខូចអស់។
02229324-a	khm:lemma	មិនពូកែ
02229324-a	khm:exe	គាត់មិនពូកែច្រៀង។
01870636-a	khm:lemma	មិនពូកែ
01870636-a	khm:exe	គាត់មិនពូកែច្រៀង។
01128103-a	khm:lemma	មិនពូកែ
01128103-a	khm:exe	គាត់មិនពូកែច្រៀង។
02229000-a	khm:lemma	មិនពូកែ
02229000-a	khm:exe	គាត់មិនពូកែច្រៀង។
15270431-n	khm:lemma	ម៉ោង
15270431-n	khm:exe	ចំនួនប្រាំម៉ោងក្រោយមកគ្រូពេទ្យអញ្ជើញមកដល់។
15227846-n	khm:lemma	ម៉ោង
15227846-n	khm:exe	ចំនួនប្រាំម៉ោងក្រោយមកគ្រូពេទ្យអញ្ជើញមកដល់។
15269513-n	khm:lemma	ម៉ោង
15269513-n	khm:exe	ចំនួនប្រាំម៉ោងក្រោយមកគ្រូពេទ្យអញ្ជើញមកដល់។
00744916-a	khm:lemma	ពិបាក
00744916-a	khm:exe	ការងារណា ពិបាកជាងគេ?
04401088-n	khm:lemma	ទូរស័ព្ទ
04401088-n	khm:exe	ចាស សូមបំពេញអាស័យដ្ឋាន ឈ្មោះ លេខទូរស័ព្ទ ហើយចុះហត្ថលេខាផង។
06272803-n	khm:lemma	ទូរស័ព្ទ
06272803-n	khm:exe	ចាស សូមបំពេញអាស័យដ្ឋាន ឈ្មោះ លេខទូរស័ព្ទ ហើយចុះហត្ថលេខាផង។
02870092-n	khm:lemma	សៀវភៅ
02870092-n	khm:exe	ខ្ញុំអានសៀវភៅចាំ។
06410904-n	khm:lemma	សៀវភៅ
06410904-n	khm:exe	ខ្ញុំអានសៀវភៅចាំ។
09972010-n	khm:lemma	បងប្អូនជីដូនមួយ
09972010-n	khm:exe	នៅស្រុកជប៉ុន បងប្អូនជីដូនមួយគេមិនសូវរាប់គ្នាដូចនៅស្រុកខ្មែរទេ។
14974264-n	khm:lemma	ក្រដាស
14974264-n	khm:exe	សូមបំពេញបែបបទក្នុងក្រដាសនេះ។
80000677-n	khm:lemma	ក្រដាស
80000677-n	khm:exe	សូមបំពេញបែបបទក្នុងក្រដាសនេះ។
06255777-n	khm:lemma	ក្រដាស
06255777-n	khm:exe	សូមបំពេញបែបបទក្នុងក្រដាសនេះ។
04960277-n	khm:lemma	ខ្មៅ
04960277-n	khm:exe	លោកចូលចិត្តកាហ្វេខ្មៅមែនឬ?
02770717-v	khm:lemma	ស្រទំ
02770717-v	khm:exe	យើងបន់ឲ្យមេឃស្រទំ ព្រោះថ្ងៃក្ដៅពេក។
02529945-a	khm:lemma	ត្រជាក់
02529945-a	khm:exe	ខែមករាមានអាកាសធាតុត្រជាក់ស្ងួតស្រួលដើរកំសាន្ដ។
02207206-v	khm:lemma	ទិញ
02207206-v	khm:exe	ឥឡូវមិនងាយរកទិញហ្វីលម៍សខ្មៅទេ។
02208265-v	khm:lemma	ទិញ
02208265-v	khm:exe	ឥឡូវមិនងាយរកទិញហ្វីលម៍សខ្មៅទេ។
00422620-a	khm:lemma	កខ្វក់
00422620-a	khm:exe	ផ្ទះឡើងកខ្វក់ អត់បោសជូតសោះ។
01908889-a	khm:lemma	កខ្វក់
01908889-a	khm:exe	ផ្ទះឡើងកខ្វក់ អត់បោសជូតសោះ។
00419289-a	khm:lemma	កខ្វក់
00419289-a	khm:exe	ផ្ទះឡើងកខ្វក់ អត់បោសជូតសោះ។
01345109-v	khm:lemma	បិទ
01345109-v	khm:exe	ទ្វារចូលវត្តពីខាងត្បូងត្រូវគេបិទ។
01960911-v	khm:lemma	ហែល
01960911-v	khm:exe	អ្ហា លោកពូកែហែលទឹក មែនទេ?
00933154-a	khm:lemma	ថ្លៃ
00933154-a	khm:exe	មួយម៉ឺនប្រាំពាន់រៀលឬ? ថ្លៃម៉្លេះ?
04199027-n	khm:lemma	ស្បែកជើង
04199027-n	khm:exe	ហើយពេលចូលទៅក្នុងវិហារ ត្រូវដោះស្បែកជើងទៀតផង។
07823951-n	khm:lemma	សម្លការី
07823951-n	khm:exe	ញ៉ាំសម្លការីជាមួយនំបញ្ចុក និងនំបុ័ង។
05598147-n	khm:lemma	ច្រមុះ
05598147-n	khm:exe	គាត់ផ្ដាសាយតឹងច្រមុះ និយាយសម្លេងក្ងួរ។
05658826-n	khm:lemma	ច្រមុះ
05658826-n	khm:exe	គាត់ផ្ដាសាយតឹងច្រមុះ និយាយសម្លេងក្ងួរ។
06947032-n	khm:lemma	ភាសាអង់គ្លេស
06947032-n	khm:exe	ក្នុងពិភពលោក ភាសាអង់គ្លេសត្រូវគេនិយាយច្រើនជាងគេ។
07575726-n	khm:lemma	បាយល្ងាច
07575726-n	khm:exe	គាត់ចង់ស្គម រាល់បាយល្ងាច ហូបតែបបរសត្រីងៀតប៉ុណ្ណោះ។
07575726-n	khm:lemma	បាយល្ងាច
07575726-n	khm:exe	បាយល្ងាចសំបូរម្ហូបជាងបាយថ្ងៃត្រង់។
03485794-n	khm:lemma	កន្សែងដៃ
03485794-n	khm:exe	កុមារីចេះប៉ាក់ផ្កាលើកន្សែងដៃ។
01198101-v	khm:lemma	ជក់
01198101-v	khm:exe	ហាមជក់បារី។
02741003-v	khm:lemma	ពាក់
02741003-v	khm:exe	បើមិនពាក់វ៉ែនតា គាត់មើលអក្សរមិនឃើញទេ។
01206474-a	khm:lemma	ទាប
01206474-a	khm:exe	ឆ្កែឈរ ទាបជាងអង្គុយ។
13832355-n	khm:lemma	កើត
13832355-n	khm:exe	មេឃក្រហមព្រឿងៗឯកើត បក្សីស្រែកខ្ញៀវខ្ញារ។
11525955-n	khm:lemma	ខ្យល់
11525955-n	khm:exe	ស្រុកខែ្មរ ទទួលឥទ្ឋិពលមូស្សុងធ្វើឲ្យមានភ្លៀងខ្យល់ខាំ្លង។
02324182-v	khm:lemma	ឲ្យខ្ចី
02324182-v	khm:exe	គាត់កំណាញ់មិនឲ្យខ្ចីរបស់របរគាត់ទេ។
01437963-a	khm:lemma	វែង
01437963-a	khm:exe	ទូដាក់សៀវភៅនេះវែង ហើយមាន៧ជាន់។
01433493-a	khm:lemma	វែង
01433493-a	khm:exe	ទូដាក់សៀវភៅនេះវែង ហើយមាន៧ជាន់។
01444022-a	khm:lemma	វែង
01444022-a	khm:exe	ទូដាក់សៀវភៅនេះវែង ហើយមាន៧ជាន់។
80001077-n	khm:lemma	ប៉ុន្មាន
80001077-n	khm:exe	ធីតា ចំនួនប្រជារាស្រ្តនៅព្រះរាជាណាចក្រកម្ពុជា មានប៉ុន្មាននាក់?
80001077-n	khm:lemma	ប៉ុន្មាន
80001077-n	khm:exe	សំបុត្រទៅកាណាដាបិទតែមប្រ៍ថ្លៃប៉ុន្មាន?
10665698-n	khm:lemma	សិស្ស
10665698-n	khm:exe	សិស្សឈរតម្រៀបគ្នា គោរពទង់ជាតិ។
10665698-n	khm:lemma	និស្សិត
10665698-n	khm:exe	និស្សិតឆ្នាំទី៤កំពុងចុះកម្មសិក្សា។
10251779-n	khm:lemma	សិស្ស
10251779-n	khm:exe	សិស្សឈរតម្រៀបគ្នា គោរពទង់ជាតិ។
08615374-n	khm:lemma	សួនច្បារ
08615374-n	khm:exe	ក្រុងភ្នំពេញមានសួនច្បារសាធារណៈច្រើន។
77000064-n	khm:lemma	មួយណា
77000064-n	khm:exe	អញ្ចឹង ក្នុងចំណោមកីឡាទាំងអស់ លោកចូលចិត្តមួយណាជាងគេ?
03290771-n	khm:lemma	មាត់ទ្វារ
03290771-n	khm:exe	ទ្វារផ្ទះបោរបិទមិនជិត។
03290771-n	khm:lemma	ទ្វារចូល
03290771-n	khm:exe	ទ្វារចូលវត្តពីខាងត្បូងត្រូវគេបិទ។
06409752-n	khm:lemma	តែងសេចក្ដី
06409752-n	khm:exe	ក្នុងវិញ្ញាសាតែងសេចក្តី ខ្ញុំបានពិន្ទុមធ្យម។
10286084-n	khm:lemma	បងប្អូនប្រុស
10286084-n	khm:exe	គាត់មានបងប្អូនប្រុស៣នាក់​ហើយគាត់ជាកូនច្បង។
09876454-n	khm:lemma	បងប្អូនប្រុស
09876454-n	khm:exe	គាត់មានបងប្អូនប្រុស៣នាក់​ហើយគាត់ជាកូនច្បង។
80001731-n	khm:lemma	និស្សិតបរទេស
80001731-n	khm:exe	និសិ្សតបរទេសនិយាយភាសាខ្មែរបានល្អណាស់។
77000031-n	khm:lemma	ពួកគេ
77000031-n	khm:exe	គ្រូៗសាលានេះកំពុងជួបគ្នា ដើម្បីរើសប្រធានរបស់ពួកគេ។
00934199-a	khm:lemma	ថោក
00934199-a	khm:exe	តែឲ្យថោកជាងមុនបន្តិច។
00935103-a	khm:lemma	ថោក
00935103-a	khm:exe	តែឲ្យថោកជាងមុនបន្តិច។
02747802-n	khm:lemma	ចានគោះបារី
02747802-n	khm:exe	ទិញបារីនេះមួយសុង គេលើសឲ្យចានគោះបារីមួយ។
15213115-n	khm:lemma	ខែតុលា
15213115-n	khm:exe	ថ្ងៃសៅរ៍ទីមួយ ខែតុលា ឆ្នាំពីរពាន់ប្រាំ
15203791-n	khm:lemma	ឆ្នាំ
15203791-n	khm:exe	រៀននៅស្រុកជប៉ុនមួយឆ្នាំ យ៉ាងម៉េចដែរ?
03619890-n	khm:lemma	ផ្ទះបាយ
03619890-n	khm:exe	ផ្ទះបាយត្រូវសង់ដាច់ពីកន្លែងនៅ កុំឲ្យធំក្លិនផ្សែង។
00273734-v	khm:lemma	បង្រៀន
00273734-v	khm:exe	ភិក្ខុទាំងប៉ុន្មានសឹងស្រុះស្រួលគ្រប់អង្គជួយចិញ្ចឹមនិងបង្រៀនសូផាត។
00829107-v	khm:lemma	បង្រៀន
00829107-v	khm:exe	ភិក្ខុទាំងប៉ុន្មានសឹងស្រុះស្រួលគ្រប់អង្គជួយចិញ្ចឹមនិងបង្រៀនសូផាត។
00963570-v	khm:lemma	និយាយ
00963570-v	khm:exe	គាត់ផ្ដាសាយតឹងច្រមុះ និយាយសម្លេងក្ងួរ។
00815686-v	khm:lemma	ឆ្លើយ
00815686-v	khm:exe	គាត់ឆ្លើយមិនចំសំណួរ។
00635523-v	khm:lemma	ឆ្លើយ
00635523-v	khm:exe	គាត់ឆ្លើយមិនចំសំណួរ។
03417345-n	khm:lemma	សួនច្បារ
03417345-n	khm:exe	ផ្ទះវីឡាម្តុំទួលគោក មានសួនច្បារធំៗ។
03417749-n	khm:lemma	សួនច្បារ
03417749-n	khm:exe	ផ្ទះវីឡាម្តុំទួលគោក មានសួនច្បារធំៗ។
01775164-v	khm:lemma	ស្រឡាញ់
01775164-v	khm:exe	ប៉ានាងស្រឡាញ់កូនស្រីណាស់ មើលទៅ។
01828736-v	khm:lemma	ស្រឡាញ់
01828736-v	khm:exe	ប៉ានាងស្រឡាញ់កូនស្រីណាស់ មើលទៅ។
06418901-n	khm:lemma	វចនានុក្រម
06418901-n	khm:exe	ទេវី វចនានុក្រមអេឡិចត្រូនិចនេះ របស់អ្នកណា?
15164570-n	khm:lemma	ថ្ងៃសៅរ៍
15164570-n	khm:exe	ថ្ងៃសៅរ៍ល្ងាចៗ មានមនុស្សដើរលេងតាមមាត់ទន្លេច្រើន។
00284798-n	khm:lemma	ដើរលេង
00284798-n	khm:exe	ថ្ងៃសៅរ៍ល្ងាចៗ មានមនុស្សដើរលេងតាមមាត់ទន្លេច្រើន។
00284101-n	khm:lemma	ដើរលេង
00284101-n	khm:exe	ថ្ងៃសៅរ៍ល្ងាចៗ មានមនុស្សដើរលេងតាមមាត់ទន្លេច្រើន។
01712704-v	khm:lemma	ធ្វើ
01712704-v	khm:exe	ចាសទេ ការងារផ្សេង ក៏ខ្ញុំធ្វើដែរ។
08277393-n	khm:lemma	សាលា
08277393-n	khm:exe	ជាទូទៅថ្ងៃចន្ទ ក្មេងច្រើនយំក្រាញមិនទៅសាលា។
08276720-n	khm:lemma	សាលា
08276720-n	khm:exe	ជាទូទៅថ្ងៃចន្ទ ក្មេងច្រើនយំក្រាញមិនទៅសាលា។
00161630-r	khm:lemma	យឺត
00161630-r	khm:exe	ជួនកាលមានរទេះអូសមួយៗរត់យឺតៗ ដោយអ្នកអូសអស់កម្លាំងខ្លាំងពេកណាស់។
90000506-n	khm:lemma	អាទិត្យមុន
90000506-n	khm:exe	អាទិត្យមុន យើងមិនបានឈប់១ថ្ងៃសោះ។
03057021-n	khm:lemma	អាវធំ
03057021-n	khm:exe	អាវធំនេះធ្វើពីឡែន។
03057021-n	khm:lemma	អាវរងារ
03057021-n	khm:exe	ខែរងានេះ មិនត្រជាក់ដល់ពាក់អាវរងាពេញមួយថ្ងៃទេ។
03589791-n	khm:lemma	អាវធំ
03589791-n	khm:exe	អាវធំនេះធ្វើពីឡែន។
06929279-n	khm:lemma	ភាសាជប៉ុន
06929279-n	khm:exe	ឥឡូវ ចេះភាសាជប៉ុនច្រើនហើយឬ?
03303965-n	khm:lemma	ទ្វារចេញ
03303965-n	khm:exe	យើងណាត់ជួបគ្នានៅត្រង់ទ្វារចេញ។
10142391-n	khm:lemma	តា
10142391-n	khm:exe	ក្មេងៗស្ដាប់ចំហរមាត់លោកតានិទានរឿងសុភាទន្សាយ។
07934530-n	khm:lemma	ទឹកតែលីបតុង
07934530-n	khm:exe	ញ៉ាំគុយទាវពេលព្រឹក និងផឹកតែលីបតុងក្រូចឆ្មារ ឆ្ងាញ់ណាស់។
07933274-n	khm:lemma	ទឹកតែលីបតុង
07933274-n	khm:exe	ញ៉ាំគុយទាវពេលព្រឹក និងផឹកតែលីបតុងក្រូចឆ្មារ ឆ្ងាញ់ណាស់។
07933274-n	khm:lemma	ទឹកតែ
07933274-n	khm:exe	គាត់មិនចេះឆុងតែជប៉ុនទេ ប៉ុន្ដែចូលចិត្ដផឹកតែជប៉ុនណាស់។
07989373-n	khm:lemma	ប្ដីប្រពន្ធ
07989373-n	khm:exe	ចាស់ទុំផ្សំផ្គុំឲ្យបានគ្នាជាប្ដីប្រពន្ធ។
10146559-n	khm:lemma	ហាងលក់បន្លែ
10146559-n	khm:exe	ហាងលក់បន្លែនេះចូលច្រើនតែបរទេស។
03457686-n	khm:lemma	ហាងលក់បន្លែ
03457686-n	khm:exe	ហាងលក់បន្លែនេះចូលច្រើនតែបរទេស។
03147509-n	khm:lemma	ពែងកែវ
03147509-n	khm:exe	ពែងកែវនេះ ផឹកកាហ្វេឆ្ងាញ់ណាស់។
03972524-n	khm:lemma	កាប៉ៅ
03972524-n	khm:exe	អាចារ្យនេះពាក់អាវកាប៉ៅ៤។
04968895-n	khm:lemma	ខៀវ
04968895-n	khm:exe	ឯកសណ្ឋានសិស្សគឺខោខៀវអាវសឺមីស។
01555416-a	khm:lemma	តិច
01555416-a	khm:exe	រាល់អាទិត្យ គាត់ទៅវត្ត១ដងយ៉ាងតិច។
01552885-a	khm:lemma	តិច
01552885-a	khm:exe	រាល់អាទិត្យ គាត់ទៅវត្ត១ដងយ៉ាងតិច។
00017865-v	khm:lemma	ដេក
00017865-v	khm:exe	យប់មិញ ដេកជ្រុលមិនបានមើលរឿងតាមទូរទស្សន៍។
00450147-a	khm:lemma	ជិត
00450147-a	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
00444519-a	khm:lemma	ជិត
00444519-a	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
00445169-a	khm:lemma	ជិត
00445169-a	khm:exe	ផ្ទះគាត់នៅជិតស្ថានីយរថភ្លើង ងាយស្រួលធ្វើដំណើរណាស់។
00584367-n	khm:lemma	ការងារ
00584367-n	khm:exe	មិនត្រឹមតែប៉ុណ្ណឹងទេ គាត់ក៏ឧស្សាហ៍ការងារទៀតផង។
07574602-n	khm:lemma	បាយព្រឹក
07574602-n	khm:exe	បាទ លុបមុខ បោសសំអាតផ្ទះ បោកខោអាវ ហើយរៀបចំបាយព្រឹកសម្រាប់់ប្រពន្ធកូនខ្ញុំ។
08078020-n	khm:lemma	ក្រុមគ្រួសារ
08078020-n	khm:exe	ក្នុងក្រុមគ្រួសារយើង យាយអាយុច្រើនជាងគេ។
10236304-n	khm:lemma	ក្រុមគ្រួសារ
10236304-n	khm:exe	ក្នុងក្រុមគ្រួសារយើង យាយអាយុច្រើនជាងគេ។
07970406-n	khm:lemma	ក្រុមគ្រួសារ
07970406-n	khm:exe	ក្នុងក្រុមគ្រួសារយើង យាយអាយុច្រើនជាងគេ។
07970406-n	khm:lemma	ក្រុមគ្រួសារ
07970406-n	khm:exe	បរិយាកាសក្នុងក្រុមគ្រួសារយើងកក់ក្តៅណាស់។
04197391-n	khm:lemma	អាវ
