# TUFS Basic Malay Wordnet	zsm http://www.coelang.tufs.ac.jp/mt/ms/	CC BY 4.0
02529945-a	zsm:exe	Musim luruh sejuk.\n
02207206-v	zsm:lemma	beli
02207206-v	zsm:exe	Saya sudah beli majalah di kedai buku.
02208265-v	zsm:lemma	beli
02208265-v	zsm:exe	Saya sudah beli majalah di kedai buku.
00422620-a	zsm:lemma	kotor
00422620-a	zsm:exe	Saya bersihkan bilik kerana kotor.
01908889-a	zsm:lemma	kotor
01908889-a	zsm:exe	Saya bersihkan bilik kerana kotor.
00419289-a	zsm:lemma	kotor
00419289-a	zsm:exe	Saya bersihkan bilik kerana kotor.
01345109-v	zsm:lemma	tutup
01345109-v	zsm:exe	Tingkap tutup.
01960911-v	zsm:lemma	berenang
01960911-v	zsm:exe	Saya berenang walaupun sejuk.
00933154-a	zsm:lemma	tinggi
00933154-a	zsm:exe	Encik Yamada paling tinggi di dalam kelas.
04199027-n	zsm:lemma	kasut
04199027-n	zsm:exe	Kami tanggalkan kasut di pintu masuk rumah. 
04330340-n	zsm:lemma	pemanas
04330340-n	zsm:exe	Saya tutup pemanas sebelum tidur.
07823951-n	zsm:lemma	kari
07823951-n	zsm:exe	Untuk makan malam hari ini, saya rasa nak masak kari .
06947032-n	zsm:lemma	bahasa Inggeris
06947032-n	zsm:exe	Saya belajar bahasa Inggeris dengan menggunakan kamus. 
07575726-n	zsm:lemma	makan malam
07575726-n	zsm:exe	Hari ini saya akan makan malam bersama kawan.
07575726-n	zsm:lemma	makan malam
07575726-n	zsm:exe	Hari ini saya makan malam bersama kawan saya.
03485794-n	zsm:lemma	sapu tangan
03485794-n	zsm:exe	Saya membawa sapu tangan semasa keluar dari rumah.
01198101-v	zsm:lemma	menghisap (brk:hisap)
01198101-v	zsm:exe	Saya menghisap rokok.
02741003-v	zsm:lemma	mamakai
02741003-v	zsm:exe	Oleh sebab mata tidak bagus saya memakai cermin mata.
01206474-a	zsm:lemma	rendah
01206474-a	zsm:exe	Gunung ini rendah.
13832355-n	zsm:lemma	timur
13832355-n	zsm:exe	Di bahagian timur bandar ini semuanya hutan.
11525955-n	zsm:lemma	angin
11525955-n	zsm:exe	Kita tidak boleh bermain tenis pada hari angin bertiup kuat.
02324182-v	zsm:lemma	meminjamkan
02324182-v	zsm:exe	Kimura meminjamkan buku kepada saya.
01437963-a	zsm:lemma	panjang
01437963-a	zsm:exe	Adik perempuan saya pendek dan rambutnya panjang. 
01433493-a	zsm:lemma	panjang
01433493-a	zsm:exe	Adik perempuan saya pendek dan rambutnya panjang. 
01444022-a	zsm:lemma	panjang
01444022-a	zsm:exe	Adik perempuan saya pendek dan rambutnya panjang. 
80001077-n	zsm:lemma	berapa
80001077-n	zsm:exe	Awak beli berapa keping roti?
80001077-n	zsm:lemma	berapa
80001077-n	zsm:exe	Berapakah harganya? 
10665698-n	zsm:lemma	pelajar
10665698-n	zsm:exe	Semasa kelas, guru bertanyakan soalan kepada pelajar.
10665698-n	zsm:lemma	pelajar
10665698-n	zsm:exe	Saya seorang pelajar tetapi abang saya pula pekerja syarikat. 
10251779-n	zsm:lemma	pelajar
10251779-n	zsm:exe	Semasa kelas, guru bertanyakan soalan kepada pelajar.
08615374-n	zsm:lemma	taman
08615374-n	zsm:exe	Ada pokok di taman. 
77000064-n	zsm:lemma	yang mana
77000064-n	zsm:exe	Encik Hayashi orang yang mana?
03290771-n	zsm:lemma	pintu masuk rumah
03290771-n	zsm:exe	Ada pasu bunga diletakkan di pintu masuk rumah.
03290771-n	zsm:lemma	pintu masuk
03290771-n	zsm:exe	Saya menunjukkan tiket di pintu masuk stesen.
10286084-n	zsm:lemma	adik-beradik
10286084-n	zsm:exe	Saya ada tiga adik-beradik.
09876454-n	zsm:lemma	adik-beradik
09876454-n	zsm:exe	Saya ada tiga adik-beradik.
80001731-n	zsm:lemma	pelajar antarabangsa
80001731-n	zsm:exe	Orang itu adalah pelajar antarabangsa sekolah ini.
00934199-a	zsm:lemma	murah
00934199-a	zsm:exe	Saya akan beli jika harganya murah.
00935103-a	zsm:lemma	murah
00935103-a	zsm:exe	Saya akan beli jika harganya murah.
02747802-n	zsm:lemma	tempat abu rokok
02747802-n	zsm:exe	Ada tempat abu rokok di atas meja.
15203791-n	zsm:lemma	tahun
15203791-n	zsm:exe	Saya berkahwin dengan isteri saya pada lima tahun yang lalu.
03619890-n	zsm:lemma	dapur
03619890-n	zsm:exe	Dapur di rumah baru luas, jadi sangat senang diguna.
00273734-v	zsm:lemma	mengajar (brk:ajar)
00273734-v	zsm:exe	Saya mengajar bahasa Jepun kepada orang asing
00829107-v	zsm:lemma	mengajar (brk:ajar)
00829107-v	zsm:exe	Saya mengajar bahasa Jepun kepada orang asing
00963570-v	zsm:lemma	bercakap (brk:cakap)
00963570-v	zsm:exe	Saya susah untuk bercakap dalam bahasa inggeris.
00815686-v	zsm:lemma	menjawab(jawab)
00815686-v	zsm:exe	Saya tidak dapat menjawab soalan kerana ianya susah.
00635523-v	zsm:lemma	menjawab(jawab)
00635523-v	zsm:exe	Saya tidak dapat menjawab soalan kerana ianya susah.
03417345-n	zsm:lemma	halaman rumah
03417345-n	zsm:exe	Tiada kereta di halaman rumah. Rasanya ibu saya sudah keluar.
03417749-n	zsm:lemma	halaman rumah
03417749-n	zsm:exe	Tiada kereta di halaman rumah. Rasanya ibu saya sudah keluar.
01775164-v	zsm:lemma	sangat suka
01775164-v	zsm:exe	Saya sangat suka binatang.
01828736-v	zsm:lemma	sangat suka
01828736-v	zsm:exe	Saya sangat suka binatang.
06418901-n	zsm:lemma	kamus
06418901-n	zsm:exe	Sambil melihat kamus, saya belajar bahasa Jepun.
15164570-n	zsm:lemma	hari Sabtu
15164570-n	zsm:exe	Saya akan makan malam di rumah Encik Hayashi pada hari Sabtu ini. 
00284798-n	zsm:lemma	berjalan-jalan
00284798-n	zsm:exe	Saya pergi berjalan-jalan setiap pagi.
00284101-n	zsm:lemma	berjalan-jalan
00284101-n	zsm:exe	Saya pergi berjalan-jalan setiap pagi.
01712704-v	zsm:lemma	membuat (brk:buat)
01712704-v	zsm:exe	Saya akan membuat kerja itu sendiri. 
08277393-n	zsm:lemma	sekolah
08277393-n	zsm:exe	Saya tidak pergi ke sekolah. 
08276720-n	zsm:lemma	sekolah
08276720-n	zsm:exe	Saya tidak pergi ke sekolah. 
00161630-r	zsm:lemma	perlahan-lahan
00161630-r	zsm:exe	Oleh sebab kaki sakit, saya jalan perlahan-lahan.
90000506-n	zsm:lemma	minggu lepas
90000506-n	zsm:exe	Hari jadi ibu pada minggu lepas.
03057021-n	zsm:lemma	kot
03057021-n	zsm:exe	Saya keluar dengan bawa kot.
03057021-n	zsm:lemma	kot
03057021-n	zsm:exe	Oleh sebab sejuk di luar, saya memakai kot dan pergi ke syarikat.
03589791-n	zsm:lemma	kot
03589791-n	zsm:exe	Saya keluar dengan bawa kot.
06929279-n	zsm:lemma	bahasa Jepun
06929279-n	zsm:exe	Encik Lee menulis surat dalam bahasa Jepun. 
03303965-n	zsm:lemma	pintu keluar
03303965-n	zsm:exe	Kalau keluar dari pintu keluar ini, paling dekat dengan perpustakaan. 
10142391-n	zsm:lemma	datuk
10142391-n	zsm:exe	Saya menunjukkan jalan kepada datuk.
07934530-n	zsm:lemma	téｈ
07934530-n	zsm:exe	Saya lebih suka teh daripada kopi.
07933274-n	zsm:lemma	téｈ
07933274-n	zsm:exe	Saya lebih suka teh daripada kopi.
07933274-n	zsm:lemma	téh
07933274-n	zsm:exe	Bagaimana dengan teh?
10146559-n	zsm:lemma	gerai sayur
10146559-n	zsm:exe	Saya membeli buah dan sayur di gerai sayur.
03457686-n	zsm:lemma	gerai sayur
03457686-n	zsm:exe	Saya membeli buah dan sayur di gerai sayur.
03147509-n	zsm:lemma	cawan
03147509-n	zsm:exe	Saya dapat cawan yang comel daripada kawan.
03972524-n	zsm:lemma	pokét
03972524-n	zsm:exe	Saya memasukkan duit ke dalam poket.
04968895-n	zsm:lemma	biru
04968895-n	zsm:exe	Warna yang saya suka adalah biru.
01555416-a	zsm:lemma	sedikit
01555416-a	zsm:exe	Pasar raya sana ikannya sedikit.
01552885-a	zsm:lemma	sedikit
01552885-a	zsm:exe	Pasar raya sana ikannya sedikit.
00017865-v	zsm:lemma	tidur
00017865-v	zsm:exe	Oleh sebab semalam penat, saya terus tidur.
00450147-a	zsm:lemma	dekat
00450147-a	zsm:exe	Rumah baru saya sangat selesa kerana dekat dengan stesen.
00444519-a	zsm:lemma	dekat
00444519-a	zsm:exe	Rumah baru saya sangat selesa kerana dekat dengan stesen.
00445169-a	zsm:lemma	dekat
00445169-a	zsm:exe	Rumah baru saya sangat selesa kerana dekat dengan stesen.
00584367-n	zsm:lemma	kerja
00584367-n	zsm:exe	Hari ini hari Ahad tetapi saya ada kerja. 
07574602-n	zsm:lemma	sarapan
07574602-n	zsm:exe	Saya tidak makan sarapan hari ini.
08078020-n	zsm:lemma	keluarga
08078020-n	zsm:exe	Keluarga saya lima orang.
10236304-n	zsm:lemma	keluarga
10236304-n	zsm:exe	Keluarga saya lima orang.
07970406-n	zsm:lemma	keluarga
07970406-n	zsm:exe	Keluarga saya lima orang.
07970406-n	zsm:lemma	rumah
07970406-n	zsm:exe	Makanan ini boleh dibuat di rumah.
04197391-n	zsm:lemma	keméja
04197391-n	zsm:exe	Saya akan pergi beli kemeja.
09918248-n	zsm:lemma	kanak-kanak
09918248-n	zsm:exe	Ada kanak-kanak sedang bermain di taman.
12212361-n	zsm:lemma	sayur
12212361-n	zsm:exe	Potong sayur, kemudian basuh.
07707451-n	zsm:lemma	sayur
07707451-n	zsm:exe	Potong sayur, kemudian basuh.
03365991-n	zsm:lemma	tingkat
03365991-n	zsm:exe	Ada di tingkat tiga bangunan ini. 
00976508-a	zsm:lemma	cepat
00976508-a	zsm:exe	Saya rasa kereta api lebih cepat daripada bas untuk sampai ke sekolah.
00981818-a	zsm:lemma	cepat
00981818-a	zsm:exe	Saya rasa kereta api lebih cepat daripada bas untuk sampai ke sekolah.
00979862-a	zsm:lemma	cepat
00979862-a	zsm:exe	Saya rasa kereta api lebih cepat daripada bas untuk sampai ke sekolah.
01367431-a	zsm:lemma	meriah
01367431-a	zsm:exe	Di sini bandar yang besar dan meriah.
07644382-n	zsm:lemma	daging ayam
07644382-n	zsm:exe	Daging ayam murah tetapi daging lembu lebih sedap.
07644967-n	zsm:lemma	daging ayam
07644967-n	zsm:exe	Daging ayam murah tetapi daging lembu lebih sedap.
07813107-n	zsm:lemma	garam
07813107-n	zsm:exe	Saya ambilkan garam untuk Encik Lee.
07825972-n	zsm:lemma	kicap
07825972-n	zsm:exe	Saya makan sashimi dengan cicah kicap. 
02005948-v	zsm:lemma	tiba
02005948-v	zsm:exe	Bagasi akan tiba esok.
02930766-n	zsm:lemma	téksi
02930766-n	zsm:exe	Saya pulang ke rumah dengan teksi.
04371225-n	zsm:lemma	kolam renang
04371225-n	zsm:exe	Saya sering menonton filem dan pergi ke kolam renang bersama kawan saya.
00604617-a	zsm:lemma	mudah diguna; berguna
00604617-a	zsm:lemma	mudah diguna; berguna
00604617-a	zsm:exe	Kapal terbang laju dan berguna.
15237250-n	zsm:lemma	musim panas
15237250-n	zsm:exe	Semasa musim panas, saya keluar dengan memakai topi setiap hari. 
03757138-n	zsm:lemma	keréta api bawah tanah
03757138-n	zsm:exe	Kereta api bawah tanah murah, laju dan sangat berguna.
04349306-n	zsm:lemma	keréta api bawah tanah
04349306-n	zsm:exe	Kereta api bawah tanah murah, laju dan sangat berguna.
77000090-n	zsm:lemma	bagaimana
77000090-n	zsm:exe	Bagaimana dengan kopi?
80001331-x	zsm:lemma	bagaimana
80001331-x	zsm:exe	Bagaimana dengan kopi?
77000104-n	zsm:lemma	bila
77000104-n	zsm:exe	Itu surat khabar bila?
04105893-n	zsm:lemma	bilik
04105893-n	zsm:exe	Bilik sini sangat senyap. 
06415419-n	zsm:lemma	buku nota
06415419-n	zsm:exe	Di atas meja ada buku dan buku nota. 
01376705-a	zsm:lemma	terkenal
01376705-a	zsm:exe	Di sini adalah tempat sangat terkenal di Jepun.
01375831-a	zsm:lemma	terkenal
01375831-a	zsm:exe	Di sini adalah tempat sangat terkenal di Jepun.
02935891-n	zsm:lemma	kantin
02935891-n	zsm:exe	Saya bangun pada pukul tujuh pagi, makan sarapan di kantin dan berlatih dari pukul lapan. 
01984902-v	zsm:lemma	duduk
01984902-v	zsm:exe	Mari kita duduk di sana dan makan bekal.
00120223-r	zsm:lemma	sambil
00120223-r	zsm:exe	Encik Tanaka boleh menyanyi sambil bermain gitar.
00120095-r	zsm:lemma	sambil
00120095-r	zsm:exe	Encik Tanaka boleh menyanyi sambil bermain gitar.
02386612-a	zsm:lemma	kecil
02386612-a	zsm:exe	Haiwan yang kecil sangat comel.
02386612-a	zsm:lemma	singkat
02386612-a	zsm:exe	Satu hari itu sangat singkat.
02345713-a	zsm:lemma	tidak baik
02345713-a	zsm:exe	Makanan ini tidak baik untuk badan kita. 
00478311-a	zsm:lemma	tidak baik
00478311-a	zsm:exe	Makanan ini tidak baik untuk badan kita. 
01174222-a	zsm:lemma	tidak baik
01174222-a	zsm:exe	Makanan ini tidak baik untuk badan kita. 
03025755-n	zsm:lemma	penyepit
03025755-n	zsm:exe	Orang Jepun makan nasi menggunakan penyepit. 
15166191-n	zsm:lemma	petang; malam
15166191-n	zsm:lemma	petang; malam
15166191-n	zsm:exe	Apa kata kita bermain tenis pada petang hari Sabtu? 
80000080-n	zsm:lemma	bulan ini
80000080-n	zsm:exe	Pasar raya itu tutup pada setiap hari Rabu bulan ini. 
06624161-n	zsm:lemma	surat
06624161-n	zsm:exe	Saya akan hantar surat kepada Encik Tanaka.
01909812-v	zsm:lemma	berliku-liku; bélok
01909812-v	zsm:lemma	berliku-liku; bélok
01909812-v	zsm:exe	Jika belok ke kiri di bangunan itu, di situ ada hospital.
07929519-n	zsm:lemma	kopi
07929519-n	zsm:exe	Saya minum kopi setiap pagi.
01729431-v	zsm:lemma	menyanyi (brk:nyanyi)
01729431-v	zsm:exe	Saya selalu menyanyi lagu ini di karaoke.
11501381-n	zsm:lemma	hujan
11501381-n	zsm:exe	Saya tidak akan keluar pada hari cuti sekiranya hujan.
90000511-n	zsm:lemma	dua hari lepas
90000511-n	zsm:exe	Salji turun kerana cuaca sejuk dua hari lepas.
00118032-r	zsm:lemma	kalau begitu; baiklah
00118032-r	zsm:lemma	kalau begitu; baiklah
00118032-r	zsm:exe	Kalau begitu, saya minta tolong awak.
00118032-r	zsm:lemma	kalau begitu
00118032-r	zsm:exe	Kalau begitu, saya nak pergi ke hospital dengan menaiki bas. 
04468005-n	zsm:lemma	keréta api
04468005-n	zsm:exe	Kereta api terhenti kerana datangnya taufan besar.
02834778-n	zsm:lemma	basikal
02834778-n	zsm:exe	Saya akan pergi menaiki basikal walaupun hujan.
06597466-n	zsm:lemma	majalah
06597466-n	zsm:exe	Majalah ini menarik.
06595351-n	zsm:lemma	majalah
06595351-n	zsm:exe	Majalah ini menarik.
03704210-n	zsm:lemma	majalah
03704210-n	zsm:exe	Majalah ini menarik.
08238463-n	zsm:lemma	sekelas
08238463-n	zsm:exe	Kami sekelas pergi jalan-jalan.
00050454-v	zsm:lemma	menanggalkan (brk:tanggal)
00050454-v	zsm:exe	Saya menanggalkan baju kerana ingin mandi.
02649830-v	zsm:lemma	tinggal
02649830-v	zsm:exe	Saya tinggal di flat yang cantik dan senyap.
15155891-n	zsm:lemma	ésok
15155891-n	zsm:exe	Saya akan belajar kanji setiap hari mulai esok. 
04208936-n	zsm:lemma	mandi
04208936-n	zsm:exe	Oleh sebab panas, saya balik ke rumah dan mandi.
00625119-v	zsm:lemma	baca
00625119-v	zsm:exe	Saya baca buku.
02774152-n	zsm:lemma	bég
02774152-n	zsm:exe	Beg ini mahal.
02773037-n	zsm:lemma	bég
02773037-n	zsm:exe	Beg ini mahal.
13250542-n	zsm:lemma	wang
13250542-n	zsm:exe	Saya tidak ada wang. 
13384557-n	zsm:lemma	wang
13384557-n	zsm:exe	Saya tidak ada wang. 
05600637-n	zsm:lemma	muka
05600637-n	zsm:exe	Saya bangun pagi dan membasuh muka. 
00024356-r	zsm:lemma	tidak
00024356-r	zsm:exe	Tidak, saya tidak pergi. 
03176763-n	zsm:lemma	pusat membeli-belah
03176763-n	zsm:exe	Saya membeli barang di pusat membeli-belah dan pasar raya.
01725051-v	zsm:lemma	bermain (brk:main)
01725051-v	zsm:exe	Saya akan bermain piano pada konsert bulan depan.
77000089-a	zsm:lemma	seperti ini
77000089-a	zsm:exe	Saya mahukan topi seperti ini.
15164354-n	zsm:lemma	hari Khamis
15164354-n	zsm:exe	Saya akan ke bank untuk memindahkan wang petang hari Khamis ini.
00056916-r	zsm:lemma	silakan; tolong
00056916-r	zsm:lemma	silakan; tolong
00056916-r	zsm:exe	Benda ini barang biasa saja, tetapi silakan. 
00816481-a	zsm:lemma	léwat
00816481-a	zsm:exe	Saya balik ke rumah kerana sudah lewat.
01901186-a	zsm:lemma	léwat
01901186-a	zsm:exe	Saya balik ke rumah kerana sudah lewat.
04956594-n	zsm:lemma	warna
04956594-n	zsm:exe	Warna ini sangat cantik.
04674968-n	zsm:lemma	warna
04674968-n	zsm:exe	Warna ini sangat cantik.
07109730-n	zsm:lemma	perkataan
07109730-n	zsm:exe	Apabila ada makna perkataan yang tidak jelas, saya menggunakan kamus. 
06282651-n	zsm:lemma	perkataan
06282651-n	zsm:exe	Apabila ada makna perkataan yang tidak jelas, saya menggunakan kamus. 
00121135-r	zsm:lemma	begitu
00121135-r	zsm:exe	Ya, begitu. 
04962784-n	zsm:lemma	mérah
04962784-n	zsm:exe	Saya lebih suka warna biru daripada warna merah.
03871083-n	zsm:lemma	bagasi
03871083-n	zsm:exe	Biar saya tolong bawa bagasi itu.
02774630-n	zsm:lemma	bagasi
02774630-n	zsm:exe	Biar saya tolong bawa bagasi itu.
07891726-n	zsm:lemma	arak
07891726-n	zsm:exe	Saya tidak minum banyak arak.
07884567-n	zsm:lemma	arak
07884567-n	zsm:exe	Saya tidak minum banyak arak.
07891433-n	zsm:lemma	arak
07891433-n	zsm:exe	Saya tidak minum banyak arak.
15164463-n	zsm:lemma	hari Jumaat
15164463-n	zsm:exe	Saya selalu bermain dengan kawan-kawan saya pada hari Jumaat kerana hari kemudiannya cuti. 
03581125-n	zsm:lemma	persimpangan
03581125-n	zsm:exe	Lintas persimpangan sana, kemudian belok ke kiri.
02410393-a	zsm:lemma	tebal
02410393-a	zsm:exe	Saya makan daging yang tebal.
02410393-a	zsm:lemma	besar
02410393-a	zsm:exe	Ada pokok yang besar di taman.
02415390-a	zsm:lemma	tebal
02415390-a	zsm:exe	Saya makan daging yang tebal.
02529264-a	zsm:lemma	panas
02529264-a	zsm:exe	Cuaca akan mula panas apabila memasuki musim bunga.
01546111-v	zsm:lemma	berdiri
01546111-v	zsm:exe	Sila berdiri.
10142747-n	zsm:lemma	nénék
10142747-n	zsm:exe	Nenek Encik Hayashi memakai cermin mata.
07679356-n	zsm:lemma	roti
07679356-n	zsm:exe	Saya makan roti sahaja.
03259505-n	zsm:lemma	rumah
03259505-n	zsm:exe	Saya akan keluar rumah pada pukul sembilan pagi. 
03544360-n	zsm:lemma	rumah
03544360-n	zsm:exe	Saya akan keluar rumah pada pukul sembilan pagi. 
03544360-n	zsm:lemma	rumah
03544360-n	zsm:exe	Semasa saya sedang makan malam, kawan datang ke rumah.
08559508-n	zsm:lemma	rumah
08559508-n	zsm:exe	Saya akan keluar rumah pada pukul sembilan pagi. 
08559508-n	zsm:lemma	rumah
08559508-n	zsm:exe	Semasa saya sedang makan malam, kawan datang ke rumah.
15167349-n	zsm:lemma	malam
15167349-n	zsm:exe	Pasar raya sana buka pada waktu malam juga.
15155747-n	zsm:lemma	malam
15155747-n	zsm:exe	Pasar raya sana buka pada waktu malam juga.
15167027-n	zsm:lemma	malam
15167027-n	zsm:exe	Pasar raya sana buka pada waktu malam juga.
15167027-n	zsm:lemma	malam tadi
15167027-n	zsm:exe	Malam tadi, saya dan Cik Kimura pergi makan malam.
15167474-n	zsm:lemma	malam
15167474-n	zsm:exe	Pasar raya sana buka pada waktu malam juga.
03438257-n	zsm:lemma	gelas
03438257-n	zsm:exe	Selepas minum, saya basuh gelas sehingga bersih.
08613593-n	zsm:lemma	luar
08613593-n	zsm:exe	Di luar sejuk? 
03338821-n	zsm:lemma	filem
03338821-n	zsm:exe	Saya memasukkan filem ke dalam kamera.
06613686-n	zsm:lemma	filem
06613686-n	zsm:exe	Saya memasukkan filem ke dalam kamera.
06613686-n	zsm:lemma	filem
06613686-n	zsm:exe	Filem yang saya tengok semalam itu sangat menarik. 
06262567-n	zsm:lemma	filem
06262567-n	zsm:exe	Saya memasukkan filem ke dalam kamera.
04096066-n	zsm:lemma	jalan
04096066-n	zsm:exe	Oleh sebab jalan ini sangat sempit, ia berbahaya.
77000079-a	zsm:lemma	itu
77000079-a	zsm:exe	Orang itu ialah Encik Kobayashi.
14524198-n	zsm:lemma	mendung
14524198-n	zsm:exe	Semalam sepanjang hari mendung.
13828795-n	zsm:lemma	lébar; menegak
13828795-n	zsm:lemma	lébar; menegak
13828795-n	zsm:exe	Saya memotong kertas ini secara menegak.
00543233-n	zsm:lemma	muzik
00543233-n	zsm:exe	Saya suka muzik. 
05718556-n	zsm:lemma	muzik
05718556-n	zsm:exe	Saya suka muzik. 
05718935-n	zsm:lemma	muzik
05718935-n	zsm:exe	Saya suka muzik. 
07020895-n	zsm:lemma	muzik
07020895-n	zsm:exe	Saya suka muzik. 
00409709-r	zsm:lemma	dekat
00409709-r	zsm:exe	Sekolah terletak di kawasan dekat dengan rumah.
08641113-n	zsm:lemma	dekat
08641113-n	zsm:exe	Sekolah terletak di kawasan dekat dengan rumah.
03112099-n	zsm:lemma	koridor
03112099-n	zsm:exe	Saya membersihkan bahagian pintu masuk rumah dan juga koridor.
03661043-n	zsm:lemma	perpustakaan
03661043-n	zsm:exe	Saya ingin belajar di perpustakaan tapi tutup. 
07840804-n	zsm:lemma	telur
07840804-n	zsm:exe	Saya makan roti dan telur setiap pagi.
90000502-n	zsm:lemma	tahun ini
90000502-n	zsm:exe	Saya datang ke Jepun pada lima belas hari bulan Mac tahun ini .
03908204-n	zsm:lemma	pénsél
03908204-n	zsm:exe	Encik Matsui meminjamkan pensel kepada saya. 
14796748-n	zsm:lemma	pénsél
14796748-n	zsm:exe	Encik Matsui meminjamkan pensel kepada saya. 
05282433-n	zsm:lemma	gigi
05282433-n	zsm:exe	Saya gosok gigi selepas makan nasi.
05282746-n	zsm:lemma	gigi
05282746-n	zsm:exe	Saya gosok gigi selepas makan nasi.
01649720-a	zsm:lemma	muda
01649720-a	zsm:exe	Orang yang muda dan ceria itu adalah Encik Yamada.
01646941-a	zsm:lemma	muda
01646941-a	zsm:exe	Orang yang muda dan ceria itu adalah Encik Yamada.
00514884-a	zsm:lemma	seluruh; sapanjang
00514884-a	zsm:lemma	seluruh; sapanjang
00514884-a	zsm:exe	Saya ingin melancong ke seluruh Jepun. 
00988232-a	zsm:lemma	kurus
00988232-a	zsm:exe	Oleh sebab saya berlari setiap pagi, saya sudah kurus sedikit.
77000084-n	zsm:lemma	yang mana; mana
77000084-n	zsm:lemma	yang mana; mana
77000084-n	zsm:exe	Encik Yamada ingin makan yang mana?
00220082-a	zsm:lemma	cantik; bersih
00220082-a	zsm:lemma	cantik; bersih
00220082-a	zsm:exe	Warna lukisan ini cantik.
01586342-a	zsm:lemma	cantik; bersih
01586342-a	zsm:lemma	cantik; bersih
01586342-a	zsm:exe	Warna lukisan ini cantik.
01586342-a	zsm:lemma	bagus
01586342-a	zsm:exe	Filem ini tidak berapa bagus.
01346003-v	zsm:lemma	buka
01346003-v	zsm:exe	Oleh sebab panas, saya buka tingkap.
09853467-n	zsm:lemma	abang
09853467-n	zsm:exe	Saya seorang pelajar tetapi abang saya pula pekerja syarikat. 
09853467-n	zsm:lemma	abang
09853467-n	zsm:exe	Abang Encik Lee akan datang bermain di Jepun pada minggu depan.
03102654-n	zsm:lemma	peti sejuk
03102654-n	zsm:exe	Tiada apa-apa di dalam peti sejuk.
03273913-n	zsm:lemma	peti sejuk
03273913-n	zsm:exe	Tiada apa-apa di dalam peti sejuk.
02399595-a	zsm:lemma	tidak sedap
02399595-a	zsm:exe	Kedai itu murah tetapi tidak sedap.
01716971-a	zsm:lemma	tidak sedap
01716971-a	zsm:exe	Kedai itu murah tetapi tidak sedap.
07845335-n	zsm:lemma	susu lembu
07845335-n	zsm:exe	Saya tidak suka susu lembu, jadi saya jarang meminumnya.
07844042-n	zsm:lemma	susu lembu
07844042-n	zsm:exe	Saya tidak suka susu lembu, jadi saya jarang meminumnya.
10780632-n	zsm:lemma	isteri
10780632-n	zsm:exe	Isteri Encik Tanaka adalah seorang pensyarah di universiti.
08625462-n	zsm:lemma	kiri
08625462-n	zsm:exe	Cik Kimura ada di sebelah kiri Encik Tanaka.
90000508-n	zsm:lemma	minggu depan
90000508-n	zsm:exe	Kakak saya akan berkahwin pada minggu depan. 
01848718-v	zsm:lemma	pergi
01848718-v	zsm:exe	Selepas habis sekolah, saya akan pergi ke rumah kawan saya. 
06518719-n	zsm:lemma	tikét
06518719-n	zsm:exe	Kita membeli tiket semasa menaiki kereta api.
01470670-v	zsm:lemma	berjumpa
01470670-v	zsm:exe	Saya akan berjumpa dengan Cik Kimura di stesen malam ini.
02428924-v	zsm:lemma	berjumpa
02428924-v	zsm:exe	Saya akan berjumpa dengan Cik Kimura di stesen malam ini.
10285313-n	zsm:lemma	budak lelaki
10285313-n	zsm:exe	Ada budak lelaki sedang memanjat pokok di sana. 
03542333-n	zsm:lemma	hotél
03542333-n	zsm:exe	Bilik hotel ini sangat cantik. 
02913152-n	zsm:lemma	bangunan
02913152-n	zsm:exe	Dekat kawasan sini, tidak banyak bangunan yang tinggi. 
07649854-n	zsm:lemma	daging
07649854-n	zsm:exe	Saya lebih suka ikan daripada daging.
09397391-n	zsm:lemma	kolam
09397391-n	zsm:exe	Ada kolam yang besar di dalam taman.
07935152-n	zsm:lemma	téh
07935152-n	zsm:exe	Bagaimana dengan teh?
03082979-n	zsm:lemma	komputer
03082979-n	zsm:exe	Sekarang ini saya nak sebuah komputer.
00312553-n	zsm:lemma	melancong; pelancongan
00312553-n	zsm:lemma	melancong; pelancongan
00312553-n	zsm:exe	Saya terfikir nak pergi melancong ke luar negara pada tahun depan.
04043733-n	zsm:lemma	radio
04043733-n	zsm:exe	Saya dengar berita di radio. 
01442186-a	zsm:lemma	singkat
01442186-a	zsm:exe	Satu hari itu sangat singkat.
01436003-a	zsm:lemma	singkat
01436003-a	zsm:exe	Satu hari itu sangat singkat.
01442826-a	zsm:lemma	singkat
01442826-a	zsm:exe	Satu hari itu sangat singkat.
14513694-n	zsm:lemma	rumah
14513694-n	zsm:exe	Makanan ini boleh dibuat di rumah.
15274074-n	zsm:lemma	cuti
15274074-n	zsm:exe	Saya keluar dengan kawan pada hari cuti. 
15183428-n	zsm:lemma	cuti
15183428-n	zsm:exe	Saya keluar dengan kawan pada hari cuti. 
15137890-n	zsm:lemma	cuti
15137890-n	zsm:exe	Saya keluar dengan kawan pada hari cuti. 
00027918-r	zsm:lemma	masih
00027918-r	zsm:exe	Matsui masih belum membuat kerja rumah.
00031304-r	zsm:lemma	masih
00031304-r	zsm:exe	Matsui masih belum membuat kerja rumah.
03925226-n	zsm:lemma	gambar
03925226-n	zsm:exe	Apabila saya datang ke Jepun, saya mengambil gambar di lapangan terbang. 
03931044-n	zsm:lemma	gambar
03931044-n	zsm:exe	Apabila saya datang ke Jepun, saya mengambil gambar di lapangan terbang. 
