# TUFS Basic Tagalog Wordnet	tgl http://www.coelang.tufs.ac.jp/mt/tl/	CC BY 4.0
00744916-a	tgl:lemma	mahirap
00744916-a	tgl:exe	Mahirap na problema iyan. 
04401088-n	tgl:lemma	telepono
04401088-n	tgl:exe	Mayroong tatlong telepono sa opis namin.
06272803-n	tgl:lemma	telepono
06272803-n	tgl:exe	Mayroong tatlong telepono sa opis namin.
02870092-n	tgl:lemma	libro
02870092-n	tgl:exe	Ayaw kong ipahiram ang libro ko sa kanya.\n
06410904-n	tgl:lemma	libro
06410904-n	tgl:exe	Ayaw kong ipahiram ang libro ko sa kanya.\n
09972010-n	tgl:lemma	pinsan
09972010-n	tgl:exe	Bakit ka narito sa kasal ng pinsan ko?
14974264-n	tgl:lemma	papel
14974264-n	tgl:exe	Napunit ang papel ko.\n
80000677-n	tgl:lemma	papel
80000677-n	tgl:exe	Napunit ang papel ko.\n
06255777-n	tgl:lemma	papel
06255777-n	tgl:exe	Napunit ang papel ko.\n
04960277-n	tgl:lemma	itim
04960277-n	tgl:exe	Itim ang kulay ng buhok ng mga Filipino.\n
02770717-v	tgl:lemma	maging maulap
02770717-v	tgl:exe	Magiging maulap ang kalangitan bukas ng hapon.\n
02529945-a	tgl:lemma	presko
02529945-a	tgl:exe	Presko ang pakiramdam pagkatapos maligo.\n
02207206-v	tgl:lemma	bumili
02207206-v	tgl:exe	Bumibili ako ng isda sa palengke araw-araw.\n
02208265-v	tgl:lemma	bumili
02208265-v	tgl:exe	Bumibili ako ng isda sa palengke araw-araw.\n
00422620-a	tgl:lemma	marumi
00422620-a	tgl:exe	Marumi rin ang tubig kaya baka tayo magkasakit. 
01908889-a	tgl:lemma	marumi
01908889-a	tgl:exe	Marumi rin ang tubig kaya baka tayo magkasakit. 
00419289-a	tgl:lemma	marumi
00419289-a	tgl:exe	Marumi rin ang tubig kaya baka tayo magkasakit. 
01345109-v	tgl:lemma	isara
01345109-v	tgl:exe	Isara mo ang pinto dahil malamig.\n
01960911-v	tgl:lemma	lumangoy
01960911-v	tgl:exe	Parang bakang lumalangoy, ano?
00933154-a	tgl:lemma	mahal
00933154-a	tgl:exe	Ang mahal naman!
04199027-n	tgl:lemma	sapatos
04199027-n	tgl:exe	Hindi mo kailangang hubarin ang sapatos mo. 
04330340-n	tgl:lemma	kalan
04330340-n	tgl:exe	Linisin mo ang kalan mamaya.\n
07823951-n	tgl:lemma	curry
07823951-n	tgl:exe	Maanghang ang curry sa Chap-chap.\n
05598147-n	tgl:lemma	ilong
05598147-n	tgl:exe	Malapad ang ilong ko.
05658826-n	tgl:lemma	ilong
05658826-n	tgl:exe	Malapad ang ilong ko.
06947032-n	tgl:lemma	Ingles
06947032-n	tgl:exe	Apat, bukod sa Tagalog at Ingles.
07575726-n	tgl:lemma	hapunan
07575726-n	tgl:exe	Ano ang ulam natin mamayang hapunan?\n
07575726-n	tgl:lemma	hapunan
07575726-n	tgl:exe	Ano ang ulam natin mamayang hapunan?\n
03485794-n	tgl:lemma	panyo
03485794-n	tgl:exe	Bawal magbigay ng panyo bilang regalo.\n
01198101-v	tgl:lemma	manigarilyo
01198101-v	tgl:exe	Bawal manigarilyo sa loob ng gusali.\n
02741003-v	tgl:lemma	isabit
02741003-v	tgl:exe	Isabit mo na lang sa balikat mo iyang bag.\n
01206474-a	tgl:lemma	mababa
01206474-a	tgl:exe	Mababa lang ang nakuha ko sa test kahapon.\n
13832355-n	tgl:lemma	silangan
13832355-n	tgl:exe	Sumisikat ang araw sa silangan.\n
11525955-n	tgl:lemma	hangin
11525955-n	tgl:exe	Presko ang hangin sa tabing-dagat.\n
02324182-v	tgl:lemma	ipahiram
02324182-v	tgl:exe	Ayaw kong ipahiram ang libro ko sa kanya.\n
01437963-a	tgl:lemma	mahaba
01437963-a	tgl:exe	Mukhang elegante ka sa mahabang buhok, kasi mataba ang mukha mo.
01433493-a	tgl:lemma	mahaba
01433493-a	tgl:exe	Mukhang elegante ka sa mahabang buhok, kasi mataba ang mukha mo.
01444022-a	tgl:lemma	mahaba
01444022-a	tgl:exe	Mukhang elegante ka sa mahabang buhok, kasi mataba ang mukha mo.
80001077-n	tgl:lemma	ilan
80001077-n	tgl:exe	Ilan ho ang mayroon sa isang kilo?
80001077-n	tgl:lemma	magkano
80001077-n	tgl:exe	Magkano ang kailangan mo?
10665698-n	tgl:lemma	estudyante
10665698-n	tgl:exe	Kaunti ang mga estudyante sa aklatan.\n
10665698-n	tgl:lemma	estudyante
10665698-n	tgl:exe	Estudyante si Lita.
10251779-n	tgl:lemma	estudyante
10251779-n	tgl:exe	Kaunti ang mga estudyante sa aklatan.\n
08615374-n	tgl:lemma	park
08615374-n	tgl:exe	Pumupunta kami sa park tuwing Linggo.\n
77000064-n	tgl:lemma	alin
77000064-n	tgl:exe	Aling pasalubong ang para sa akin?
03290771-n	tgl:lemma	pintuan
03290771-n	tgl:exe	May mga halaman sa pintuan ng kapitbahay ko.\n
03290771-n	tgl:lemma	pasukan
03290771-n	tgl:exe	Malayo mula rito ang pasukan ng supermarket.\n
06409752-n	tgl:lemma	komposisyon
06409752-n	tgl:exe	Marami akong homework na komposisyon.\n
10286084-n	tgl:lemma	kapatid
10286084-n	tgl:exe	Mayroon ka bang kapatid, Margie?
09876454-n	tgl:lemma	kapatid
09876454-n	tgl:exe	Mayroon ka bang kapatid, Margie?
80001731-n	tgl:lemma	dayuhang-mag-aaral
80001731-n	tgl:exe	Maraming mga dayuhang-mag-aaral sa Tokyo University.\n
77000031-n	tgl:lemma	sila
77000031-n	tgl:exe	Magnobyo na ba sila?
00934199-a	tgl:lemma	mura
00934199-a	tgl:exe	Mura na ho iyan.
00935103-a	tgl:lemma	mura
00935103-a	tgl:exe	Mura na ho iyan.
02747802-n	tgl:lemma	ashtray
02747802-n	tgl:exe	Pakilinisan ang ashtray pagkatapos mong manigarilyo.\n
15213115-n	tgl:lemma	Oktubre
15213115-n	tgl:exe	Wala akong ginagawa ngayong Oktubreng ito.
15203791-n	tgl:lemma	taon
15203791-n	tgl:exe	Isang buwan ako na walang suweldo noong isang taon.\n
03619890-n	tgl:lemma	kusina
03619890-n	tgl:exe	Nabasag ang baso sa kusina.\n
00273734-v	tgl:lemma	magturo
00273734-v	tgl:exe	Nagtuturo siya sa UP.\n
00829107-v	tgl:lemma	magturo
00829107-v	tgl:exe	Nagtuturo siya sa UP.\n
00963570-v	tgl:lemma	magsalita
00963570-v	tgl:exe	Marunong ka bang magsalita ng wikang Hapon?\n
00815686-v	tgl:lemma	sumagot
00815686-v	tgl:exe	Sino ang sumagot sa tanong mo?\n
00635523-v	tgl:lemma	sumagot
00635523-v	tgl:exe	Sino ang sumagot sa tanong mo?\n
03417345-n	tgl:lemma	halamanan
03417345-n	tgl:exe	Maliit lang ang halamanan namin sa probinsya.\n
03417749-n	tgl:lemma	halamanan
03417749-n	tgl:exe	Maliit lang ang halamanan namin sa probinsya.\n
01775164-v	tgl:lemma	gustung-gusto
01775164-v	tgl:exe	Gustung-gusto ko talaga ang mga kanta ni Jaya.\n
01828736-v	tgl:lemma	gustung-gusto
01828736-v	tgl:exe	Gustung-gusto ko talaga ang mga kanta ni Jaya.\n
06418901-n	tgl:lemma	diksyunaryo
06418901-n	tgl:exe	Ilan ang ginagamit mong diksyunaryo sa pag-aaral ng Tagalog?\n
15164570-n	tgl:lemma	Sabado
15164570-n	tgl:exe	Sa Sabado ang susunod na miting natin.
00284798-n	tgl:lemma	pamamasyal
00284798-n	tgl:exe	Kasama nila ang aso sa pamamasyal.\n
00284101-n	tgl:lemma	pamamasyal
00284101-n	tgl:exe	Kasama nila ang aso sa pamamasyal.\n
01712704-v	tgl:lemma	gawin
01712704-v	tgl:exe	Ano naman ang gagawin mo sa Baguio?
08277393-n	tgl:lemma	eskuwelahan
08277393-n	tgl:exe	Malayo ang eskuwelahan sa aming bahay.\n
08276720-n	tgl:lemma	eskuwelahan
08276720-n	tgl:exe	Malayo ang eskuwelahan sa aming bahay.\n
00161630-r	tgl:lemma	dahan-dahan
00161630-r	tgl:exe	Ibaba mo nang dahan-dahan ang baril mo.\n
90000506-n	tgl:lemma	noong isang linggo
90000506-n	tgl:exe	Nagkasakit siya noong isang linggo.
03057021-n	tgl:lemma	jacket
03057021-n	tgl:exe	Nakita mo ba ang jacket ni Rudy?\n
03057021-n	tgl:lemma	panlamig
03057021-n	tgl:exe	Nakalimutan ko sa bahay ang aking panlamig.\n
03589791-n	tgl:lemma	jacket
03589791-n	tgl:exe	Nakita mo ba ang jacket ni Rudy?\n
06929279-n	tgl:lemma	Hapon
06929279-n	tgl:exe	Sinubukan kong mag-aral ng wikang Hapon sa kolehiyo.\n
03303965-n	tgl:lemma	labasan
03303965-n	tgl:exe	Hindi ko makita ang labasan sa istasyon ng tren.\n
10142391-n	tgl:lemma	lolo
10142391-n	tgl:exe	Ryan, pupunta tayo sa libing ng lolo mo ngayon. 
07934530-n	tgl:lemma	tsaa
07934530-n	tgl:exe	Umiinom ako ng tsaa kapag may lagnat ako.\n
07933274-n	tgl:lemma	tsaa
07933274-n	tgl:exe	Umiinom ako ng tsaa kapag may lagnat ako.\n
07933274-n	tgl:lemma	green tea
07933274-n	tgl:exe	Umiinom siya ng green tea pagkatapos kumain.\n
07989373-n	tgl:lemma	mag-asawa
07989373-n	tgl:exe	Maraming mag-asawa ang nakatira sa bayan namin.\n
10146559-n	tgl:lemma	tindahan ng gulay
10146559-n	tgl:exe	Maraming tindahan ng gulay sa palengke ng Baguio.\n
03457686-n	tgl:lemma	tindahan ng gulay
03457686-n	tgl:exe	Maraming tindahan ng gulay sa palengke ng Baguio.\n
03147509-n	tgl:lemma	tasa
03147509-n	tgl:exe	Bigyan mo ako ng isang tasang kape.
03972524-n	tgl:lemma	bulsa
03972524-n	tgl:exe	Nabutas ang bulsa ko dahil sa mga barya.\n
04968895-n	tgl:lemma	asul
04968895-n	tgl:exe	Kulay asul ang Manila Bay dati.\n
01555416-a	tgl:lemma	kakaunti
01555416-a	tgl:exe	Kakaunti lang ang kinain ko sa party.\n
01552885-a	tgl:lemma	kakaunti
01552885-a	tgl:exe	Kakaunti lang ang kinain ko sa party.\n
00017865-v	tgl:lemma	matulog
00017865-v	tgl:exe	Una, matulog ka muna.
00450147-a	tgl:lemma	malapit
00450147-a	tgl:exe	Malapit lang sa eskuwelahan ang bahay nina Lito.\n
00444519-a	tgl:lemma	malapit
00444519-a	tgl:exe	Malapit lang sa eskuwelahan ang bahay nina Lito.\n
00445169-a	tgl:lemma	malapit
00445169-a	tgl:exe	Malapit lang sa eskuwelahan ang bahay nina Lito.\n
00584367-n	tgl:lemma	trabaho
00584367-n	tgl:exe	Maaga pa ho ang trabaho ko bukas.
07574602-n	tgl:lemma	almusal
07574602-n	tgl:exe	Kumain ng almusal si Pedro bago pumasok sa trabaho.\n
08078020-n	tgl:lemma	pamilya
08078020-n	tgl:exe	Malungkot ang aking pamilya sa aking pag-alis.\n
10236304-n	tgl:lemma	pamilya
10236304-n	tgl:exe	Malungkot ang aking pamilya sa aking pag-alis.\n
07970406-n	tgl:lemma	pamilya
07970406-n	tgl:exe	Malungkot ang aking pamilya sa aking pag-alis.\n
07970406-n	tgl:lemma	tahanan
07970406-n	tgl:exe	Lumaki ako sa isang masayang tahanan.\n
04197391-n	tgl:lemma	polo
04197391-n	tgl:exe	Marumi ang kuwelyo ng polo ni Boboy.\n
09918248-n	tgl:lemma	bata
09918248-n	tgl:exe	Kuwarto ng mga bata ito. 
12212361-n	tgl:lemma	gulay
12212361-n	tgl:exe	Paborito kong gulay iyan, eh.
07707451-n	tgl:lemma	gulay
07707451-n	tgl:exe	Paborito kong gulay iyan, eh.
03365991-n	tgl:lemma	palapag
03365991-n	tgl:exe	Ilang palapag ang gusali ninyo?\n
00976508-a	tgl:lemma	mabilis
00976508-a	tgl:exe	Mas mabilis at mas mura kung sasakay tayo ng traysikel.
00981818-a	tgl:lemma	mabilis
00981818-a	tgl:exe	Mas mabilis at mas mura kung sasakay tayo ng traysikel.
00979862-a	tgl:lemma	mabilis
00979862-a	tgl:exe	Mas mabilis at mas mura kung sasakay tayo ng traysikel.
01367431-a	tgl:lemma	masigla
01367431-a	tgl:exe	Bigyan natin ng sigla ang ating pag-awit.
07644382-n	tgl:lemma	manok
07644382-n	tgl:exe	Hindi ako kumakain ng manok.
07644967-n	tgl:lemma	manok
07644967-n	tgl:exe	Hindi ako kumakain ng manok.
07813107-n	tgl:lemma	asin
07813107-n	tgl:exe	Lagyan mo rin ng asin.
07825972-n	tgl:lemma	toyo
07825972-n	tgl:exe	Maalat ang toyong nabili ko.\n
02005948-v	tgl:lemma	dumating
02005948-v	tgl:exe	Dumating sila dito kahapon.
02930766-n	tgl:lemma	taksi
02930766-n	tgl:exe	Siguraduhin mong gumagana ang metro ng taksi.\n
04371225-n	tgl:lemma	swimming pool
04371225-n	tgl:exe	Nilinisan niya kahapon ang swimming pool.\n
00604617-a	tgl:lemma	kombinyente
00604617-a	tgl:exe	Kombiniyente ang kompyuter lalo na sa opisina.\n
15237250-n	tgl:lemma	tag-init
15237250-n	tgl:exe	Pumupunta kami sa dagat tuwing tag-init.\n
03757138-n	tgl:lemma	subway
03757138-n	tgl:exe	Wala pang subway sa Pilipinas.\n
04349306-n	tgl:lemma	subway
04349306-n	tgl:exe	Wala pang subway sa Pilipinas.\n
77000090-n	tgl:lemma	paano
77000090-n	tgl:exe	Paano ho magluto ng sinigang na baboy?
80001331-x	tgl:lemma	paano
80001331-x	tgl:exe	Paano ho magluto ng sinigang na baboy?
77000104-n	tgl:lemma	kailan
77000104-n	tgl:exe	Kailan ka ba babalik dito?
04105893-n	tgl:lemma	apartment
04105893-n	tgl:exe	Mahal ang mga apartment sa Makati.\n
06415419-n	tgl:lemma	kuwaderno
06415419-n	tgl:exe	Kailangan ko ng anim na kuwaderno para sa eskwelahan.\n
01376705-a	tgl:lemma	sikat
01376705-a	tgl:exe	Naging sikat si Mariah Carey sa Pilipinas.\n
01375831-a	tgl:lemma	sikat
01375831-a	tgl:exe	Naging sikat si Mariah Carey sa Pilipinas.\n
00953216-v	tgl:lemma	magkuwento
00953216-v	tgl:exe	Nagkuwento ng katatakutan si Larry kagabi.\n
00962447-v	tgl:lemma	magkuwento
00962447-v	tgl:exe	Nagkuwento ng katatakutan si Larry kagabi.\n
02935891-n	tgl:lemma	kantin
02935891-n	tgl:exe	Masarap ang pagkain sa kantin ng aming eskwelahan.\n
01984902-v	tgl:lemma	umupo
01984902-v	tgl:exe	Huwag kang umupo sa sahig.\n
00120223-r	tgl:lemma	habang
00120223-r	tgl:exe	Nanood siya ng TV habang kumakain.\n
00120095-r	tgl:lemma	habang
00120095-r	tgl:exe	Nanood siya ng TV habang kumakain.\n
02386612-a	tgl:lemma	maliit
02386612-a	tgl:exe	Maliit lang ang apartment namin sa Maynila.\n
02386612-a	tgl:lemma	maikli
02386612-a	tgl:exe	Akala ko, mukhang bumata ako sa maikling buhok.
02345713-a	tgl:lemma	masama
02345713-a	tgl:exe	Hindi siya gumawa ng masama.
00478311-a	tgl:lemma	masama
00478311-a	tgl:exe	Hindi siya gumawa ng masama.
01174222-a	tgl:lemma	masama
01174222-a	tgl:exe	Hindi siya gumawa ng masama.
03025755-n	tgl:lemma	chopsticks
03025755-n	tgl:exe	Marunong ka bang gumamit ng chopsticks?\n
15166191-n	tgl:lemma	hapon
15166191-n	tgl:exe	Pag Lunes at Huwebes, Pilipino at Math, mula alas otso y medya ng umaga hanggang ala una ng hapon.
80000080-n	tgl:lemma	itong buwang ito
80000080-n	tgl:exe	Lilipat ng bahay sina Fe itong buwang ito.\n
06624161-n	tgl:lemma	sulat
06624161-n	tgl:exe	Naghulog ako ng sulat noong isang araw.\n
01909812-v	tgl:lemma	lumiko
01909812-v	tgl:exe	Bawal lumiko diyan sa kanto.\n
07929519-n	tgl:lemma	kape
07929519-n	tgl:exe	Nilalagyan ko ng asukal ang kape ko.\n
01729431-v	tgl:lemma	kumanta
01729431-v	tgl:exe	Sino ang kumakanta? Ang mga bata ang kumakanta.
11501381-n	tgl:lemma	ulan
11501381-n	tgl:exe	Ang lakas ng ulan!
07749582-n	tgl:lemma	limon
07749582-n	tgl:exe	Nilagyan ko ng limon ang tsaa.\n
90000511-n	tgl:lemma	kamakalawa
90000511-n	tgl:exe	Nag-swimming kami noong kamakalawa.\n
00118032-r	tgl:lemma	sige
00118032-r	tgl:exe	O sige, mag-ingat ka, ha.
00118032-r	tgl:lemma	kung ganoon
00118032-r	tgl:exe	Kung ganoon, tawagan mo na lang ako.\n
04468005-n	tgl:lemma	tren
04468005-n	tgl:exe	Hindi ko makita ang labasan sa istasyon ng tren.\n
77000002-n	tgl:lemma	kami
77000002-n	tgl:exe	Pupunta kami sa San Pablo sa Mahal na Araw. 
15206296-n	tgl:lemma	isang buwan
15206296-n	tgl:exe	Isang buwan ako na walang suweldo noong isang taon.\n
02834778-n	tgl:lemma	bisikleta
02834778-n	tgl:exe	Nawala ang bisikleta sa Luneta.\n
06597466-n	tgl:lemma	magasin
06597466-n	tgl:exe	Mahilig magbasa ng magasin ang ate ko.\n
06595351-n	tgl:lemma	magasin
06595351-n	tgl:exe	Mahilig magbasa ng magasin ang ate ko.\n
03704210-n	tgl:lemma	magasin
03704210-n	tgl:exe	Mahilig magbasa ng magasin ang ate ko.\n
08238463-n	tgl:lemma	klase
08238463-n	tgl:exe	Hindi. At marami ring assignments sa klase niya.
00050454-v	tgl:lemma	maghubad
00050454-v	tgl:exe	Huwag kang maghubad ng sapatos dito.\n
02649830-v	tgl:lemma	tumira
02649830-v	tgl:exe	Isang mammal na nakatira sa dagat sa Western Visayas at Palawan.
15155891-n	tgl:lemma	bukas
15155891-n	tgl:exe	May pista bukas.
04208936-n	tgl:lemma	shower
04208936-n	tgl:exe	Nag-shower ako kagabi bago matulog.\n
15213774-n	tgl:lemma	Disyembre
15213774-n	tgl:exe	Maraming Pilipino ang umuuwi kapag Disyembre.\n
00625119-v	tgl:lemma	magbasa
00625119-v	tgl:exe	Ayaw kong magbasa ng makakapal na libro.\n
02774152-n	tgl:lemma	bag
02774152-n	tgl:exe	Malaki ang bag na ginagamit ni Nene sa eskuwelahan.\n
02773037-n	tgl:lemma	bag
02773037-n	tgl:exe	Malaki ang bag na ginagamit ni Nene sa eskuwelahan.\n
13250542-n	tgl:lemma	pera
13250542-n	tgl:exe	Wala na akong pera.
13384557-n	tgl:lemma	pera
13384557-n	tgl:exe	Wala na akong pera.
05600637-n	tgl:lemma	mukha
05600637-n	tgl:exe	Ganiyang-ganiyan ang mukha ng tatay mo noong bata pa siya.\n
07597365-n	tgl:lemma	kendi
07597365-n	tgl:exe	Binigyan niya ang mga bata ng maraming kendi.
00024356-r	tgl:lemma	hindi
00024356-r	tgl:exe	Hindi. At marami ring assignments sa klase niya.
03176763-n	tgl:lemma	department istor
03176763-n	tgl:exe	Malaki ang bagong department istor sa Baguio.\n
01725051-v	tgl:lemma	tumugtog
01725051-v	tgl:exe	Tumutugtog ng gitara sa istasyon ng tren ang mga pulubi.\n
03388183-n	tgl:lemma	pontimpen
03388183-n	tgl:exe	May magandang pontimpen sa mesa ng lolo ko.\n\n
77000089-a	tgl:lemma	ganito
77000089-a	tgl:exe	Ganito pala magbiyahe dito sa Mountain Province.
15164354-n	tgl:lemma	Huwebes
15164354-n	tgl:exe	Pag Lunes at Huwebes, Pilipino at Math, mula alas otso y medya ng umaga hanggang ala una ng hapon.
00056916-r	tgl:lemma	sige
00056916-r	tgl:exe	Sige, kumain ka na.\n
00816481-a	tgl:lemma	mabagal
00816481-a	tgl:exe	Mabagal maglakad ang pagong ko.\n
01901186-a	tgl:lemma	mabagal
01901186-a	tgl:exe	Mabagal maglakad ang pagong ko.\n
04956594-n	tgl:lemma	kulay
04956594-n	tgl:exe	Dilaw ang paborito kong kulay.\n
04674968-n	tgl:lemma	kulay
04674968-n	tgl:exe	Dilaw ang paborito kong kulay.\n
07109730-n	tgl:lemma	wika
07109730-n	tgl:exe	Ilang wika ang alam mo?
06282651-n	tgl:lemma	wika
06282651-n	tgl:exe	Ilang wika ang alam mo?
00121135-r	tgl:lemma	ganiyan
00121135-r	tgl:exe	Huwag mo akong tanungin tungkol sa mga ganiyang bagay.\n
04962784-n	tgl:lemma	pula
04962784-n	tgl:exe	 Pula ang labi niya at makinis ang balat niya.
03871083-n	tgl:lemma	bagahe
03871083-n	tgl:exe	Nakalimutan ko ang bagahe ko sa loob ng tren.\n
02774630-n	tgl:lemma	bagahe
02774630-n	tgl:exe	Nakalimutan ko ang bagahe ko sa loob ng tren.\n
07891726-n	tgl:lemma	alak
07891726-n	tgl:exe	Bawal uminom ng alak ang mga bata.\n
07884567-n	tgl:lemma	alak
07884567-n	tgl:exe	Bawal uminom ng alak ang mga bata.\n
07891433-n	tgl:lemma	alak
07891433-n	tgl:exe	Bawal uminom ng alak ang mga bata.\n
15164463-n	tgl:lemma	Biyernes
15164463-n	tgl:exe	Wala akong pasok sa Biyernes.\n
03581125-n	tgl:lemma	krosing
03581125-n	tgl:exe	May aksidente sa krosing kaninang umaga.\n
02410393-a	tgl:lemma	makapal
02410393-a	tgl:exe	Makapal ang salamin ni Lorna.\n
02410393-a	tgl:lemma	mataba
02410393-a	tgl:exe	Kaya ka pala mataba!
02415390-a	tgl:lemma	makapal
02415390-a	tgl:exe	Makapal ang salamin ni Lorna.\n
02756821-v	tgl:lemma	umulan
02756821-v	tgl:exe	Umulan nang malakas kagabi.\n
02529264-a	tgl:lemma	mainit
02529264-a	tgl:exe	Masarap ang mainit na kape sa almusal.\n
01546111-v	tgl:lemma	tumayo
01546111-v	tgl:exe	Tumayo ka nang diretso.\n
10142747-n	tgl:lemma	lola
10142747-n	tgl:exe	Sana nga. Kung aaraw bukas, puwede tayong dumalaw sa lola.
07679356-n	tgl:lemma	tinapay
07679356-n	tgl:exe	Hindi ako naglalagay ng bater sa tinapay.\n
03259505-n	tgl:lemma	bahay
03259505-n	tgl:exe	Mayroon, doon sa bahay ng kaklase ko noong haiskul.
03544360-n	tgl:lemma	bahay
03544360-n	tgl:exe	Mayroon, doon sa bahay ng kaklase ko noong haiskul.
03544360-n	tgl:lemma	bahay
03544360-n	tgl:exe	Naroon yata siya sa bahay nina Fe.
08559508-n	tgl:lemma	bahay
08559508-n	tgl:exe	Mayroon, doon sa bahay ng kaklase ko noong haiskul.
08559508-n	tgl:lemma	bahay
08559508-n	tgl:exe	Naroon yata siya sa bahay nina Fe.
15210486-n	tgl:lemma	Pebrero
15210486-n	tgl:exe	Dumating siya noong nakaraang Pebrero.
15167349-n	tgl:lemma	gabi
15167349-n	tgl:exe	Gabi na.
15155747-n	tgl:lemma	gabi
15155747-n	tgl:exe	Gabi na.
15167027-n	tgl:lemma	gabi
15167027-n	tgl:exe	Gabi na.
15167027-n	tgl:lemma	kagabi
15167027-n	tgl:exe	Hindi ako nakatulog kagabi.
15167474-n	tgl:lemma	gabi
15167474-n	tgl:exe	Gabi na.
03438257-n	tgl:lemma	baso
03438257-n	tgl:exe	Nabasag ang baso sa kusina.\n
08613593-n	tgl:lemma	labas
08613593-n	tgl:exe	Teka, may tao yata sa labas.
03338821-n	tgl:lemma	film
03338821-n	tgl:exe	Mamaya na ako bibili ng film.\n
06613686-n	tgl:lemma	film
06613686-n	tgl:exe	Mamaya na ako bibili ng film.\n
06613686-n	tgl:lemma	sine
06613686-n	tgl:exe	Mahilig akong manood ng sine, pero ayaw kong manood ngayon.
06262567-n	tgl:lemma	film
06262567-n	tgl:exe	Mamaya na ako bibili ng film.\n
04096066-n	tgl:lemma	daan
04096066-n	tgl:exe	Masisikip ang mga daan sa loob ng UP.\n
15212739-n	tgl:lemma	Setyembre
15212739-n	tgl:exe	Wala pang pasok sa aming eskuwelahan sa Setyembre.
77000079-a	tgl:lemma	niyan
77000079-a	tgl:exe	Puwede ba akong humiram ng lapis na iyan?
14524198-n	tgl:lemma	maulap
14524198-n	tgl:exe	Maulap ngayon, kaya hindi mainit.
13828795-n	tgl:lemma	haba
13828795-n	tgl:exe	Sinukat mo ba ang haba ng kahon?\n
00543233-n	tgl:lemma	musika
00543233-n	tgl:exe	May talento siya sa musika.
05718556-n	tgl:lemma	musika
05718556-n	tgl:exe	May talento siya sa musika.
05718935-n	tgl:lemma	musika
05718935-n	tgl:exe	May talento siya sa musika.
07020895-n	tgl:lemma	musika
07020895-n	tgl:exe	May talento siya sa musika.
00409709-r	tgl:lemma	kalapit
00409709-r	tgl:exe	Nakatira siya sa isang kalapit na bayan.\n
08641113-n	tgl:lemma	kalapit
08641113-n	tgl:exe	Nakatira siya sa isang kalapit na bayan.\n
03112099-n	tgl:lemma	koridor
03112099-n	tgl:exe	Maingay sa koridor tuwing lunch break.\n
03661043-n	tgl:lemma	aklatan
03661043-n	tgl:exe	Hindi maaaring mag-ingay sa aklatan.\n
07840804-n	tgl:lemma	itlog
07840804-n	tgl:exe	Kumakain ako ng itlog sa almusal araw-araw.
90000502-n	tgl:lemma	ngayong taon
90000502-n	tgl:exe	Hindi masyadong mainit ang tag-init ngayong taon.
03908204-n	tgl:lemma	lapis
03908204-n	tgl:exe	Ilang lapis ang binili mo sa tindahang iyan?
14796748-n	tgl:lemma	lapis
14796748-n	tgl:exe	Ilang lapis ang binili mo sa tindahang iyan?
05282433-n	tgl:lemma	ngipin
05282433-n	tgl:exe	Masakit ang ngipin ko kagabi.
05282746-n	tgl:lemma	ngipin
05282746-n	tgl:exe	Masakit ang ngipin ko kagabi.
01649720-a	tgl:lemma	bata
01649720-a	tgl:exe	Napakabata naman ninyo!
01646941-a	tgl:lemma	bata
01646941-a	tgl:exe	Napakabata naman ninyo!
00514884-a	tgl:lemma	sa
00514884-a	tgl:exe	Siya ang pinakamagandang babae sa bayang ito.
00988232-a	tgl:lemma	payat
00988232-a	tgl:exe	Baka may sakit siya, kasi masyado siyang payat.
01029368-v	tgl:lemma	si
01029368-v	tgl:exe	Joey, siya si Tina, ang kababata ko. 
77000084-n	tgl:lemma	saan
77000084-n	tgl:exe	Saan ho tayo dadaan?
00220082-a	tgl:lemma	maganda
00220082-a	tgl:exe	Maganda ba siya? 
01586342-a	tgl:lemma	maganda
01586342-a	tgl:exe	Maganda ba siya? 
01586342-a	tgl:lemma	mabuti
01586342-a	tgl:exe	Mas mabuting magpasalamat ka kay Carmen.　　　　　　　　　　　　　　　　
01346003-v	tgl:lemma	buksan
01346003-v	tgl:exe	Huwag mong buksan ang bintana sa kuwarto.\n
09853467-n	tgl:lemma	kuya
09853467-n	tgl:exe	Wala akong kuya.
09853467-n	tgl:lemma	kuya
09853467-n	tgl:exe	Matangkad ang kuya ni Ben.\n
03102654-n	tgl:lemma	repridyereytor
03102654-n	tgl:exe	Malaki ang repridyereytor ng tiyo ko.\n
03273913-n	tgl:lemma	repridyereytor
03273913-n	tgl:exe	Malaki ang repridyereytor ng tiyo ko.\n
02399595-a	tgl:lemma	hindi masarap
02399595-a	tgl:exe	Hindi raw masarap ang balot.\n
01716971-a	tgl:lemma	hindi masarap
01716971-a	tgl:exe	Hindi raw masarap ang balot.\n
07845335-n	tgl:lemma	gatas
07845335-n	tgl:exe	Umiinom siya ng gatas bago matulog.\n
07844042-n	tgl:lemma	gatas
07844042-n	tgl:exe	Umiinom siya ng gatas bago matulog.\n
10780632-n	tgl:lemma	asawa
10780632-n	tgl:exe	Wala siyang asawa.\n
10780632-n	tgl:lemma	asawa
10780632-n	tgl:exe	Ipapakilala ko sa iyo ang aking asawa.\n
08625462-n	tgl:lemma	kaliwa
08625462-n	tgl:exe	Ang tao ay may kanan at kaliwang kamay.
90000508-n	tgl:lemma	sa isang linggo
90000508-n	tgl:exe	Siguro mababayaran na kita sa isang linggo.
