# TUFS Basic Chinese, Mandarin Wordnet	cmn	http://www.coelang.tufs.ac.jp/mt/zh/	CC BY 4.0
08649345-n	cmn:lemma	横	héng__orth:pīnyīn
08649345-n	cmn:exe	0	别横着放。
08649345-n	cmn:count	横	2
08649345-n	cmn:pron	横	héng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_296.mp3	
08649345-n	cmn:lemma	旁边	pángbiān__orth:pīnyīn
08649345-n	cmn:exe	0	学校旁边有一个邮局。
08649345-n	cmn:count	旁边	1
08649345-n	cmn:pron	旁边	pángbiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_105.mp3	
08649345-n	cmn:lemma	旁边	pángbiān__orth:pīnyīn
08649345-n	cmn:exe	0	就在301教室旁边儿。
08649345-n	cmn:count	旁边	1
08649345-n	cmn:pron	旁边	pángbiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_105.mp3	
05136150-n	cmn:lemma	横	héng__orth:pīnyīn
05136150-n	cmn:exe	0	别横着放。
05136150-n	cmn:count	横	2
05136150-n	cmn:pron	横	héng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_296.mp3	
15211484-n	cmn:lemma	五月	wǔyuè__orth:pīnyīn
15211484-n	cmn:exe	0	今天五月一号星期一。
15211484-n	cmn:count	五月	2
15211484-n	cmn:pron	五月	wǔyuè	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_391.mp3	
05563770-n	cmn:lemma	胳膊	gēbo__orth:pīnyīn
05563770-n	cmn:exe	0	胳膊酸了。
05563770-n	cmn:count	胳膊	1
05563770-n	cmn:pron	胳膊	gēbo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_342.mp3	
15165490-n	cmn:lemma	白天	báitiān__orth:pīnyīn
15165490-n	cmn:exe	0	从白天到晚上，写了一篇文章。
15165490-n	cmn:count	白天	1
15165490-n	cmn:pron	白天	báitiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_429.mp3	
04272054-n	cmn:lemma	眼镜	yǎnjìng__orth:pīnyīn
04272054-n	cmn:exe	0	我的眼镜在哪儿呢?
04272054-n	cmn:count	眼镜	1
04272054-n	cmn:pron	眼镜	yǎnjìng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_371.mp3	
80000746-n	cmn:lemma	汉字	hànzì__orth:pīnyīn
80000746-n	cmn:exe	0	这个汉字怎么念? 
80000746-n	cmn:count	汉字	1
80000746-n	cmn:pron	汉字	hànzì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_471.mp3	
10287213-n	cmn:lemma	男的	nánde__orth:pīnyīn
10287213-n	cmn:exe	0	新来的老师是男的,还是女的?
10287213-n	cmn:count	男的	1
10287213-n	cmn:pron	男的	nánde	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_492.mp3	
09624168-n	cmn:lemma	男的	nánde__orth:pīnyīn
09624168-n	cmn:exe	0	新来的老师是男的,还是女的?
09624168-n	cmn:count	男的	1
09624168-n	cmn:pron	男的	nánde	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_492.mp3	
15164105-n	cmn:lemma	星期二	xīngqīèr__orth:pīnyīn
15164105-n	cmn:exe	0	星期二
15164105-n	cmn:count	星期二	1
15164105-n	cmn:pron	星期二	xīngqīèr	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_404.mp3	
77000099-n	cmn:lemma	大家	dàjiā__orth:pīnyīn
77000099-n	cmn:exe	0	他被大家选为代表了。
77000099-n	cmn:count	大家	1
77000099-n	cmn:pron	大家	dàjiā	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_496.mp3	
00479391-v	cmn:lemma	擦掉	cādiào__orth:pīnyīn
00479391-v	cmn:exe	0	用橡皮擦掉。
00479391-v	cmn:count	擦掉	1
00479391-v	cmn:pron	擦掉	cādiào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_370.mp3	
03238879-n	cmn:lemma	衬衫	chènshān__orth:pīnyīn
03238879-n	cmn:exe	0	今天她穿着一件很好看的衬衫。
03238879-n	cmn:count	衬衫	1
03238879-n	cmn:pron	衬衫	chènshān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_41.mp3	
02412164-a	cmn:lemma	薄	báo__orth:pīnyīn
02412164-a	cmn:exe	0	她穿的衣服太薄了。
02412164-a	cmn:count	薄	2
02412164-a	cmn:pron	薄	báo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_274.mp3	
02414188-a	cmn:lemma	薄	báo__orth:pīnyīn
02414188-a	cmn:exe	0	她穿的衣服太薄了。
02414188-a	cmn:count	薄	2
02414188-a	cmn:pron	薄	báo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_274.mp3	
08489627-n	cmn:lemma	那儿	nàr__orth:pīnyīn
08489627-n	cmn:exe	0	我的本子在老师那儿。
08489627-n	cmn:exe	1	你说的是那儿吗？
08489627-n	cmn:exe	2	一到那儿，天就冷了。
08489627-n	cmn:count	那儿	3
08489627-n	cmn:pron	那儿	nàr	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_108.mp3	
01168468-v	cmn:lemma	吃	chī__orth:pīnyīn
01168468-v	cmn:exe	0	你们吃什么?
01168468-v	cmn:exe	1	我喜欢吃上海菜，你呢?
01168468-v	cmn:exe	2	我吃过韩国菜。
01168468-v	cmn:count	吃	3
01168468-v	cmn:pron	吃	chī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_191.mp3	
01166351-v	cmn:lemma	吃	chī__orth:pīnyīn
01166351-v	cmn:exe	0	你们吃什么?
01166351-v	cmn:exe	1	我喜欢吃上海菜，你呢?
01166351-v	cmn:exe	2	我吃过韩国菜。
01166351-v	cmn:count	吃	3
01166351-v	cmn:pron	吃	chī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_191.mp3	
01179865-v	cmn:lemma	吃	chī__orth:pīnyīn
01179865-v	cmn:exe	0	你们吃什么?
01179865-v	cmn:exe	1	我喜欢吃上海菜，你呢?
01179865-v	cmn:exe	2	我吃过韩国菜。
01179865-v	cmn:count	吃	3
01179865-v	cmn:pron	吃	chī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_191.mp3	
15122231-n	cmn:lemma	的时候	deshíhou__orth:pīnyīn
15122231-n	cmn:exe	0	快到十一点的时候，他才回家。
15122231-n	cmn:exe	1	我去的时候，发现门开着。
15122231-n	cmn:exe	2	记汉字的时候，可以一边儿念，一边儿写。
15122231-n	cmn:count	的时候	3
15122231-n	cmn:pron	的时候	deshíhou	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_438.mp3	
02818832-n	cmn:lemma	床	chuáng__orth:pīnyīn
02818832-n	cmn:exe	0	这间屋子可以放三张床。
02818832-n	cmn:count	床	1
02818832-n	cmn:pron	床	chuáng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_94.mp3	
90000503-n	cmn:lemma	明年	míngnián__orth:pīnyīn
90000503-n	cmn:exe	0	明年二○○五年。
90000503-n	cmn:count	明年	1
90000503-n	cmn:pron	明年	míngnián	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_417.mp3	
08168367-n	cmn:lemma	外国	wàiguó__orth:pīnyīn
08168367-n	cmn:exe	0	你去过外国吗？
08168367-n	cmn:count	外国	2
08168367-n	cmn:pron	外国	wàiguó	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_4.mp3	
02560548-a	cmn:lemma	宽	kuān__orth:pīnyīn
02560548-a	cmn:exe	0	这条河有多宽?
02560548-a	cmn:count	宽	1
02560548-a	cmn:pron	宽	kuān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_270.mp3	
01384212-a	cmn:lemma	宽	kuān__orth:pīnyīn
01384212-a	cmn:exe	0	这条河有多宽?
01384212-a	cmn:count	宽	1
01384212-a	cmn:pron	宽	kuān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_270.mp3	
01031256-v	cmn:lemma	寄	jì__orth:pīnyīn
01031256-v	cmn:exe	0	大概是妈妈寄给我的。
01031256-v	cmn:count	寄	1
01031256-v	cmn:pron	寄	jì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_217.mp3	
01995211-v	cmn:lemma	寄	jì__orth:pīnyīn
01995211-v	cmn:exe	0	大概是妈妈寄给我的。
01995211-v	cmn:count	寄	1
01995211-v	cmn:pron	寄	jì	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_217.mp3	
07110457-n	cmn:lemma	话	huà__orth:pīnyīn
07110457-n	cmn:exe	0	我听懂了他的话。
07110457-n	cmn:count	话	1
07110457-n	cmn:pron	话	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_474.mp3	
00893243-n	cmn:lemma	话	huà__orth:pīnyīn
00893243-n	cmn:exe	0	我听懂了他的话。
00893243-n	cmn:count	话	1
00893243-n	cmn:pron	话	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_474.mp3	
07221094-n	cmn:lemma	话	huà__orth:pīnyīn
07221094-n	cmn:exe	0	我听懂了他的话。
07221094-n	cmn:count	话	1
07221094-n	cmn:pron	话	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_474.mp3	
07139316-n	cmn:lemma	话	huà__orth:pīnyīn
07139316-n	cmn:exe	0	我听懂了他的话。
07139316-n	cmn:count	话	1
07139316-n	cmn:pron	话	huà	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_474.mp3	
00031798-r	cmn:lemma	已经	yǐjing__orth:pīnyīn
00031798-r	cmn:exe	0	已经十二点了，你快睡觉吧。
00031798-r	cmn:count	已经	1
00031798-r	cmn:pron	已经	yǐjing	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_434.mp3	
07555863-n	cmn:lemma	吃的	chīde__orth:pīnyīn
07555863-n	cmn:exe	0	有没有什么吃的？
07555863-n	cmn:count	吃的	1
07555863-n	cmn:pron	吃的	chīde	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_530.mp3	
07560652-n	cmn:lemma	吃的	chīde__orth:pīnyīn
07560652-n	cmn:exe	0	有没有什么吃的？
07560652-n	cmn:count	吃的	1
07560652-n	cmn:pron	吃的	chīde	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_530.mp3	
00157412-r	cmn:lemma	有时	yǒushí__orth:pīnyīn
00157412-r	cmn:exe	0	她有时发脾气。
00157412-r	cmn:count	有时	1
00157412-r	cmn:pron	有时	yǒushí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_526.mp3	
00157412-r	cmn:lemma	有时	yǒushí__orth:pīnyīn
00157412-r	cmn:exe	0	她有时发脾气。
00157412-r	cmn:count	有时	1
00157412-r	cmn:pron	有时	yǒushí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_526.mp3	
00021212-r	cmn:lemma	有时	yǒushí__orth:pīnyīn
00021212-r	cmn:exe	0	她有时发脾气。
00021212-r	cmn:count	有时	1
00021212-r	cmn:pron	有时	yǒushí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_526.mp3	
00021212-r	cmn:lemma	有时	yǒushí__orth:pīnyīn
00021212-r	cmn:exe	0	她有时发脾气。
00021212-r	cmn:count	有时	1
00021212-r	cmn:pron	有时	yǒushí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_526.mp3	
03740161-n	cmn:lemma	药	yào__orth:pīnyīn
03740161-n	cmn:exe	0	我不想吃药。
03740161-n	cmn:count	药	1
03740161-n	cmn:pron	药	yào	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_153.mp3	
02318272-a	cmn:lemma	一直	yìzhí__orth:pīnyīn
02318272-a	cmn:exe	0	一直往南走吧。
02318272-a	cmn:count	一直	1
02318272-a	cmn:pron	一直	yìzhí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_516.mp3	
02310895-a	cmn:lemma	一直	yìzhí__orth:pīnyīn
02310895-a	cmn:exe	0	一直往南走吧。
02310895-a	cmn:count	一直	1
02310895-a	cmn:pron	一直	yìzhí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_516.mp3	
02314584-a	cmn:lemma	一直	yìzhí__orth:pīnyīn
02314584-a	cmn:exe	0	一直往南走吧。
02314584-a	cmn:count	一直	1
02314584-a	cmn:pron	一直	yìzhí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_516.mp3	
10787470-n	cmn:lemma	女的	nǚde__orth:pīnyīn
10787470-n	cmn:exe	0	新来的老师是男的,还是女的?
10787470-n	cmn:count	女的	1
10787470-n	cmn:pron	女的	nǚde	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_489.mp3	
10736091-n	cmn:lemma	伯父	bófù__orth:pīnyīn
10736091-n	cmn:exe	0	他是我伯父。
10736091-n	cmn:count	伯父	2
10736091-n	cmn:pron	伯父	bófù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_316.mp3	
10736091-n	cmn:lemma	叔父	shūfù__orth:pīnyīn
10736091-n	cmn:exe	0	他是我叔父。
10736091-n	cmn:count	叔父	1
10736091-n	cmn:pron	叔父	shūfù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_541.mp3	
10736091-n	cmn:lemma	姑夫	gūfu__orth:pīnyīn
10736091-n	cmn:exe	0	他是我姑夫。
10736091-n	cmn:count	姑夫	1
10736091-n	cmn:pron	姑夫	gūfu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_542.mp3	
10736091-n	cmn:lemma	舅父	jiùfù__orth:pīnyīn
10736091-n	cmn:exe	0	他是我舅父。
10736091-n	cmn:count	舅父	1
10736091-n	cmn:pron	舅父	jiùfù	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_543.mp3	
10736091-n	cmn:lemma	姨夫	yífu__orth:pīnyīn
10736091-n	cmn:exe	0	他是我姨夫。
10736091-n	cmn:count	姨夫	1
10736091-n	cmn:pron	姨夫	yífu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_544.mp3	
04404997-n	cmn:lemma	照相机	zhàoxiàngjī__orth:pīnyīn
04404997-n	cmn:exe	0	别忘了带上照相机。
04404997-n	cmn:count	照相机	1
04404997-n	cmn:pron	照相机	zhàoxiàngjī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_367.mp3	
02942699-n	cmn:lemma	照相机	zhàoxiàngjī__orth:pīnyīn
02942699-n	cmn:exe	0	别忘了带上照相机。
02942699-n	cmn:count	照相机	1
02942699-n	cmn:pron	照相机	zhàoxiàngjī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_367.mp3	
04370048-n	cmn:lemma	毛衣	máoyī__orth:pīnyīn
04370048-n	cmn:exe	0	她喜欢边看电视边织毛衣。
04370048-n	cmn:count	毛衣	1
04370048-n	cmn:pron	毛衣	máoyī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_231.mp3	
04398497-n	cmn:lemma	咖啡厅	kāfēitīng__orth:pīnyīn
04398497-n	cmn:exe	0	前面有一家咖啡厅。
04398497-n	cmn:count	咖啡厅	1
04398497-n	cmn:pron	咖啡厅	kāfēitīng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_173.mp3	
00081591-r	cmn:lemma	每个星期	měigexīngqī__orth:pīnyīn
00081591-r	cmn:exe	0	我每个星期去一次中国。
00081591-r	cmn:count	每个星期	1
00081591-r	cmn:pron	每个星期	měigexīngqī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_399.mp3	
00081591-r	cmn:lemma	每个星期	měigexīngqī__orth:pīnyīn
00081591-r	cmn:exe	0	每个星期开一次会。
00081591-r	cmn:exe	1	我每个星期去一次中国。
00081591-r	cmn:count	每个星期	2
00081591-r	cmn:pron	每个星期	měigexīngqī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_399.mp3	
01535246-v	cmn:lemma	洗	xǐ__orth:pīnyīn
01535246-v	cmn:exe	0	衣服脏了，要洗。
01535246-v	cmn:count	洗	2
01535246-v	cmn:pron	洗	xǐ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_93.mp3	
01535246-v	cmn:lemma	洗衣服	xǐyīfu__orth:pīnyīn
01535246-v	cmn:exe	0	快洗衣服吧。
01535246-v	cmn:count	洗衣服	1
01535246-v	cmn:pron	洗衣服	xǐyīfu	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_78.mp3	
00036362-v	cmn:lemma	洗	xǐ__orth:pīnyīn
00036362-v	cmn:exe	0	衣服脏了，要洗。
00036362-v	cmn:count	洗	2
00036362-v	cmn:pron	洗	xǐ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_93.mp3	
01536168-v	cmn:lemma	洗	xǐ__orth:pīnyīn
01536168-v	cmn:exe	0	衣服脏了，要洗。
01536168-v	cmn:count	洗	2
01536168-v	cmn:pron	洗	xǐ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_93.mp3	
00606093-v	cmn:lemma	练习	liànxí__orth:pīnyīn
00606093-v	cmn:exe	0	要每天练习。
00606093-v	cmn:count	练习	1
00606093-v	cmn:pron	练习	liànxí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_142.mp3	
01723224-v	cmn:lemma	练习	liànxí__orth:pīnyīn
01723224-v	cmn:exe	0	要每天练习。
01723224-v	cmn:count	练习	1
01723224-v	cmn:pron	练习	liànxí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_142.mp3	
15156187-n	cmn:lemma	昨天	zuótiān__orth:pīnyīn
15156187-n	cmn:exe	0	我昨天买了一本词典。
15156187-n	cmn:count	昨天	1
15156187-n	cmn:pron	昨天	zuótiān	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_425.mp3	
01919428-a	cmn:lemma	安静	ānjìng__orth:pīnyīn
01919428-a	cmn:exe	0	安静点儿,行吗?
01919428-a	cmn:count	安静	1
01919428-a	cmn:pron	安静	ānjìng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_292.mp3	
01918984-a	cmn:lemma	安静	ānjìng__orth:pīnyīn
01918984-a	cmn:exe	0	安静点儿,行吗?
01918984-a	cmn:count	安静	1
01918984-a	cmn:pron	安静	ānjìng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_292.mp3	
04437953-n	cmn:lemma	钟表	zhōngbiǎo__orth:pīnyīn
04437953-n	cmn:exe	0	闹钟、手表、电钟都是钟表。
04437953-n	cmn:count	钟表	1
04437953-n	cmn:pron	钟表	zhōngbiǎo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_373.mp3	
03046257-n	cmn:lemma	钟表	zhōngbiǎo__orth:pīnyīn
03046257-n	cmn:exe	0	闹钟、手表、电钟都是钟表。
03046257-n	cmn:count	钟表	1
03046257-n	cmn:pron	钟表	zhōngbiǎo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_373.mp3	
04350905-n	cmn:lemma	西装	xīzhuāng__orth:pīnyīn
04350905-n	cmn:exe	0	他穿着一身笔挺的西装。
04350905-n	cmn:count	西装	1
04350905-n	cmn:pron	西装	xīzhuāng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_43.mp3	
00409440-a	cmn:lemma	深	shēn__orth:pīnyīn
00409440-a	cmn:exe	0	颜色太深。
00409440-a	cmn:count	深	1
00409440-a	cmn:pron	深	shēn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_502.mp3	
00842199-a	cmn:lemma	强	qiáng__orth:pīnyīn
00842199-a	cmn:exe	0	国力很强。
00842199-a	cmn:count	强	1
00842199-a	cmn:pron	强	qiáng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_285.mp3	
15163979-n	cmn:lemma	星期一	xīngqīyī__orth:pīnyīn
15163979-n	cmn:exe	0	星期一
15163979-n	cmn:count	星期一	1
15163979-n	cmn:pron	星期一	xīngqīyī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_403.mp3	
00059413-r	cmn:lemma	常常	chángcháng__orth:pīnyīn
00059413-r	cmn:exe	0	妈妈常常叫我打扫屋子。
00059413-r	cmn:count	常常	1
00059413-r	cmn:pron	常常	chángcháng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_441.mp3	
00035058-r	cmn:lemma	常常	chángcháng__orth:pīnyīn
00035058-r	cmn:exe	0	妈妈常常叫我打扫屋子。
00035058-r	cmn:count	常常	1
00035058-r	cmn:pron	常常	chángcháng	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_441.mp3	
05687338-n	cmn:lemma	问题	wèntí__orth:pīnyīn
05687338-n	cmn:exe	0	这个问题太难。
05687338-n	cmn:count	问题	1
05687338-n	cmn:pron	问题	wèntí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_531.mp3	
06784003-n	cmn:lemma	问题	wèntí__orth:pīnyīn
06784003-n	cmn:exe	0	这个问题太难。
06784003-n	cmn:count	问题	1
06784003-n	cmn:pron	问题	wèntí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_531.mp3	
03281145-n	cmn:lemma	电梯	diàntī__orth:pīnyīn
03281145-n	cmn:exe	0	电梯坏了，我们走上去吧。
03281145-n	cmn:count	电梯	1
03281145-n	cmn:pron	电梯	diàntī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_159.mp3	
05320899-n	cmn:lemma	耳朵	ěrduo__orth:pīnyīn
05320899-n	cmn:exe	0	他耳朵很尖。
05320899-n	cmn:count	耳朵	1
05320899-n	cmn:pron	耳朵	ěrduo	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_349.mp3	
00007846-n	cmn:lemma	有人	yǒurén__orth:pīnyīn
00007846-n	cmn:exe	0	好像有人来了。
00007846-n	cmn:count	有人	1
00007846-n	cmn:pron	有人	yǒurén	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_553.mp3	
03436182-n	cmn:lemma	收录机	shōulùjī__orth:pīnyīn
03436182-n	cmn:exe	0	我没有收录机。
03436182-n	cmn:count	收录机	1
03436182-n	cmn:pron	收录机	shōulùjī	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_96.mp3	
04284002-n	cmn:lemma	勺子	sháozi__orth:pīnyīn
04284002-n	cmn:exe	0	用勺子吃。
04284002-n	cmn:count	勺子	1
04284002-n	cmn:pron	勺子	sháozi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_532.mp3	
13134947-n	cmn:lemma	水果	shuǐguǒ__orth:pīnyīn
13134947-n	cmn:exe	0	黄瓜不是水果。
13134947-n	cmn:count	水果	1
13134947-n	cmn:pron	水果	shuǐguǒ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_66.mp3	
11683989-n	cmn:lemma	水果	shuǐguǒ__orth:pīnyīn
11683989-n	cmn:exe	0	黄瓜不是水果。
11683989-n	cmn:count	水果	1
11683989-n	cmn:pron	水果	shuǐguǒ	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_66.mp3	
02730813-v	cmn:lemma	说	shuō__orth:pīnyīn
02730813-v	cmn:exe	0	感动地说
02730813-v	cmn:exe	1	她想了想说:“还是你去吧!”
02730813-v	cmn:count	说	2
02730813-v	cmn:pron	说	shuō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_472.mp3	
01009240-v	cmn:lemma	说	shuō__orth:pīnyīn
01009240-v	cmn:exe	0	感动地说
01009240-v	cmn:exe	1	她想了想说:“还是你去吧!”
01009240-v	cmn:count	说	2
01009240-v	cmn:pron	说	shuō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_472.mp3	
00941990-v	cmn:lemma	说	shuō__orth:pīnyīn
00941990-v	cmn:exe	0	感动地说
00941990-v	cmn:exe	1	她想了想说:“还是你去吧!”
00941990-v	cmn:count	说	2
00941990-v	cmn:pron	说	shuō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_472.mp3	
00979870-v	cmn:lemma	说	shuō__orth:pīnyīn
00979870-v	cmn:exe	0	感动地说
00979870-v	cmn:exe	1	她想了想说:“还是你去吧!”
00979870-v	cmn:count	说	2
00979870-v	cmn:pron	说	shuō	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_472.mp3	
09854218-n	cmn:lemma	姐妹	jiěmèi__orth:pīnyīn
09854218-n	cmn:exe	0	她们姐妹都已经出嫁了。
09854218-n	cmn:count	姐妹	1
09854218-n	cmn:pron	姐妹	jiěmèi	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_320.mp3	
04507155-n	cmn:lemma	雨伞	yǔsǎn__orth:pīnyīn
04507155-n	cmn:exe	0	王刚，把你的雨伞带上吧。
04507155-n	cmn:count	雨伞	1
04507155-n	cmn:pron	雨伞	yǔsǎn	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_335.mp3	
15270431-n	cmn:lemma	小时	xiǎoshí__orth:pīnyīn
15270431-n	cmn:exe	0	一个小时
15270431-n	cmn:exe	1	看两个小时
15270431-n	cmn:count	小时	2
15270431-n	cmn:pron	小时	xiǎoshí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_442.mp3	
15227846-n	cmn:lemma	小时	xiǎoshí__orth:pīnyīn
15227846-n	cmn:exe	0	一个小时
15227846-n	cmn:exe	1	看两个小时
15227846-n	cmn:count	小时	2
15227846-n	cmn:pron	小时	xiǎoshí	zh-pinyin	https://www.coelang.tufs.ac.jp/mt/zh/vmod/sound/word/word_442.mp3	
15269513-n	cmn:lemma	小时	xiǎoshí__orth:pīnyīn
15269513-n	cmn:exe	0	一个小时
15269513-n	cmn:exe	1	看两个小时
15269513-n	cmn:count	小时	2
