# TUFS Basic Arabic Wordnet	arb	http://www.coelang.tufs.ac.jp/mt/ar/	CC BY 4.0
15210045-n	arb:lemma	يناير
04398497-n	arb:exe	2	هل هناك مقهى بالقرب من هنا؟
04398497-n	arb:exe	3	هل هناك مقهى بالقرب من هنا؟
04398497-n	arb:exe	4	ويوم الأحد ذهبت إلى المقهى المفضّل وقرأت كتاباً.
04398497-n	arb:exe	5	ما رأيك في تناول فنجان قهوة؟
04398497-n	arb:exe	6	وبعد الأكل نريد شاياً أو قهوة.
04398497-n	arb:exe	7	وبعد الأكل نريد شاياً أو قهوة.
04398497-n	arb:pron	مَقْهًى			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_166.mp3	
00081591-r	arb:lemma	كل أسبوع
00081591-r	arb:exe	0	اكتب لي رسالة كل أسبوع.
00081591-r	arb:count	كل أسبوع	1
00081591-r	arb:pron	كل أسبوع			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_362.mp3	
01535246-v	arb:lemma	غَسَلَ
01535246-v	arb:exe	0	انتظر قليلا فسأغسل وجهي وأغير ثيابي خلال ثلاث دقائق.
01535246-v	arb:exe	1	اغسل يديك وفمك قبل الأكل وبعده.
01535246-v	arb:exe	2	أسلم الأقمصة إلى المغسلة، وبقية الغسيل أغسله بنفسي.
01535246-v	arb:pron	غَسَلَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_76.mp3	
00036362-v	arb:lemma	غَسَلَ
00036362-v	arb:exe	0	انتظر قليلا فسأغسل وجهي وأغير ثيابي خلال ثلاث دقائق.
00036362-v	arb:exe	1	اغسل يديك وفمك قبل الأكل وبعده.
00036362-v	arb:exe	2	أسلم الأقمصة إلى المغسلة، وبقية الغسيل أغسله بنفسي.
00036362-v	arb:pron	غَسَلَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_76.mp3	
01536168-v	arb:lemma	غَسَلَ
01536168-v	arb:exe	0	انتظر قليلا فسأغسل وجهي وأغير ثيابي خلال ثلاث دقائق.
01536168-v	arb:exe	1	اغسل يديك وفمك قبل الأكل وبعده.
01536168-v	arb:exe	2	أسلم الأقمصة إلى المغسلة، وبقية الغسيل أغسله بنفسي.
01536168-v	arb:pron	غَسَلَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_76.mp3	
00606093-v	arb:lemma	تمرن (يتمرن 
00606093-v	arb:lemma	تمرن)
00606093-v	arb:exe	0	من المهم أن تتمرن كل يوم ولو نصف ساعة.
00606093-v	arb:pron	تمرن)			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_137.mp3	
01723224-v	arb:lemma	تمرن (يتمرن 
01723224-v	arb:lemma	تمرن)
01723224-v	arb:exe	0	من المهم أن تتمرن كل يوم ولو نصف ساعة.
01723224-v	arb:pron	تمرن)			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_137.mp3	
15156187-n	arb:lemma	أَمْسِ
15156187-n	arb:exe	0	أكلت أمس لحم الحمام لأول مرة في حياتي.
15156187-n	arb:exe	1	لم أنم جيدا ليلة أمس.
15156187-n	arb:exe	2	هذا هو الكتاب الذي قرأته أول أمس.
15156187-n	arb:exe	3	اِسْتَقْبَلْتُ ضَيْفًا أَمْسِ.
15156187-n	arb:exe	4	أَوَّلَ أَمْسِ  قَبْلَ يَوْمَيْنِ
15156187-n	arb:exe	5	أَيْنَ كُنْتِ أَمْسِ؟
15156187-n	arb:exe	6	بالمناسبة، كنت أريد أن أتّصل بالهاتف مع الدكتور سمير ليلة أمس.
15156187-n	arb:exe	7	NGلم أنم جيدا ليلة أمس
15156187-n	arb:exe	8	اتّصلت بك أوّل أمس ولكن الخطّ كان خارج نطاق الخدمة.
15156187-n	arb:exe	9	كنت أريد أن أتّصل بالهاتف مع الدكتور سمير ليلة أمس.‎
15156187-n	arb:exe	10	هل نمتم جيّداً ليلة أمس؟
15156187-n	arb:exe	11	لم تكن حفلة أمس ممتعة جدّاً.‎
15156187-n	arb:exe	12	هل نمتم جيّداً ليلة أمس؟
15156187-n	arb:exe	13	عيد ميلادي الخامس عشر من شهر يوليو.
15156187-n	arb:exe	14	عيد ميلادي الخامس عشر من شهر يوليو.
15156187-n	arb:exe	15	عيد ميلادي الخامس عشر من شهر يوليو.
15156187-n	arb:exe	16	عيد ميلادي الخامس عشر من شهر يوليو.
15156187-n	arb:exe	17	عيد ميلادي الخامس عشر من شهر يوليو.
15156187-n	arb:count	أَمْسِ	3
15156187-n	arb:pron	أَمْسِ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_387.mp3	
01919428-a	arb:lemma	هَادِئٌ
01919428-a	arb:exe	0	البحر هادئ هذه الليلة وليست به أمواج.
01919428-a	arb:exe	1	في اليوم الأول من يناير يمتح الأطفال هدايا نقدية.
01919428-a	arb:pron	هَادِئٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_271.mp3	
01918984-a	arb:lemma	هَادِئٌ
01918984-a	arb:exe	0	البحر هادئ هذه الليلة وليست به أمواج.
01918984-a	arb:exe	1	في اليوم الأول من يناير يمتح الأطفال هدايا نقدية.
01918984-a	arb:pron	هَادِئٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_271.mp3	
04437953-n	arb:lemma	سَاعَةٌ
04437953-n	arb:exe	0	هذه الساعة ليست مضبوطة. كم الساعة الآن؟
04437953-n	arb:exe	1	مَعِي سَاعَةٌ.
04437953-n	arb:exe	2	في الساعة السابعة والربع أخرج إلى عملي.
04437953-n	arb:exe	3	أعود إلى البيت في الساعة السابعة مساءً.
04437953-n	arb:exe	4	الساعة الخامسة إلّا عشر دقائق
04437953-n	arb:exe	5	الساعة الثالثة وخمس دقائق
04437953-n	arb:exe	6	الساعة الرابعة، الساعة الخامسة، الساعة السادسة
04437953-n	arb:exe	7	ساعة (ـات)، لغة (ـات)، كلمة (ـات)
04437953-n	arb:exe	8	في أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	9	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	10	وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.
04437953-n	arb:exe	11	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	12	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	13	الساعة الحادية عشرة
04437953-n	arb:exe	14	كم الساعة الآن؟
04437953-n	arb:exe	15	الساعة السابعة، الساعة الثامنة، الساعة التاسعة
04437953-n	arb:exe	16	الساعة الثانية والثلث
04437953-n	arb:exe	17	وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.
04437953-n	arb:exe	18	يبدأ من الساعة التاسعة وينتهي في الواحدة.
04437953-n	arb:exe	19	ساعة (ـات)، لغة (ـات)، كلمة (ـات)
04437953-n	arb:exe	20	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	21	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	22	الساعة الثانية والثلث
04437953-n	arb:exe	23	وموعد الامتحان الاختباريّ بعد غد في الساعة العاشرة.
04437953-n	arb:exe	24	الساعة الخامسة إلّا عشر دقائق
04437953-n	arb:exe	25	وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.
04437953-n	arb:exe	26	الساعة بدينار واحد فقط.
04437953-n	arb:exe	27	الساعة الواحدة، الساعة الثانية، الساعة الثالثة
04437953-n	arb:exe	28	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	29	الساعة الرابعة إلّا ربعاً
04437953-n	arb:exe	30	أتغدّى مع زملائي من الساعة الثانية عشرة إلى الواحدة.
04437953-n	arb:exe	31	الساعة بدينار واحد فقط.
04437953-n	arb:exe	32	الساعة الحادية عشرة
04437953-n	arb:exe	33	عادةً أنام في الساعة الحادية عشرة والنصف.
04437953-n	arb:exe	34	الساعة العاشرة، الساعة الحادية عشرة، الساعة الثانية عشرة
04437953-n	arb:exe	35	أعود إلى البيت في الساعة السابعة مساءً.
04437953-n	arb:exe	36	الساعة السابعة، الساعة الثامنة، الساعة التاسعة
04437953-n	arb:exe	37	أصل إلى المكتب في الساعة التاسعة إلّا ربعاً.
04437953-n	arb:exe	38	في أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	39	الساعة الرابعة إلّا ربعاً
04437953-n	arb:exe	40	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	41	انتهت الحفلة في الساعة الرابعة صباحاً.
04437953-n	arb:exe	42	الساعة الرابعة، الساعة الخامسة، الساعة السادسة
04437953-n	arb:exe	43	من المهم أن تتمرن كل يوم ولو نصف ساعة.
04437953-n	arb:exe	44	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	45	أعود إلى البيت في الساعة السابعة مساءً.
04437953-n	arb:exe	46	انتهت الحفلة في الساعة الرابعة صباحاً.
04437953-n	arb:exe	47	في أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	48	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	49	في أيّ ساعة يبدأ المصرف كلّ يوم؟
04437953-n	arb:exe	50	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	51	الساعة بدينار واحد فقط.
04437953-n	arb:exe	52	انتهت الحفلة في الساعة الرابعة صباحاً.
04437953-n	arb:exe	53	الساعة الثالثة وخمس دقائق
04437953-n	arb:exe	54	عادةً أنام في الساعة الحادية عشرة والنصف.
04437953-n	arb:exe	55	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	56	الساعة العاشرة، الساعة الحادية عشرة، الساعة الثانية عشرة
04437953-n	arb:exe	57	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	58	كم الساعة الآن؟
04437953-n	arb:exe	59	انتهت الحفلة في الساعة الرابعة صباحاً.
04437953-n	arb:exe	60	أعود إلى البيت في الساعة السابعة مساءً.
04437953-n	arb:exe	61	يبدأ من الساعة التاسعة وينتهي في الواحدة.
04437953-n	arb:exe	62	أتغدّى مع زملائي من الساعة الثانية عشرة إلى الواحدة.
04437953-n	arb:exe	63	في الساعة السابعة والربع أخرج إلى عملي.
04437953-n	arb:exe	64	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	65	أصل إلى المكتب في الساعة التاسعة إلّا ربعاً.
04437953-n	arb:exe	66	عادةً أنام في الساعة الحادية عشرة والنصف.
04437953-n	arb:exe	67	يبدأ الدرس من الساعة التاسعة وينتهي في الواحدة.
04437953-n	arb:exe	68	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
04437953-n	arb:exe	69	الساعة الواحدة، الساعة الثانية، الساعة الثالثة
04437953-n	arb:exe	70	انتهت الحفلة في الساعة الرابعة صباحاً.
04437953-n	arb:exe	71	كم الساعة الآن؟
04437953-n	arb:exe	72	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	73	انتهت الحفلة في الساعة الرابعة صباحاً.
04437953-n	arb:exe	74	عادةً أنام في الساعة الحادية عشرة والنصف.
04437953-n	arb:exe	75	في أيّ ساعة يبدأ كلّ يوم؟
04437953-n	arb:exe	76	كم ساعة تدرسين العربية كلّ يوم؟
04437953-n	arb:exe	77	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	78	أستيقظ في الساعة السادسة كلّ صباح.
04437953-n	arb:exe	79	كم الساعة الآن؟
04437953-n	arb:count	سَاعَةٌ	1
04437953-n	arb:pron	سَاعَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_340.mp3	
03046257-n	arb:lemma	سَاعَةٌ
03046257-n	arb:exe	0	هذه الساعة ليست مضبوطة. كم الساعة الآن؟
03046257-n	arb:exe	1	مَعِي سَاعَةٌ.
03046257-n	arb:exe	2	في الساعة السابعة والربع أخرج إلى عملي.
03046257-n	arb:exe	3	أعود إلى البيت في الساعة السابعة مساءً.
03046257-n	arb:exe	4	الساعة الخامسة إلّا عشر دقائق
03046257-n	arb:exe	5	الساعة الثالثة وخمس دقائق
03046257-n	arb:exe	6	الساعة الرابعة، الساعة الخامسة، الساعة السادسة
03046257-n	arb:exe	7	ساعة (ـات)، لغة (ـات)، كلمة (ـات)
03046257-n	arb:exe	8	في أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	9	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	10	وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.
03046257-n	arb:exe	11	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	12	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	13	الساعة الحادية عشرة
03046257-n	arb:exe	14	كم الساعة الآن؟
03046257-n	arb:exe	15	الساعة السابعة، الساعة الثامنة، الساعة التاسعة
03046257-n	arb:exe	16	الساعة الثانية والثلث
03046257-n	arb:exe	17	وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.
03046257-n	arb:exe	18	يبدأ من الساعة التاسعة وينتهي في الواحدة.
03046257-n	arb:exe	19	ساعة (ـات)، لغة (ـات)، كلمة (ـات)
03046257-n	arb:exe	20	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	21	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	22	الساعة الثانية والثلث
03046257-n	arb:exe	23	وموعد الامتحان الاختباريّ بعد غد في الساعة العاشرة.
03046257-n	arb:exe	24	الساعة الخامسة إلّا عشر دقائق
03046257-n	arb:exe	25	وموعد الامتحان الاختباري بعد غد في الساعة العاشرة.
03046257-n	arb:exe	26	الساعة بدينار واحد فقط.
03046257-n	arb:exe	27	الساعة الواحدة، الساعة الثانية، الساعة الثالثة
03046257-n	arb:exe	28	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	29	الساعة الرابعة إلّا ربعاً
03046257-n	arb:exe	30	أتغدّى مع زملائي من الساعة الثانية عشرة إلى الواحدة.
03046257-n	arb:exe	31	الساعة بدينار واحد فقط.
03046257-n	arb:exe	32	الساعة الحادية عشرة
03046257-n	arb:exe	33	عادةً أنام في الساعة الحادية عشرة والنصف.
03046257-n	arb:exe	34	الساعة العاشرة، الساعة الحادية عشرة، الساعة الثانية عشرة
03046257-n	arb:exe	35	أعود إلى البيت في الساعة السابعة مساءً.
03046257-n	arb:exe	36	الساعة السابعة، الساعة الثامنة، الساعة التاسعة
03046257-n	arb:exe	37	أصل إلى المكتب في الساعة التاسعة إلّا ربعاً.
03046257-n	arb:exe	38	في أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	39	الساعة الرابعة إلّا ربعاً
03046257-n	arb:exe	40	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	41	انتهت الحفلة في الساعة الرابعة صباحاً.
03046257-n	arb:exe	42	الساعة الرابعة، الساعة الخامسة، الساعة السادسة
03046257-n	arb:exe	43	من المهم أن تتمرن كل يوم ولو نصف ساعة.
03046257-n	arb:exe	44	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	45	أعود إلى البيت في الساعة السابعة مساءً.
03046257-n	arb:exe	46	انتهت الحفلة في الساعة الرابعة صباحاً.
03046257-n	arb:exe	47	في أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	48	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	49	في أيّ ساعة يبدأ المصرف كلّ يوم؟
03046257-n	arb:exe	50	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	51	الساعة بدينار واحد فقط.
03046257-n	arb:exe	52	انتهت الحفلة في الساعة الرابعة صباحاً.
03046257-n	arb:exe	53	الساعة الثالثة وخمس دقائق
03046257-n	arb:exe	54	عادةً أنام في الساعة الحادية عشرة والنصف.
03046257-n	arb:exe	55	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	56	الساعة العاشرة، الساعة الحادية عشرة، الساعة الثانية عشرة
03046257-n	arb:exe	57	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	58	كم الساعة الآن؟
03046257-n	arb:exe	59	انتهت الحفلة في الساعة الرابعة صباحاً.
03046257-n	arb:exe	60	أعود إلى البيت في الساعة السابعة مساءً.
03046257-n	arb:exe	61	يبدأ من الساعة التاسعة وينتهي في الواحدة.
03046257-n	arb:exe	62	أتغدّى مع زملائي من الساعة الثانية عشرة إلى الواحدة.
03046257-n	arb:exe	63	في الساعة السابعة والربع أخرج إلى عملي.
03046257-n	arb:exe	64	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	65	أصل إلى المكتب في الساعة التاسعة إلّا ربعاً.
03046257-n	arb:exe	66	عادةً أنام في الساعة الحادية عشرة والنصف.
03046257-n	arb:exe	67	يبدأ الدرس من الساعة التاسعة وينتهي في الواحدة.
03046257-n	arb:exe	68	وفي أيّ ساعة يبدأ الدرس كلّ يوم؟
03046257-n	arb:exe	69	الساعة الواحدة، الساعة الثانية، الساعة الثالثة
03046257-n	arb:exe	70	انتهت الحفلة في الساعة الرابعة صباحاً.
03046257-n	arb:exe	71	كم الساعة الآن؟
03046257-n	arb:exe	72	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	73	انتهت الحفلة في الساعة الرابعة صباحاً.
03046257-n	arb:exe	74	عادةً أنام في الساعة الحادية عشرة والنصف.
03046257-n	arb:exe	75	في أيّ ساعة يبدأ كلّ يوم؟
03046257-n	arb:exe	76	كم ساعة تدرسين العربية كلّ يوم؟
03046257-n	arb:exe	77	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	78	أستيقظ في الساعة السادسة كلّ صباح.
03046257-n	arb:exe	79	كم الساعة الآن؟
03046257-n	arb:count	سَاعَةٌ	1
03046257-n	arb:pron	سَاعَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_340.mp3	
04350905-n	arb:lemma	بذلة	بذلات__morph:pl
04350905-n	arb:exe	0	من الأفضل أن تعلق البذلة على المعلاق.
04350905-n	arb:count	بذلة	1
04350905-n	arb:pron	بذلة			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_43.mp3	
00409440-a	arb:lemma	داكن
00409440-a	arb:exe	0	بدأ لون السماء يتغير من الأزرق الفاتح إلى الأزرق الداكن ثم إلى اللون الأحمر.
00409440-a	arb:count	داكن	1
00409440-a	arb:pron	داكن			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_453.mp3	
00842199-a	arb:lemma	قَوِيٌّ
00842199-a	arb:exe	0	القلم أقوى من السيف.
00842199-a	arb:exe	1	دفع الرجل الباب دفعة قوية ودخل بيته غاضبا.
00842199-a	arb:pron	قَوِيٌّ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_264.mp3	
15163979-n	arb:lemma	يوم الاثنين
15163979-n	arb:exe	0	نعمل من يوم الإثنين إلى يوم الجمعة.
15163979-n	arb:pron	يوم الاثنين			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_366.mp3	
00059413-r	arb:lemma	كثيرا ما
00059413-r	arb:exe	0	كثيرا ما أذهب إلى مكتب الأستاذ بعد المحاضرة لأسأله بعض الأسئلة.
00059413-r	arb:count	كثيرا ما	1
00059413-r	arb:pron	كثيرا ما			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_401.mp3	
00035058-r	arb:lemma	كثيرا ما
00035058-r	arb:exe	0	كثيرا ما أذهب إلى مكتب الأستاذ بعد المحاضرة لأسأله بعض الأسئلة.
00035058-r	arb:count	كثيرا ما	1
00035058-r	arb:pron	كثيرا ما			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_401.mp3	
05687338-n	arb:lemma	مُشْكِلَةٌ
05687338-n	arb:exe	0	أعتقد أن العنف لن يحل مشكلة أبدا.
05687338-n	arb:exe	1	ليس هناك مشكلة.
05687338-n	arb:exe	2	ليس هناك مشكلة.
05687338-n	arb:exe	3	NGأعتقد أن العنف لن يحل مشكلة أبدا
05687338-n	arb:exe	4	تربط البنت شعرها على شكل ذيل الحصان.
05687338-n	arb:pron	مُشْكِلَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_139.mp3	
06784003-n	arb:lemma	مُشْكِلَةٌ
06784003-n	arb:exe	0	أعتقد أن العنف لن يحل مشكلة أبدا.
06784003-n	arb:exe	1	ليس هناك مشكلة.
06784003-n	arb:exe	2	ليس هناك مشكلة.
06784003-n	arb:exe	3	NGأعتقد أن العنف لن يحل مشكلة أبدا
06784003-n	arb:exe	4	تربط البنت شعرها على شكل ذيل الحصان.
06784003-n	arb:pron	مُشْكِلَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_139.mp3	
03281145-n	arb:lemma	مِصْعَدٌ
03281145-n	arb:exe	0	المصعد متعطل اليوم.
03281145-n	arb:exe	1	المصعد على يسارك.
03281145-n	arb:pron	مِصْعَدٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_152.mp3	
05320899-n	arb:lemma	أُذُنٌ
05320899-n	arb:exe	0	استمع الطلاب إلى محاضرة الأستاذ المشهور وكلهم آذان صاغية.
05320899-n	arb:pron	أُذُنٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_321.mp3	
00007846-n	arb:lemma	أَحَدٌ
00007846-n	arb:lemma	إِحْدَى	__morph:f
00007846-n	arb:lemma	آحَادٍ	__morph:pl
00007846-n	arb:exe	0	زرت بيت خالتي ولم أجد فيه أحدا.
00007846-n	arb:exe	1	بعت سيارتي لأحد أصدقائي في الشهر الماضي.
00007846-n	arb:exe	2	لَيْسَ هُنَاكَ أَحَدٌ.
00007846-n	arb:exe	3	لَيْسَ فِي ٱلْقَاعَةِ أَحَدٌ.
00007846-n	arb:exe	4	لَمْ يُسَافِرْ أَحَدٌ إِلَى مِصْرَ إِلَّا ذٰلِكَ ٱلطَّالِبُ.
00007846-n	arb:exe	5	ويوم الأحد ذهبت إلى المقهى المفضّل وقرأت كتاباً هناك.
00007846-n	arb:exe	6	والأحد بقيت في البيت ونمت طول النهار.
00007846-n	arb:exe	7	عشرة آلاف، أحد عشر ألفاً ... عشرون ألفاً ... مئة ألف
00007846-n	arb:exe	8	ويوم الأحد بقيت في البيت ونمت طول النهار.
00007846-n	arb:exe	9	ويوم الأحد ذهبت إلى المقهى المفضّل وقرأت كتاباً.
00007846-n	arb:exe	10	أحد عشر، اثنا عشر
00007846-n	arb:exe	11	سأدعوك إلى العشاء في بيتي يوم الأحد إن شاء الله.
00007846-n	arb:exe	12	عشرة آلاف، أحد عشر ألفاً ... عشرون ألفاً ... مئة ألف
00007846-n	arb:exe	13	أحد عشر، اثنا عشر
00007846-n	arb:exe	14	الساعة بدينار واحد فقط.
00007846-n	arb:exe	15	الساعة بدينار واحد فقط.
00007846-n	arb:exe	16	الساعة بدينار واحد فقط.
00007846-n	arb:exe	17	واحد وعشرون، اتنان وعشرون، ثلاثة وعشرون
00007846-n	arb:exe	18	واحد وعشرون، اتنان وعشرون، ثلاثة وعشرون 
00007846-n	arb:count	أَحَدٌ	3
00007846-n	arb:pron	آحَادٍ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_234.mp3	
03436182-n	arb:lemma	مسجل	مسجلات__morph:pl
03436182-n	arb:exe	0	اشترت عمتي مسجلا جديدا.
03436182-n	arb:exe	1	هو يعيد كلامه كثيرا كالمسجل.
03436182-n	arb:count	مسجل	2
03436182-n	arb:pron	مسجل			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_92.mp3	
04284002-n	arb:lemma	مِلْعَقَةٌ
04284002-n	arb:exe	0	كم ملعقة من السكر تريدين؟
04284002-n	arb:pron	مِلْعَقَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_180.mp3	
13134947-n	arb:lemma	فَاكِهَةٌ
13134947-n	arb:exe	0	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
13134947-n	arb:exe	1	على الطاولة تشكيلة فواكه.
13134947-n	arb:pron	فَاكِهَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_65.mp3	
11683989-n	arb:lemma	فَاكِهَةٌ
11683989-n	arb:exe	0	في الربيع تثمر أنواع كثيرة من الفواكه في البلاد العربية.
11683989-n	arb:exe	1	على الطاولة تشكيلة فواكه.
11683989-n	arb:pron	فَاكِهَةٌ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_65.mp3	
02730813-v	arb:lemma	قَالَ
02730813-v	arb:exe	0	يقول أبي دائما إن الصبر مفتاح الفرج.
02730813-v	arb:exe	1	يقول لي جدي دائما إن الحياة قصيرة.
02730813-v	arb:exe	2	أقول لك بصراحة "يجب أن تذهب إلى طبيب الأسنان مرتين في العام".
02730813-v	arb:exe	3	يقول المثل الياباني إن التشاجر بين الزوجين لا يأكله حتى الكلب.
02730813-v	arb:exe	4	يقول بعض العرب "العلم في الرأس وليس في الكراس".
02730813-v	arb:exe	5	قَالَ إِنَّ فِي تِلْكَ الْمَدِينَةِ مَتْحَفًا مَشْهُورَةً.
02730813-v	arb:exe	6	قَالَ ٱلرَّئِيسُ لِلشَّعْبِ إِنَّ هٰذَا ٱلْحَادِثَ مُؤَامَرَةٌ.
02730813-v	arb:exe	7	يقال إنّ المنتخب اليابانيّ أقوى من المنتخب المصريّ.
02730813-v	arb:exe	8	عندنا عصير برتقال أو شاي فقط.
02730813-v	arb:exe	9	عندنا عصير برتقال أو شاي فقط.
02730813-v	arb:exe	10	يقال إنّ المنتخب اليابانيّ أقوى من المنتخب المصريّ.
02730813-v	arb:exe	11	ولكن يقال إنّ المنتخب اليابانيّ أقوى من المنتخب المصريّ.
02730813-v	arb:exe	12	يقال إنّ الإنترنيت جعل العالم قرية صغيرة.
02730813-v	arb:exe	13	ولكن يقال إنّ المنتخب اليابانيّ أقوى من المنتخب المصريّ.
02730813-v	arb:exe	14	يقال إنّ الإنترنيت جعل العالم قرية صغيرة.
02730813-v	arb:exe	15	عندنا عصير برتقال أو شاي فقط.
02730813-v	arb:exe	16	ولكن يقال إنّ المنتخب اليابانيّ أقوى من المنتخب المصريّ.
02730813-v	arb:exe	17	كيف يُقال "شكراً" بالكرديّة؟
02730813-v	arb:exe	18	عندنا عصير برتقال أو شاي فقط.
02730813-v	arb:exe	19	يقال إنّ الإنترنيت جعل العالم قرية صغيرة.
02730813-v	arb:exe	20	عندنا عصير برتقال أو شاي فقط.
02730813-v	arb:exe	21	مثلاً نقول "المعذرة" عندما نطلب شيئاً ما في المطعم.
02730813-v	arb:exe	22	مثلاً نقول "المعذرة" عندما نطلب شيئاً ما في المطعم.
02730813-v	arb:exe	23	ماذا تقولون قبل أن تناموا؟ ... نقول "تصبح على خير".
02730813-v	arb:exe	24	ماذا تقولون قبل أن تناموا؟ ... نقول "تصبح على خير".
02730813-v	arb:exe	25	مثلاً نقول "المعذرة" عندما نطلب شيئاً ما في المطعم.
02730813-v	arb:count	قَالَ	2
02730813-v	arb:pron	قَالَ			https://www.coelang.tufs.ac.jp/mt/ar/vmod/sound/word/word_426.mp3	
01009240-v	arb:lemma	قَالَ
01009240-v	arb:exe	0	يقول أبي دائما إن الصبر مفتاح الفرج.
01009240-v	arb:exe	1	يقول لي جدي دائما إن الحياة قصيرة.
01009240-v	arb:exe	2	أقول لك بصراحة "يجب أن تذهب إلى طبيب الأسنان مرتين في العام".
01009240-v	arb:exe	3	يقول المثل الياباني إن التشاجر بين الزوجين لا يأكله حتى الكلب.
